index|||일별 급상승|||주별 급상승|||주별 지속상승|||월별 급상승|||월별 지속상승|||월별 규칙성|||
240329 검색어 수|||1|||93|||164|||222|||115|||85|||
240401 검색어 수|||7|||107|||195|||196|||94|||88|||
검색어 증감|||6|||14|||31|||-26|||-21|||3|||
검색어 증감(%)|||600.0|||15.05|||18.9|||-11.71|||-18.26|||3.53|||
"새로운 검색어|||'민팅', '쓰레스홀드코인', '3D프린터기', '14K금시세', '코인상장', '스팩주', '레이븐코인'|||'삼성전자관련주', '재무제표', '주식어플', '퇴직연금ETF', '다이렉트보험', '책임보험', 'TIGER헬스케어', 'ISA중개형', '엠블코인', '비과세개인연금', '대여금반환청구소송', '테더코인', '종합지수', 'VOO', '주식투자', '해외선물증거금', '공시', '기업공시', '애플주식', '주식캔들', '개인돈대출', '보험증권', 'S&P500ETF', '중소기업', '가지급금', 'LH청약', '바이오주식', '기대출과다자추가대출', '자동차보험갱신', '정부지원', 'QQQM', '대출상담', '주식강의', 'DART', '대부대출', '수술비보험', '주식차트', 'SCHDETF', '해외주식추천', '종합보험', '법인자동차보험', '삼성전자우', 'SPYETF', '보험금조회', '채권양도통지서', '연금저축펀드', '투자자산운용사', '신용정보', '자동차보험료비교견적사이트', '미국ETF', '삼성증권ISA', '주식수익', '해외선물수수료', '조세특례제한법', '유병자실비보험', '65세실비보험', '개인연금추천', 'ART'|||'건강종합보험', '환전계산기', 'VOO주가', '다이렉트보험', 'QLD주가', '금리인하', '증권사이벤트', '신규상장주', '지급명령신청', '홍콩달러', '개인돈대출', '대출조회', '가압류절차', '엔환율', '일본ETF', '보험상담', '보험금조회', '엔화', '환율엔화', '보험설계사', '해남부동산', 'TQQQETF', '차용증양식', '동환율', '보험종류', '자동차보험할증기준', '주식검색기', '20대실비보험', '퇴직연금ETF', '미국달러환율', '관세', '대여금반환청구소송', '야간선물', '의료실비', '네이버주식시세', '자동차보험갱신', '정부지원', '코스닥상장', '대출상담', '주식강의', '메타디움', 'SOXX주가', '해외주식추천', '자동차보험료계산', '채권양도통지서', '전세자금대출금리비교', 'AMD주가', '일본엔화환율', 'ELB', '키네틱아트', '레이븐코인', '다이렉트자동차보험료비교견적사이트', '미국주식추천', '기아자동차주가', '미국주식사는법', '자동차보험다이렉트', '해외주식수수료', '상속포기신청', '해외선물증거금', '퇴직연금가입', '주식캔들', '기대출과다자추가대출', '오스코텍주가', '일본환율', '차용금', '주식차트', 'SPYETF', 'ETF투자방법', '실손의료보험', '보증금대출', '보험사', '자산운용사', '주식상장', '모바일신용카드', '주식투자', '베트남환율', '차보험', '미국반도체ETF', '비갱신형암보험', '증권사', '재택근무직업', '수술비보험', '대부대출', '엔비디아주식', '퇴직연금', '신용카드이벤트', 'KODEX미국반도체MV', '비갱신실비보험', '한국경제', '자차보험', '실비보험', '엔화환율', '건강보험', '1돈', '실비보험추천', '증시현황', '인텔주가', '퇴직연금계좌', '일용직퇴직금', '현관액자'|||'자동차의무보험', '인도증시', '유한양행주가', '수술비보험', 'PI코인', 'QQQ주가', '비트코인거래소', '우미린아파트', 'NH투자증권', '리플시세', '코인채굴', 'AI주식', '에이다코인'|||'미국배당주', '금가격', 'KB자동차보험', 'QQQ주가', 'AI주식', '쿠팡주가', '저작권료', '주식검색기'|||'부가세', 'POLY', '창업대출', '강제집행', '스케줄표', '채권양도', '은퇴', '보험설계사', '해남부동산', '인지', '재택부업', '벤처기업인증', 'IRP퇴직연금해지', '솔루션', '부동산등기', '일용직퇴직금', '거실벽인테리어'|||"
"빠진 검색어|||'범일동맛집'|||'금값전망', '순금', '보험설계', '해외선물거래', '삼성증권CMA', '아파트등기비용', '채권양도', '퇴직연금수수료', '미래산업주가', '배당ETF', '갭투자', '옵션거래', '오늘의순금시세', '5대골절', '지급명령', '실비암보험', '도지코인전망', '금시세', '실비보험비교사이트', '실비보험비갱신', '오늘의금시세', '실내정원', '암보험', '국내배당주', '일자리사이트', '신혼부부특별공급', '순금시세', '오늘금시세', '60대실비보험', '금시세전망', '증여세신고', '오늘순금시세', '근저당설정해지', 'CMA계좌', '복리적금', '한미반도체주가', '기업은행주가', '차용증양식', '보험종류', '오늘금값', 'DGB생명', '표적항암치료비용', '레이븐코인', '거래명세서'|||'두나무주가', '부가세', '도지코인', '순금', '가상자산', '상속포기신고', '카드사', '해외선물거래', '아파트등기비용', '금투자방법', '한돈시세', '소유권이전등기비용', '에이치엘비주가', '오늘금시세한돈', '옵션거래', '투자신탁', '지급명령', 'OKX', '법인등기', '블로그돈벌기', '골드바100G', '금시세', '금ETF', '실비보험비교사이트', '퇴직금', '반도체관련주', '공모전사이트', '신용카드발급', '리플전망', '실비보험비갱신', '국민연금', '코인거래', '금1돈시세', '엑셀러레이터', '금한돈가격', '코인추천', '암보험', '매수', 'THE건강보험', '코스모스코인', '일자리사이트', '비상금대출', '도지코인시세', '실손보험료', '실비보험가입조건', '선물옵션만기일', '순금시세', '방산주', '금펀드', '법인자동차보험', '60대실비보험', '소상공인지원사업', '금투자', '금주식', '사망보험', '현재금값', 'AIG손해보험', '3.3%계산기', '하나은행환율', '기술특례상장', '보험조회', '공제보험', 'TIGER200IT', '손해보험', '금한돈', '부가세신고기간', '24K금값', 'ISC주가', '수익률계산기'|||'삼성전자관련주', 'ETF배당금', '근무일수계산기', '삼성SDI주가', '자동차보험다이렉트', '오늘금시세한돈', '옵션거래', '실비암보험', '풍경그림', '블록체인기술', 'LH청약', '공모전사이트', '국채투자', '벤처기업인증', '실내정원', 'DGB생명', '사업자대출한도', '실시간국제금시세', '차량보험', '아두이노키트', 'KODEX미국S&P500TR', '미국채권ETF', 'PYTHON', '24K금시세', 'DART', '사업자금대출', '일수계산', '프랜차이즈박람회', '보험료조회', '자동차보험비교', 'KODEX반도체', '금시세전망', 'TIGER미국S&P500', '다모아보험', '지원사업', '기업부설연구소', '농협증권', '보증금대출', '국제금시세'|||'해외선물거래', '근무일수계산기', '자동차보험다이렉트', '소유권이전등기비용', '옵션거래', '배당주', '실비암보험', '금팔때', '법인등기', '상속포기신고서', '상속세신고기한', '골드바100G', 'LH청약', '실내정원', '사업자대출한도', '특징주', '상속한정승인', '일수계산', '보험료조회', '미국주식', '자동차보험비교', '엔달러환율', '60대실비보험', '다모아보험', '지원사업', '종합주가', '농협증권', '보증금대출', '상속포기'|||'평생교육원', '후견인', '체크카드혜택', '법인등기', '일자리구하기', '법정상속인', 'NPL', '앱', '압류통장해지', '대여금', '계약금', '고시원', '질권설정', '부가세신고기간'|||"
주요 검색어|||스팩주|||ISA계좌개설|||플레이댑|||오늘금값|||종합보험|||연말정산간소화|||
