index|||일별 급상승|||주별 급상승|||주별 지속상승|||월별 급상승|||월별 지속상승|||월별 규칙성|||
240327 검색어 수|||7|||99|||186|||193|||90|||88|||
240328 검색어 수|||7|||98|||185|||191|||90|||89|||
검색어 증감|||0|||-1|||-1|||-2|||0|||1|||
검색어 증감(%)|||0.0|||-1.01|||-0.54|||-1.04|||0.0|||1.14|||
"새로운 검색어||||||'입원보험'|||'입원보험', '하나은행IRP'||||||'재무제표사이트'|||'일자리구하기'|||"
"빠진 검색어||||||'초기비용없는재택알바', 'TIGERS&P500'|||'질병후유장해', '초기비용없는재택알바', 'TIGERS&P500'|||'금값시세1돈', 'TIGERS&P500'|||'금값시세1돈'||||||"
주요 검색어|||배당금계산기|||삼성전자우|||대여금반환청구소송|||금값시세|||종합보험|||연말정산간소화|||
