기준일자|||유형|||연관검색어|||검색키워드|||검색량|||지표|||뉴스제목|||뉴스링크|||활동성|||구글검색어|||네이버검색어|||상승월|||
2024-03-19|||주별 급상승|||3기신도시본청약|||아파트청약|||1720.0|||4.7%|||[단독] “내집 마련 기회 온건가”…분상제 적용 ‘이곳’ 올해 4500가구 쏟아...|||https://n.news.naver.com/mnews/article/009/0005272396?sid=101|||0.0%||||||LH청약||||||
2024-03-19|||주별 급상승|||3기신도시본청약|||아파트청약|||1720.0|||4.7%|||싼 매물 찾아 탈서울 했는데… 수도권 전셋값도 '들썩' [현장르포]|||https://n.news.naver.com/mnews/article/014/0005154357?sid=101|||0.0%||||||우미린||||||
"2024-03-19|||주별 급상승|||3기신도시본청약|||아파트청약|||1720.0|||4.7%|||[르포] ""전세 매물이요?...무섭게 빠집니다"".. 수도권 전세시장 '들썩'|||https://n.news.naver.com/mnews/article/014/0005154311?sid=101|||0.0%||||||고덕아르테온||||||"
2024-03-19|||주별 급상승|||3기신도시본청약|||아파트청약|||1720.0|||4.7%|||4.5% 이자에 분양 땐 2%대 대출...청년 새 청약통장 출시|||https://n.news.naver.com/mnews/article/052/0002000511?sid=101|||0.0%||||||3기신도시||||||
2024-03-19|||주별 급상승|||3기신도시본청약|||아파트청약|||1720.0|||4.7%|||4.5% 이자에 분양 땐 2%대 대출...청년 새 청약통장 출시|||https://n.news.naver.com/mnews/article/052/0002000364?sid=101|||0.0%||||||아파트전세||||||
2024-03-19|||주별 급상승|||60대실비보험|||의료비보험|||1680.0|||10.0%|||[스트레이트] 의사들은 왜 극렬 저항하나? - 엘리트 집단과 망가진 의료|||https://n.news.naver.com/mnews/article/214/0001336944?sid=102|||0.0%||||||실비보험||||||
2024-03-19|||주별 급상승|||60대실비보험|||의료비보험|||1680.0|||10.0%|||전립선비대증이 보내는 마지막 경고 '요로폐색(요로가 막혀 소변이 안 나오는...|||https://n.news.naver.com/mnews/article/346/0000071463?sid=004|||0.0%||||||실손보험||||||
2024-03-19|||주별 급상승|||60대실비보험|||의료비보험|||1680.0|||10.0%|||[알쓸인잡] 전공의 집단 사직을 그들의 눈높이로 이해해보기|||https://www.bizhankook.com/article/27195|||0.0%||||||실비||||||
2024-03-19|||주별 급상승|||60대실비보험|||의료비보험|||1680.0|||10.0%|||[기획] 퇴행성 뇌질환 연구 나선 각국 정부글로벌 제약사… 국내도 관련 연구...|||https://weekly.cnbnews.com/news/article.html?no=157810|||0.0%||||||간병비보험||||||
"2024-03-19|||주별 급상승|||60대실비보험|||의료비보험|||1680.0|||10.0%|||이사비부터 보증금까지..지자체, 전입청년 지원 총력|||http://www.dailypop.kr/news/articleView.html?idxno=74877|||0.0%||||||실비보험비교사이트||||||"
"2024-03-19|||주별 급상승|||60대실비보험|||의료비보험|||1680.0|||10.0%|||[영주24시] 영주시, 청년 이사비 최대 50만원 지원…경북 최초|||https://n.news.naver.com/mnews/article/586/0000071868?sid=102|||0.0%||||||실비보험가입||||||"
"2024-03-19|||주별 급상승|||60대실비보험|||의료비보험|||1680.0|||10.0%|||[인터뷰] '고객이 떠나고 있다'…강석주 위원장, '종합복지관 표준 매뉴얼' 만...|||https://www.gokorea.kr/news/articleView.html?idxno=749753|||0.0%||||||간병보험||||||"
"2024-03-19|||주별 급상승|||60대실비보험|||의료비보험|||1680.0|||10.0%|||""조기 유방암 지원군 '버제니오', 5년 장기효과…임상적 가치 와닿아""|||http://www.hitnews.co.kr/news/articleView.html?idxno=51063|||0.0%||||||어른이보험||||||"
2024-03-19|||주별 급상승|||60대실비보험|||의료비보험|||1680.0|||10.0%|||주요수술 환자 '27%' 타지역서 수술받아|||http://www.docdocdoc.co.kr/news/articleView.html?idxno=3011593|||0.0%||||||유병자실비보험||||||
2024-03-19|||주별 급상승|||60대실비보험|||의료비보험|||1680.0|||10.0%|||[뉴블더] 임플란트 싸게 해준다더니…알고 보니 중국에서 온 '가짜 의사'|||https://n.news.naver.com/mnews/article/055/0001108147?sid=102|||0.0%||||||실손보험비교||||||
"2024-03-19|||주별 급상승|||CI보험|||건강보험|||6450.0|||90.91%|||교보생명, 카카오톡 기반 '교보 톡톡' 서비스 론칭|||https://www.incheonilbo.com/news/articleView.html?idxno=1239771|||0.2%||||||건강보험||||||"
"2024-03-19|||주별 급상승|||CI보험|||건강보험|||6450.0|||90.91%|||신한EZ손해 보험 , 현대글로비스와 '오토벨 보증연장서비스' 판매|||https://www.lcnews.co.kr/news/articleView.html?idxno=71454|||0.2%||||||간병인보험||||||"
"2024-03-19|||주별 급상승|||CI보험|||건강보험|||6450.0|||90.91%|||신한EZ손해 보험 , 현대글로비스와 '오토벨 보증연장서비스' 판매 개시|||https://www.psnews.co.kr/news/articleView.html?idxno=2049799|||0.2%||||||건강보험료||||||"
"2024-03-19|||주별 급상승|||CI보험|||건강보험|||6450.0|||90.91%|||하나투어, 고객 선택형 결합상품 ""내맘대로"" 자유여행 선보여|||https://www.discoverynews.kr/news/articleView.html?idxno=1041058|||0.2%||||||암보험||||||"
2024-03-19|||주별 급상승|||CI보험|||건강보험|||6450.0|||90.91%|||[Who Is ?] 이환주 KB라이프생명 대표이사 사장|||https://www.businesspost.co.kr/BP?command=article_view&num=345860|||0.2%||||||농협손해보험||||||
2024-03-19|||주별 급상승|||CI보험|||건강보험|||6450.0|||90.91%|||보험 금 대리청구인 제도 아시나요?|||https://n.news.naver.com/mnews/article/015/0004960831?sid=101|||0.2%||||||메리츠||||||
