기준일자,유형,연관검색어,검색키워드,검색량,지표,뉴스제목,뉴스링크,활동성,구글검색어,네이버검색어,상승월
2024-03-26,일별 급상승,갭투자,"부동산,조각투자",9720.0,68.59%,"'갭투기' 의혹에 공천취소 초강수…민주, 2021년 재보궐 악몽 탓",https://n.news.naver.com/mnews/article/421/0007436600?sid=165,85.1%, ,청약, 
2024-03-26,일별 급상승,갭투자,"부동산,조각투자",9720.0,68.59%,[현장르포] ‘개봉고가 전면개통’ 인근 부동산시장 둘러보니...대단지 급매 ...,https://n.news.naver.com/mnews/article/014/0005161862?sid=101,85.1%, ,힐스테이트, 
2024-03-26,일별 급상승,갭투자,"부동산,조각투자",9720.0,68.59%,부동산·성폭행변호·탈세 등…거대 양당 부실검증,https://www.naeil.com/news/read/505562?ref=naver,85.1%, ,아파트, 
2024-03-26,일별 급상승,갭투자,"부동산,조각투자",9720.0,68.59%,"요동치는 세종갑 김종민 ""민주당 싫어서 탈당한 것 아냐…방향은 같아""",http://www.sisafocus.co.kr/news/articleView.html?idxno=315023,85.1%, ,부동산스터디, 
2024-03-26,일별 급상승,갭투자,"부동산,조각투자",9720.0,68.59%,[뉴스포커스] 여야 '부실 공천' 공방…총선 D-15 첫 판세 자체 분석,https://n.news.naver.com/mnews/article/422/0000651768?sid=100,85.1%, ,중개수수료계산기, 
2024-03-26,일별 급상승,갭투자,"부동산,조각투자",9720.0,68.59%,"김종민 ""이재명 공격하기보단 尹정권 심판에 주력""",https://n.news.naver.com/mnews/article/079/0003878052?sid=165,85.1%, ,부동산실거래가조회, 
2024-03-26,일별 급상승,갭투자,"부동산,조각투자",9720.0,68.59%,"“청년들, 돈 몇푼에 범죄 가담 안타까워”… ‘대출사기 엄단’ 한우현 검사...",https://n.news.naver.com/mnews/article/016/0002285733?sid=102,85.1%, ,명함, 
2024-03-26,일별 급상승,갭투자,"부동산,조각투자",9720.0,68.59%,"이재명, '세종갑 공천 취소'에 ""치명적이지만 국민이 보상해줄 것""",http://www.shinailbo.co.kr/news/articleView.html?idxno=1848378,85.1%, ,명함제작, 
2024-03-26,일별 급상승,갭투자,"부동산,조각투자",9720.0,68.59%,"전병헌 ""비리 의혹 브라더스 때문에...동작갑 선거 난장판 됐다""",https://news.bbsi.co.kr/news/articleView.html?idxno=3149760,85.1%, ,공인중개사, 
2024-03-26,일별 급상승,갭투자,"부동산,조각투자",9720.0,68.59%,[정치시그널]인터뷰 전문…김지호 “한동훈이 해결사? 갈등 극렬하게 만든 다...,https://n.news.naver.com/mnews/article/449/0000271031?sid=100,85.1%, ,아파트매매, 
2024-03-26,일별 급상승,관세,세금,30670.0,73.93%,"베트남 철강 산업, 중국산 철강 유입으로 위기…두 달새 180만톤 유입",http://www.g-enews.com/ko-kr/news/article/news_all/202403261407325093e8b8a793f7_1/article.html,53.1%, ,연말정산환급금조회, 
2024-03-26,일별 급상승,관세,세금,30670.0,73.93%,정책평가연구원 조세개혁 간담회·비전포럼…법인·상속세 논의,https://n.news.naver.com/mnews/article/001/0014589227?sid=101,53.1%, ,연말정산, 
2024-03-26,일별 급상승,관세,세금,30670.0,73.93%,"식약처가 임시마약류 지정한 '부토니타젠', 어떤 약이기에?",https://www.healthinnews.co.kr/news/articleView.html?idxno=45576,53.1%, ,연말정산환급금, 
