,일별 급상승,주별 급상승,주별 지속상승,월별 급상승,월별 지속상승,월별 규칙성
어제 검색어 수,7,98,185,191,90,89
오늘 검색어 수,7,99,186,193,90,88
검색어 증감,0,1,1,2,0,-1
검색어 증감(%),0.0,1.0204081632653061,0.5405405405405406,1.0471204188481675,0.0,-1.1235955056179776
새로운 검색어,[],"['초기비용없는재택알바', 'TIGERS&P500']","['질병후유장해', '초기비용없는재택알바', 'TIGERS&P500']","['금값시세1돈', 'TIGERS&P500']",['금값시세1돈'],[]
빠진 검색어,[],['입원보험'],"['입원보험', '하나은행IRP']",[],['재무제표사이트'],['일자리구하기']
주요 검색어,배당금계산기,3D프린터종류,20대실비보험,24K금값,AI주식,14K금시세
