기준일자,유형,연관검색어,검색키워드,검색량,지표,뉴스제목,뉴스링크,활동성,구글검색어,네이버검색어,상승월
2024-03-26,일별 급상승,대출,"금리, 금융상품",173600.0,125.93%,1월 부산 제조업 생산 늘고 소비·설비투자는 감소,https://www.busaneconomy.com/news/articleView.html?idxno=310634,0.0%, ,삼성전자주가, 
2024-03-26,일별 급상승,대출,"금리, 금융상품",173600.0,125.93%,"충주경찰, 보이스피싱 예방 유공 청원경찰 감사장 수여",https://www.inews365.com/news/article.html?no=807162,0.0%, ,미국증시, 
2024-03-26,일별 급상승,대출,"금리, 금융상품",173600.0,125.93%,"KB국민은행, 폴란드에 코리아데스크 설치",https://www.sportsw.kr/news/newsview.php?ncode=1065575438816339,0.0%, ,달러환율, 
2024-03-26,일별 급상승,대출,"금리, 금융상품",173600.0,125.93%,수사·금융 기관 사칭 6억 편취 보이스피싱 일당 검거,http://news.tf.co.kr/read/national/2085917.htm,0.0%, ,부동산, 
2024-03-26,일별 급상승,대출,"금리, 금융상품",173600.0,125.93%,"“클로바X, 날씨 물어도 답 못해” 자화자찬 네이버에 뿔난 주주들… 최수연 ...",https://biz.chosun.com/it-science/ict/2024/03/26/JU5U4J4GBRBMTK2PQVZFIFIMOA/?utm_source=naver&utm_medium=original&utm_campaign=biz,0.0%, ,나스닥선물, 
2024-03-26,일별 급상승,대출,"금리, 금융상품",173600.0,125.93%,"KB국민은행-페카오은행, 폴란드에 코리아데스크 설치",https://www.pointe.co.kr/news/articleView.html?idxno=20332,0.0%, ,나스닥, 
2024-03-26,일별 급상승,대출,"금리, 금융상품",173600.0,125.93%,"KB국민은행, 폴란드에 코리아데스크 설치…동유럽 진출 발판",https://www.ziksir.com/news/articleView.html?idxno=54519,0.0%, ,대출계산기, 
2024-03-26,일별 급상승,대출,"금리, 금융상품",173600.0,125.93%,"KB국민은행, 폴란드에 코리아데스크 설치",http://www.whitepaper.co.kr/news/articleView.html?idxno=232861,0.0%, ,유럽증시, 
2024-03-26,일별 급상승,대출,"금리, 금융상품",173600.0,125.93%,작년 보험사 당기순이익 13조4천억원…전년 대비 45.5%↑,http://www.efnews.co.kr/news/articleView.html?idxno=110810,0.0%, ,대출이자계산기, 
2024-03-26,일별 급상승,대출,"금리, 금융상품",173600.0,125.93%,"보험사, 중소기업 부실채권 급증",https://www.naeil.com/news/read/505561?ref=naver,0.0%, ,이자계산기, 
2024-03-26,일별 급상승,재테크,"금리, 금융상품, 부동산, 재테크, 돈버는법, 급등주, 배당주, 채권금리, 미국금리, ETF, 적립식펀드, ELS, CMA통장, 채권, 신탁, 미술품, 조각투자, 돈버는앱",32280.0,14.57%,야놀자 놀먹보...캐시워크 돈버는퀴즈 3월 26일 문제와 정답,https://www.wikitree.co.kr/articles/937982,2.7%, ,삼성전자주가, 
2024-03-26,일별 급상승,재테크,"금리, 금융상품, 부동산, 재테크, 돈버는법, 급등주, 배당주, 채권금리, 미국금리, ETF, 적립식펀드, ELS, CMA통장, 채권, 신탁, 미술품, 조각투자, 돈버는앱",32280.0,14.57%,‘대파 논란’에 체면 구긴 용산,https://www.naeil.com/news/read/505541?ref=naver,2.7%, ,미국증시, 
2024-03-26,일별 급상승,재테크,"금리, 금융상품, 부동산, 재테크, 돈버는법, 급등주, 배당주, 채권금리, 미국금리, ETF, 적립식펀드, ELS, CMA통장, 채권, 신탁, 미술품, 조각투자, 돈버는앱",32280.0,14.57%,"日 '금리가 있는 세상'으로…""휴면 현금, 성장의 원천""",https://news.einfomax.co.kr/news/articleView.html?idxno=4303371,2.7%, ,달러환율, 
2024-03-26,일별 급상승,재테크,"금리, 금융상품, 부동산, 재테크, 돈버는법, 급등주, 배당주, 채권금리, 미국금리, ETF, 적립식펀드, ELS, CMA통장, 채권, 신탁, 미술품, 조각투자, 돈버는앱",32280.0,14.57%,"[ 재테크 ] ""우리팀 이기면 우대금리가""…은행권, 프로야구 예적금 봇물",https://www.mediapen.com/news/view/907147,2.7%, ,부동산, 
2024-03-26,일별 급상승,재테크,"금리, 금융상품, 부동산, 재테크, 돈버는법, 급등주, 배당주, 채권금리, 미국금리, ETF, 적립식펀드, ELS, CMA통장, 채권, 신탁, 미술품, 조각투자, 돈버는앱",32280.0,14.57%,"개그맨 출신 권영찬 박사, ‘소통 노하우’ 주제로 강연",https://www.raonnews.com/news/article.html?no=38037,2.7%, ,나스닥선물, 
2024-03-26,일별 급상승,재테크,"금리, 금융상품, 부동산, 재테크, 돈버는법, 급등주, 배당주, 채권금리, 미국금리, ETF, 적립식펀드, ELS, CMA통장, 채권, 신탁, 미술품, 조각투자, 돈버는앱",32280.0,14.57%,금리 높은데 ‘일 복리’까지…CMA 모르는 사람 모두 모여,https://www.hani.co.kr/arti/economy/economy_general/1133841.html,2.7%, ,나스닥, 
2024-03-26,일별 급상승,재테크,"금리, 금융상품, 부동산, 재테크, 돈버는법, 급등주, 배당주, 채권금리, 미국금리, ETF, 적립식펀드, ELS, CMA통장, 채권, 신탁, 미술품, 조각투자, 돈버는앱",32280.0,14.57%,비씨카드·KB국민카드·현대카드 外 [Daily Pick금융],https://www.ngetnews.com/news/articleView.html?idxno=503802,2.7%, ,대출계산기, 
2024-03-26,일별 급상승,재테크,"금리, 금융상품, 부동산, 재테크, 돈버는법, 급등주, 배당주, 채권금리, 미국금리, ETF, 적립식펀드, ELS, CMA통장, 채권, 신탁, 미술품, 조각투자, 돈버는앱",32280.0,14.57%,"카카오페이, 부부·가족 위한 ‘함께하는 자산관리’ 출시",http://www.segye.com/newsView/20240325507378?OutUrl=naver,2.7%, ,유럽증시, 
2024-03-26,일별 급상승,재테크,"금리, 금융상품, 부동산, 재테크, 돈버는법, 급등주, 배당주, 채권금리, 미국금리, ETF, 적립식펀드, ELS, CMA통장, 채권, 신탁, 미술품, 조각투자, 돈버는앱",32280.0,14.57%,캐시닥·타임스프레드·지니어트 용돈퀴즈 문제+정답 공개 (3월 26일),https://www.wikitree.co.kr/articles/937817,2.7%, ,대출이자계산기, 
2024-03-26,일별 급상승,재테크,"금리, 금융상품, 부동산, 재테크, 돈버는법, 급등주, 배당주, 채권금리, 미국금리, ETF, 적립식펀드, ELS, CMA통장, 채권, 신탁, 미술품, 조각투자, 돈버는앱",32280.0,14.57%,[정치시그널]인터뷰 전문…김지호 “한동훈이 해결사? 갈등 극렬하게 만든 다...,https://www.ichannela.com/news/main/news_detailPage.do?publishId=000000400817,2.7%, ,이자계산기, 
2024-03-26,일별 급상승,비상금대출,금융상품,73600.0,59.52%,"1위 기업은행 주가·2위 카카오뱅크 주가·3위 우리금융지주 주가, 3월 4주차...",https://www.stardailynews.co.kr/news/articleView.html?idxno=442006,53.4%, ,삼성전자주가, 
2024-03-26,일별 급상승,비상금대출,금융상품,73600.0,59.52%,바이든 ‘경제 좋다’는데…美 전당포들 “재고 넘쳐…고객들 돈 없다는 뜻”,https://www.chosun.com/international/us/2024/03/26/5JVCXXVHENH5TPXRTLZQSTMTJQ/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,53.4%, ,대출이자계산기, 
2024-03-26,일별 급상승,비상금대출,금융상품,73600.0,59.52%,"1위 예스24·2위 카카오뱅크·3위 NH투자증권, 3월 3주차 테마별 주식 인터넷...",https://www.delighti.co.kr/news/articleView.html?idxno=77265,53.4%, ,주식시세, 
2024-03-26,일별 급상승,비상금대출,금융상품,73600.0,59.52%,"1위 기업은행 주가·2위 카카오뱅크 주가·3위 제주은행 주가, 3월 3주차 업종...",https://www.ekn.kr/web/view.php?key=20240322028320126,53.4%, ,적금, 
2024-03-26,일별 급상승,비상금대출,금융상품,73600.0,59.52%,PF부실에 흔들…저축은행 9년 만에 적자,https://www.sedaily.com/NewsView/2D6QXFZ4E6,53.4%, ,에코프로주가, 
2024-03-26,일별 급상승,비상금대출,금융상품,73600.0,59.52%,"고물가·고금리 때문에…"" 비상금  1000불도 없다""",https://news.koreadaily.com/2024/03/21/economy/economygeneral/20240321205601890.html,53.4%, ,대출, 
2024-03-26,일별 급상승,비상금대출,금융상품,73600.0,59.52%,"부모 47%, 전국 평균 월 1384불 성인 자녀 지원",https://news.koreadaily.com/2024/03/21/economy/economygeneral/20240321205502063.html,53.4%, ,예금금리, 
2024-03-26,일별 급상승,비상금대출,금융상품,73600.0,59.52%,3월21일 이브닝뉴스 헤드라인,https://www.radiokorea.com/news/article.php?uid=440498,53.4%, ,ETF, 
2024-03-26,일별 급상승,비상금대출,금융상품,73600.0,59.52%,고금리·PF 직격타…저축은행 5500억원 적자,https://www.nocutnews.co.kr/news/6115739?utm_source=naver&utm_medium=article&utm_campaign=20240322065845,53.4%, ,금리, 
2024-03-26,일별 급상승,비상금대출,금융상품,73600.0,59.52%,[기고] 미국 가정이 직면한 ‘부채의 덫’,https://news.koreadaily.com/2024/03/20/society/opinion/20240320200916476.html,53.4%, ,정기예금금리비교, 
2024-03-26,일별 급상승,갭투자,"부동산, 조각투자",9720.0,68.59%,부동산·성폭행변호·탈세 등…거대 양당 부실검증,https://www.naeil.com/news/read/505562?ref=naver,86.4%, ,부동산, 
