기준일자|||유형|||연관검색어|||검색일자|||검색량|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-20 00:00:00|||3.44827|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-21 00:00:00|||3.69458|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-22 00:00:00|||5.41871|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-23 00:00:00|||2.70935|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-24 00:00:00|||3.69458|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-25 00:00:00|||4.6798|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-26 00:00:00|||3.94088|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-27 00:00:00|||2.95566|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-28 00:00:00|||5.41871|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-29 00:00:00|||3.2019700000000006|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-30 00:00:00|||6.403940000000001|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-03-31 00:00:00|||5.66502|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-01 00:00:00|||2.95566|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-02 00:00:00|||5.91133|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-03 00:00:00|||5.17241|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-04 00:00:00|||3.69458|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-05 00:00:00|||7.88177|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-06 00:00:00|||4.18719|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-07 00:00:00|||1.47783|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-08 00:00:00|||6.403940000000001|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-09 00:00:00|||4.6798|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-10 00:00:00|||4.43349|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-11 00:00:00|||4.43349|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-12 00:00:00|||3.69458|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-13 00:00:00|||5.41871|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-14 00:00:00|||5.17241|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-15 00:00:00|||5.41871|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-16 00:00:00|||4.43349|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-17 00:00:00|||5.66502|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-18 00:00:00|||5.17241|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-19 00:00:00|||6.65024|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-20 00:00:00|||3.94088|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-21 00:00:00|||33.00492|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-22 00:00:00|||35.22167|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-23 00:00:00|||15.02463|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-24 00:00:00|||14.039400000000002|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-25 00:00:00|||11.82266|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-26 00:00:00|||19.21182|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-27 00:00:00|||15.27093|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-28 00:00:00|||11.57635|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-29 00:00:00|||12.807880000000003|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-04-30 00:00:00|||10.09852|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-05-01 00:00:00|||4.9261|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-05-02 00:00:00|||15.02463|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-05-03 00:00:00|||15.76354|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-05-04 00:00:00|||12.06896|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-05-05 00:00:00|||13.54679|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-05-06 00:00:00|||15.27093|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-05-07 00:00:00|||10.83743|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-05-08 00:00:00|||12.31527|||
2024-03-21|||일별급상승|||3기신도시본청약|||2021-05-09 00:00:00|||12.56157|||
