기준일자,유형,연관검색어,검색키워드,검색량,지표,뉴스제목,뉴스링크,활동성,구글검색어,네이버검색어,상승월
2024-01-09,일별 급상승,전세대출계산기,채권금리,9810.0,26.06%,"""내게 맞는 상품은?""…핀크, '주택담보 대출  알아보기' 서비스 오픈",https://www.etoday.co.kr/news/view/2319267,1.5%, ,환율, 
2024-01-09,일별 급상승,전세대출계산기,채권금리,9810.0,26.06%,"핀크, ‘주택담보 대출  알아보기’ 서비스 오픈",https://www.ebn.co.kr/news/view/1607906/?sc=Naver,1.5%, ,이자계산기, 
2024-01-09,일별 급상승,전세대출계산기,채권금리,9810.0,26.06%,"핀크, ‘주택담보 대출  알아보기’ 시작",https://www.ekn.kr/web/view.php?key=20240109010002386,1.5%, ,에코프로주가, 
2024-01-09,일별 급상승,전세대출계산기,채권금리,9810.0,26.06%,"핀크, ‘주택담보 대출  알아보기’ 서비스 오픈",http://news.heraldcorp.com/view.php?ud=20240109000117,1.5%, ,코스닥, 
2024-01-09,일별 급상승,전세대출계산기,채권금리,9810.0,26.06%,"핀크, ‘주담대 알아보기’ 서비스 오픈…“빠르게 조회하고 바로 신청”",http://www.edaily.co.kr/news/newspath.asp?newsid=01617046638756080,1.5%, ,증시, 
2024-01-09,일별 급상승,전세대출계산기,채권금리,9810.0,26.06%,"비대면 주담대 대환 D-1…플랫폼 업체, 미래 고객 선점 경쟁 ‘본격화’",https://www.ebn.co.kr/news/view/1607793/?sc=Naver,1.5%, ,에코프로비엠주가, 
2024-01-09,일별 급상승,전세대출계산기,채권금리,9810.0,26.06%,"네이버페이, 주담대 대환 출시 예고…10개 금융사와 제휴 外 카카오·토스뱅크...",http://www.kukinews.com/newsView/kuk202401050027,1.5%, ,홍콩H지수, 
2024-01-09,일별 급상승,전세대출계산기,채권금리,9810.0,26.06%,"KB국민은행, 서민 주거안심 'SH임차형 공공주택' 전용관 오픈",http://www.bizwnews.com/news/articleView.html?idxno=73463,1.5%, ,아시아증시, 
2024-01-09,일별 급상승,전세대출계산기,채권금리,9810.0,26.06%,"KB국민은행, `SH임차형 공공주택` 전용관 오픈",http://www.economytalk.kr/news/articleView.html?idxno=248026,1.5%, ,금양주가, 
2024-01-09,일별 급상승,전세대출계산기,채권금리,9810.0,26.06%,"KB국민은행, 서민 주거안심 위한 'SH임차형 공공주택' 전용관 오픈",http://www.finomy.com/news/articleView.html?idxno=204822,1.5%, ,애플주가, 
