기준일자,유형,연관검색어,검색키워드,검색량,지표,뉴스제목,뉴스링크,활동성,구글검색어,네이버검색어,상승월
2024-03-21,일별 급상승,해남부동산,부동산,8650.0,17.86%,공익성•기술력 두마리 토끼 잡는 '민관협력' 사업이 뜬다... 지방자치단체도...,https://www.apnews.kr/news/articleView.html?idxno=3016987,5.7%, ,명함, 
2024-03-21,일별 급상승,해남부동산,부동산,8650.0,17.86%,공익성·기술력 두마리 토끼 잡는 '민관협력' 사업 뜬다,https://www.smarttoday.co.kr/news/articleView.html?idxno=45455,5.7%, ,명함제작, 
2024-03-21,일별 급상승,해남부동산,부동산,8650.0,17.86%,공익성·기술력 두마리 토끼 잡는 `민관협력` 사업이 뜬다,https://www.dt.co.kr/contents.html?article_no=2024031202109923039002&ref=naver,5.7%, ,공인중개사, 
2024-03-21,일별 급상승,삼성전자주가전망,"재테크, 배당주, 주가지수, ETF",16980.0,197.24%,"코스피, 美 훈풍에 장 초반 1%대 급등…2720선 등락",http://www.seoulwire.com/news/articleView.html?idxno=602121,73.8%, ,삼성전자주가, 
2024-03-21,일별 급상승,삼성전자주가전망,"재테크, 배당주, 주가지수, ETF",16980.0,197.24%,"다올투자證 ""반도체 산업 확장성 주목… '에스티아이' 최선호주'""",https://www.ajunews.com/view/20240321092712825,73.8%, ,부동산, 
2024-03-21,일별 급상승,삼성전자주가전망,"재테크, 배당주, 주가지수, ETF",16980.0,197.24%,실적 풍향계 美 마이크론 “내년 HBM까지 거의 다 팔렸다”...시간외 주가  18%...,https://www.chosun.com/economy/tech_it/2024/03/21/5UPAPIWZTZHKZEFQVHDNIUNPFU/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,73.8%, ,현대차주가, 
2024-03-21,일별 급상승,삼성전자주가전망,"재테크, 배당주, 주가지수, ETF",16980.0,197.24%,"""파월·마이크론 고맙다""… 삼성전자 ·SK하이닉스 강세",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202403210046&t=NN,73.8%, ,삼성중공업주가, 
2024-03-21,일별 급상승,삼성전자주가전망,"재테크, 배당주, 주가지수, ETF",16980.0,197.24%,"KB證 "" 삼성전자 , 대형 M&A 기대…밸류업 구간 진입""",https://www.newsway.co.kr/news/view?ud=2024032109154179477,73.8%, ,아시아증시, 
2024-03-21,일별 급상승,삼성전자주가전망,"재테크, 배당주, 주가지수, ETF",16980.0,197.24%,미국發 반도체 호재 만발… 삼성전자 ·SK하이닉스 '강세',https://www.hankyung.com/article/2024032156066,73.8%, ,증권, 
2024-03-21,일별 급상승,삼성전자주가전망,"재테크, 배당주, 주가지수, ETF",16980.0,197.24%,"[개장시황] 국내 증시, 1% 넘게 오르며 상승 출발… 美FOMC '경기 연착륙' 기...",https://www.ajunews.com/view/20240321092009813,73.8%, ,적금, 
2024-03-21,일별 급상승,삼성전자주가전망,"재테크, 배당주, 주가지수, ETF",16980.0,197.24%," 삼성전자 , 1Q 메모리 반도체 흑전...밸류업 구간 진입 -KB증권",http://www.metroseoul.co.kr/article/20240321500033,73.8%, ,증시, 
2024-03-21,일별 급상승,삼성전자주가전망,"재테크, 배당주, 주가지수, ETF",16980.0,197.24%,美 훈풍 타고 코스피 2700선·코스닥 900선 돌파,https://biz.chosun.com/stock/stock_general/2024/03/21/BJKT6NTYKVCNXH5AYVP3DJY3NE/?utm_source=naver&utm_medium=original&utm_campaign=biz,73.8%, ,주식시세, 
2024-03-21,일별 급상승,삼성전자주가전망,"재테크, 배당주, 주가지수, ETF",16980.0,197.24%,"[특징주]  삼성전자 ·SK하이닉스, 마이크론 호실적에 강세",https://www.etoday.co.kr/news/view/2342460,73.8%, ,셀트리온주가, 
2024-03-21,일별 급상승,주식복리계산기,"배당주, 주가지수, CMA통장, CMA금리비교, 신탁",17530.0,8.51%,"[증권소식] 금융위 ""PBR이 PER보다 국내증시 평가 적절""/ETF도 '저PBR' 테마 ...",https://www.asiatime.co.kr/article/20240206500316,1.6%, ,환율, 
2024-03-21,일별 급상승,주식복리계산기,"배당주, 주가지수, CMA통장, CMA금리비교, 신탁",17530.0,8.51%,[증권가] KB증권 하나증권 NH투자증권 IBK투자증권,http://www.biztribune.co.kr/news/articleView.html?idxno=299407,1.6%, ,삼성전자주가, 
2024-03-21,일별 급상승,주식복리계산기,"배당주, 주가지수, CMA통장, CMA금리비교, 신탁",17530.0,8.51%,[#증권톡톡] KB증권 MTS 절세관리 서비스 오픈·삼성자산운용 Kodex 연금계좌...,http://www.newsworks.co.kr/news/articleView.html?idxno=736943,1.6%, ,국제유가, 
2024-03-21,일별 급상승,주식복리계산기,"배당주, 주가지수, CMA통장, CMA금리비교, 신탁",17530.0,8.51%,[강정영 더봄] 내가 부자 될 확률은 얼마나 될까,https://www.womaneconomy.co.kr/news/articleView.html?idxno=218332,1.6%, ,코스닥, 
2024-03-21,일별 급상승,주식복리계산기,"배당주, 주가지수, CMA통장, CMA금리비교, 신탁",17530.0,8.51%,하반기 주목할 금융상품은 무엇..경쟁 가열,http://www.newsis.com/view/?id=NISX20230728_0002394451&cID=15001&pID=15000,1.6%, ,증권, 
2024-03-21,일별 급상승,주식복리계산기,"배당주, 주가지수, CMA통장, CMA금리비교, 신탁",17530.0,8.51%,"[단신]케이뱅크, 공모주 청약 안내 서비스 출시 外",https://www.donga.com/news/Economy/article/all/20230515/119307621/1,1.6%, ,적금, 
2024-03-21,일별 급상승,주식복리계산기,"배당주, 주가지수, CMA통장, CMA금리비교, 신탁",17530.0,8.51%,"[윤태곤의 판] 태영호는 자진사퇴, 김재원의 선택은?",https://www.nocutnews.co.kr/news/5940802,1.6%, ,증시, 
2024-03-21,일별 급상승,주식복리계산기,"배당주, 주가지수, CMA통장, CMA금리비교, 신탁",17530.0,8.51%,"[금융 이모저모] 하나증권, 'All-in-one 해외투자 세미나' 개최",http://www.greened.kr/news/articleView.html?idxno=303141,1.6%, ,코스피지수, 
2024-03-21,일별 급상승,주식복리계산기,"배당주, 주가지수, CMA통장, CMA금리비교, 신탁",17530.0,8.51%,"[알렉스 에드먼스의 Pieconomics] “위기의 자본주의,  계산기 에서 벗어나라”",http://news.heraldcorp.com/view.php?ud=20230309000455,1.6%, ,주식시세, 
2024-03-21,일별 급상승,주식복리계산기,"배당주, 주가지수, CMA통장, CMA금리비교, 신탁",17530.0,8.51%,[증권소식] '700억원 횡령' 우리은행 직원 도운 '증권맨' 구속/에코프로 그룹...,https://www.asiatime.co.kr/article/20221202500002,1.6%, ,주요증시, 
2024-03-21,일별 급상승,한국비엔씨주가,"달러환율, ELS",112800.0,109.25%,신풍제약  주가  다시 내달리나...독성 쇼크 증후군 증상은?,https://www.pinpointnews.co.kr/news/articleView.html?idxno=253300,18.2%, ,환율, 
