date,PBR
2020-03-20,11.17311
2020-03-21,7.75946
2020-03-22,8.15991
2020-03-23,16.15571
2020-03-24,11.48821
2020-03-25,9.86673
2020-03-26,9.17744
2020-03-27,7.89076
2020-03-28,5.42243
2020-03-29,6.72224
2020-03-30,8.74417
2020-03-31,9.15774
2020-04-01,7.59535
2020-04-02,7.83168
2020-04-03,7.4181
2020-04-04,5.33053
2020-04-05,7.51657
2020-04-06,7.88419
2020-04-07,8.27151
2020-04-08,8.7376
2020-04-09,8.4028
2020-04-10,8.23212
2020-04-11,6.53187
2020-04-12,6.55813
2020-04-13,7.98923
2020-04-14,7.79229
2020-04-15,5.37648
2020-04-16,6.24958
2020-04-17,7.40497
2020-04-18,5.31083
2020-04-19,6.05264
2020-04-20,6.61721
2020-04-21,6.73537
2020-04-22,7.91702
2020-04-23,6.99796
2020-04-24,6.85354
2020-04-25,4.13575
2020-04-26,4.65436
2020-04-27,6.67629
2020-04-28,6.91262
2020-04-29,6.00669
2020-04-30,4.72658
2020-05-01,3.72218
2020-05-02,3.57775
2020-05-03,4.56902
2020-05-04,4.92352
2020-05-05,4.9826
2020-05-06,6.00669
2020-05-07,5.73754
2020-05-08,5.38961
2020-05-09,4.50994
2020-05-10,4.26705
2020-05-11,5.79006
2020-05-12,5.7638
2020-05-13,5.987
2020-05-14,5.69815
2020-05-15,5.15328
2020-05-16,3.95194
2020-05-17,4.38521
2020-05-18,5.50777
2020-05-19,6.34806
2020-05-20,6.51874
2020-05-21,6.45309
2020-05-22,6.95201
2020-05-23,4.93008
2020-05-24,5.22549
2020-05-25,6.83384
2020-05-26,7.05048
2020-05-27,7.47062
2020-05-28,7.58878
2020-05-29,5.59312
2020-05-30,3.77469
2020-05-31,3.97164
2020-06-01,6.12486
2020-06-02,6.8798
2020-06-03,8.14022
2020-06-04,6.77476
2020-06-05,5.6522
2020-06-06,4.56902
2020-06-07,4.60185
2020-06-08,6.91262
2020-06-09,6.68942
2020-06-10,6.8601
2020-06-11,6.08547
2020-06-12,5.65876
2020-06-13,4.41803
2020-06-14,3.84034
2020-06-15,4.93008
2020-06-16,5.3174
2020-06-17,5.70472
2020-06-18,5.24519
2020-06-19,5.15985
2020-06-20,3.52524
2020-06-21,4.43116
2020-06-22,6.34806
2020-06-23,6.89292
2020-06-24,6.31523
2020-06-25,6.05264
2020-06-26,5.30427
2020-06-27,3.4202
2020-06-28,4.39834
2020-06-29,5.3174
2020-06-30,4.5362
2020-07-01,4.6478
2020-07-02,5.24519
2020-07-03,5.44213
2020-07-04,3.5318
2020-07-05,3.63027
2020-07-06,5.00886
2020-07-07,5.6522
2020-07-08,5.35679
2020-07-09,5.27801
2020-07-10,4.17514
2020-07-11,3.70905
2020-07-12,4.10293
2020-07-13,5.33709
2020-07-14,5.32396
2020-07-15,4.89726
2020-07-16,5.40274
2020-07-17,4.61498
2020-07-18,3.29547
2020-07-19,3.59088
2020-07-20,5.10076
2020-07-21,5.37648
2020-07-22,5.53403
2020-07-23,6.47935
2020-07-24,5.34366
2020-07-25,3.80752
2020-07-26,4.60841
2020-07-27,5.77036
2020-07-28,6.19707
2020-07-29,6.26271
2020-07-30,5.987
2020-07-31,5.10076
2020-08-01,3.70905
2020-08-02,4.36552
2020-08-03,5.88853
2020-08-04,6.72881
2020-08-05,7.39184
2020-08-06,6.77476
2020-08-07,7.81855
2020-08-08,6.92575
2020-08-09,6.61064
2020-08-10,10.58228
2020-08-11,10.9696
2020-08-12,10.43786
2020-08-13,9.26278
2020-08-14,6.89949
2020-08-15,4.55589
2020-08-16,5.23206
2020-08-17,5.81631
2020-08-18,5.99356
2020-08-19,7.27368
2020-08-20,6.24958
2020-08-21,5.79006
2020-08-22,4.57559
2020-08-23,5.15328
2020-08-24,6.88636
2020-08-25,7.54283
2020-08-26,7.71351
2020-08-27,7.49031
2020-08-28,6.70911
2020-08-29,5.36335
2020-08-30,6.3021
2020-08-31,7.74634
2020-09-01,8.61287
2020-09-02,9.49911
2020-09-03,10.42473
2020-09-04,9.25622
2020-09-05,8.37655
2020-09-06,9.70918
2020-09-07,12.5123
2020-09-08,13.73334
2020-09-09,14.88216
2020-09-10,13.2016
2020-09-11,11.25845
2020-09-12,8.08113
2020-09-13,8.63257
2020-09-14,10.73984
2020-09-15,10.68732
2020-09-16,10.08993
2020-09-17,11.73111
2020-09-18,9.07897
2020-09-19,6.49904
2020-09-20,7.12925
2020-09-21,8.38968
2020-09-22,7.33276
2020-09-23,7.89732
2020-09-24,7.05048
2020-09-25,6.38744
2020-09-26,4.66749
2020-09-27,5.48808
2020-09-28,6.61721
2020-09-29,6.2102
2020-09-30,4.74627
2020-10-01,4.32613
2020-10-02,4.33926
2020-10-03,4.8513
2020-10-04,5.08763
2020-10-05,6.77476
2020-10-06,6.49248
2020-10-07,7.64786
2020-10-08,6.70911
2020-10-09,5.02855
2020-10-10,4.83818
2020-10-11,5.39617
2020-10-12,6.95857
2020-10-13,6.56469
2020-10-14,7.31307
2020-10-15,7.33276
2020-10-16,6.78789
2020-10-17,4.36552
2020-10-18,4.6478
2020-10-19,6.31523
2020-10-20,7.06361
2020-10-21,7.25398
2020-10-22,6.49248
2020-10-23,5.58655
2020-10-24,3.99133
2020-10-25,4.313
2020-10-26,6.03295
2020-10-27,5.65876
2020-10-28,6.13798
2020-10-29,5.93448
2020-10-30,4.8513
2020-10-31,3.14448
2020-11-01,3.38738
2020-11-02,4.81192
