date,하나은행환율
2020-03-20,50.2418
2020-03-21,8.22138
2020-03-22,8.00644
2020-03-23,52.06878
2020-03-24,45.7281
2020-03-25,49.05964
2020-03-26,41.32186
2020-03-27,39.92477
2020-03-28,6.98549
2020-03-29,6.28694
2020-03-30,41.59054
2020-03-31,37.99032
2020-04-01,35.67974
2020-04-02,30.41375
2020-04-03,27.45835
2020-04-04,5.31972
2020-04-05,3.76141
2020-04-06,29.93014
2020-04-07,33.74529
2020-04-08,27.9957
2020-04-09,27.78076
2020-04-10,22.72971
2020-04-11,4.56743
2020-04-12,4.6749
2020-04-13,32.07952
2020-04-14,23.21332
2020-04-15,7.73777
2020-04-16,30.73616
2020-04-17,24.66415
2020-04-18,4.40623
2020-04-19,4.99731
2020-04-20,26.32993
2020-04-21,33.36915
2020-04-22,32.34819
2020-04-23,26.70607
2020-04-24,24.61042
2020-04-25,4.45996
2020-04-26,4.24502
2020-04-27,27.9957
2020-04-28,27.40462
2020-04-29,29.28533
2020-04-30,8.32885
2020-05-01,5.85706
2020-05-02,3.92262
2020-05-03,4.6749
2020-05-04,23.9656
2020-05-05,6.98549
2020-05-06,30.62869
2020-05-07,25.63138
2020-05-08,23.21332
2020-05-09,4.29876
2020-05-10,3.33154
2020-05-11,25.2015
2020-05-12,22.94465
2020-05-13,19.93551
2020-05-14,21.92369
2020-05-15,18.96829
2020-05-16,2.9554
2020-05-17,4.13756
2020-05-18,25.68511
2020-05-19,25.79258
2020-05-20,21.81622
2020-05-21,20.20419
2020-05-22,22.4073
2020-05-23,3.00913
2020-05-24,3.38527
2020-05-25,25.79258
2020-05-26,20.79527
2020-05-27,21.60128
2020-05-28,20.58033
2020-05-29,17.67866
2020-05-30,3.70768
2020-05-31,3.43901
2020-06-01,28.90918
2020-06-02,22.89091
2020-06-03,22.35357
2020-06-04,20.31166
2020-06-05,22.03116
2020-06-06,3.97635
2020-06-07,3.2778
2020-06-08,24.07307
2020-06-09,26.22246
2020-06-10,25.90005
2020-06-11,23.85814
2020-06-12,20.15045
2020-06-13,3.76141
2020-06-14,2.84793
2020-06-15,26.32993
2020-06-16,21.17141
2020-06-17,22.29983
2020-06-18,22.03116
2020-06-19,21.17141
2020-06-20,4.40623
2020-06-21,2.57925
2020-06-22,21.17141
