date,시간외단일가매매
2020-03-20,18.27388
2020-03-21,2.42184
2020-03-22,1.17422
2020-03-23,13.59166
2020-03-24,13.26875
2020-03-25,25.67151
2020-03-26,25.34859
2020-03-27,27.47688
2020-03-28,2.45119
2020-03-29,1.9815
2020-03-30,16.32173
2020-03-31,29.70791
2020-04-01,23.83678
2020-04-02,22.45706
2020-04-03,22.41303
2020-04-04,1.9815
2020-04-05,1.15954
2020-04-06,13.81183
2020-04-07,20.51959
2020-04-08,21.85527
2020-04-09,22.22222
2020-04-10,24.04227
2020-04-11,2.55394
2020-04-12,2.12828
2020-04-13,12.47614
2020-04-14,12.78438
2020-04-15,1.64391
2020-04-16,15.00073
2020-04-17,18.9931
2020-04-18,1.95215
2020-04-19,3.09702
2020-04-20,12.66696
2020-04-21,15.27961
2020-04-22,15.58784
2020-04-23,24.58535
2020-04-24,21.18009
2020-04-25,1.5852
2020-04-26,1.21825
2020-04-27,9.36445
2020-04-28,13.54762
2020-04-29,9.58461
2020-04-30,1.46778
2020-05-01,0.85131
2020-05-02,0.96873
2020-05-03,0.74856
2020-05-04,5.79773
2020-05-05,0.64582
2020-05-06,6.75179
2020-05-07,7.42697
2020-05-08,6.56098
2020-05-09,0.88066
2020-05-10,0.63114
2020-05-11,4.57948
2020-05-12,5.18127
2020-05-13,11.36063
2020-05-14,13.0339
2020-05-15,8.65991
2020-05-16,1.61456
2020-05-17,0.86599
2020-05-18,4.35931
2020-05-19,8.29296
2020-05-20,10.21576
2020-05-21,11.25788
2020-05-22,13.65037
2020-05-23,1.46778
2020-05-24,0.70453
2020-05-25,8.92411
2020-05-26,8.95347
2020-05-27,11.65419
2020-05-28,10.53867
2020-05-29,15.86672
2020-05-30,0.98341
2020-05-31,0.86599
2020-06-01,9.42316
2020-06-02,13.09261
2020-06-03,19.1252
2020-06-04,16.17495
2020-06-05,15.44106
2020-06-06,1.95215
2020-06-07,0.88066
2020-06-08,8.89476
2020-06-09,9.80478
2020-06-10,15.01541
2020-06-11,18.61147
2020-06-12,21.01864
2020-06-13,1.5852
2020-06-14,1.29164
2020-06-15,11.02304
2020-06-16,26.78702
2020-06-17,16.74739
2020-06-18,14.72185
2020-06-19,14.41362
2020-06-20,1.20358
2020-06-21,1.13019
2020-06-22,8.0728
2020-06-23,8.19022
