date,삼성SDI주가
2020-03-20,68.92375
2020-03-21,10.43383
2020-03-22,9.54827
2020-03-23,72.68814
2020-03-24,67.71575
2020-03-25,64.78293
2020-03-26,61.14968
2020-03-27,52.69678
2020-03-28,8.18908
2020-03-29,6.87617
2020-03-30,49.838
2020-03-31,44.50615
2020-04-01,44.26702
2020-04-02,44.699
2020-04-03,40.68005
2020-04-04,5.63115
2020-04-05,4.23493
2020-04-06,38.79477
2020-04-07,39.96729
2020-04-08,44.85636
2020-04-09,39.82689
2020-04-10,38.0527
2020-04-11,5.71909
2020-04-12,4.62988
2020-04-13,35.72927
2020-04-14,36.32324
2020-04-15,6.6139
2020-04-16,46.95146
2020-04-17,58.06103
2020-04-18,6.58459
2020-04-19,5.61263
2020-04-20,47.41584
2020-04-21,45.92242
2020-04-22,44.2917
2020-04-23,41.65972
2020-04-24,36.49294
2020-04-25,4.58206
2020-04-26,3.83689
2020-04-27,35.35437
2020-04-28,34.08929
2020-04-29,33.57863
2020-04-30,4.7857
2020-05-01,5.38584
2020-05-02,2.78472
2020-05-03,2.94362
2020-05-04,31.93711
2020-05-05,4.93535
2020-05-06,31.80135
2020-05-07,28.99194
2020-05-08,29.97161
2020-05-09,4.05751
2020-05-10,2.97293
2020-05-11,28.53528
2020-05-12,28.57693
2020-05-13,54.94769
2020-05-14,52.04264
2020-05-15,39.51217
2020-05-16,5.139
2020-05-17,4.13002
2020-05-18,44.83168
2020-05-19,41.92662
2020-05-20,45.13252
2020-05-21,46.81415
2020-05-22,41.43602
2020-05-23,5.15443
2020-05-24,5.56018
2020-05-25,48.71486
2020-05-26,97.91724
2020-05-27,72.31633
2020-05-28,64.11953
2020-05-29,51.18794
2020-05-30,6.48276
2020-05-31,5.47378
2020-06-01,49.76086
2020-06-02,50.35329
2020-06-03,52.99762
2020-06-04,51.19411
2020-06-05,46.93295
2020-06-06,5.82399
2020-06-07,5.34573
2020-06-08,47.79382
2020-06-09,51.04754
2020-06-10,46.45777
2020-06-11,55.54629
2020-06-12,50.77293
2020-06-13,5.20071
2020-06-14,3.94952
2020-06-15,52.99145
2020-06-16,51.19565
2020-06-17,52.38976
2020-06-18,42.03462
2020-06-19,42.04079
2020-06-20,4.68851
2020-06-21,3.78289
2020-06-22,41.47459
2020-06-23,41.26477
2020-06-24,40.02129
2020-06-25,36.75676
2020-06-26,36.71202
2020-06-27,4.54503
2020-06-28,3.74278
2020-06-29,35.74315
2020-06-30,35.90669
2020-07-01,38.14989
2020-07-02,35.90206
2020-07-03,37.05297
2020-07-04,5.06803
2020-07-05,4.86593
2020-07-06,42.12101
2020-07-07,47.70125
2020-07-08,42.34009
2020-07-09,45.33771
2020-07-10,40.08454
2020-07-11,4.61445
2020-07-12,3.84306
2020-07-13,40.61217
2020-07-14,35.98074
2020-07-15,36.75676
2020-07-16,36.62408
2020-07-17,35.01033
2020-07-18,4.44629
2020-07-19,3.92329
2020-07-20,32.71776
2020-07-21,38.71301
2020-07-22,35.54105
2020-07-23,33.19911
2020-07-24,31.40485
2020-07-25,3.94643
2020-07-26,3.96186
2020-07-27,34.61384
2020-07-28,47.58863
2020-07-29,41.31105
2020-07-30,36.12885
2020-07-31,45.08007
2020-08-01,7.30044
2020-08-02,5.40899
2020-08-03,60.13607
2020-08-04,52.36354
2020-08-05,80.08732
2020-08-06,70.26134
2020-08-07,72.72516
2020-08-08,9.21503
2020-08-09,7.76019
2020-08-10,68.14773
2020-08-11,65.09148
2020-08-12,56.55373
2020-08-13,52.74615
2020-08-14,54.41389
2020-08-15,5.90268
2020-08-16,4.16705
2020-08-17,8.84167
2020-08-18,53.75821
2020-08-19,47.99901
2020-08-20,48.18106
2020-08-21,48.61921
2020-08-22,4.64531
2020-08-23,4.03283
2020-08-24,47.99592
2020-08-25,46.30966
2020-08-26,50.7359
2020-08-27,56.23437
2020-08-28,47.03785
2020-08-29,4.77182
2020-08-30,4.50954
2020-08-31,48.22734
2020-09-01,43.74865
2020-09-02,40.59829
2020-09-03,42.55762
2020-09-04,39.7621
2020-09-05,4.32904
2020-09-06,3.64404
2020-09-07,40.7865
2020-09-08,42.15032
2020-09-09,38.38902
2020-09-10,38.60501
2020-09-11,33.93964
2020-09-12,4.02511
2020-09-13,3.6965
2020-09-14,38.26097
2020-09-15,44.27628
2020-09-16,41.07963
2020-09-17,47.05945
2020-09-18,42.58385
2020-09-19,5.28711
2020-09-20,4.50183
2020-09-21,43.69156
2020-09-22,41.84022
2020-09-23,48.89382
2020-09-24,45.55678
2020-09-25,37.26279
2020-09-26,4.64994
2020-09-27,4.2951
2020-09-28,35.58887
2020-09-29,32.32898
2020-09-30,3.52216
2020-10-01,2.76003
2020-10-02,2.62118
2020-10-03,2.77546
2020-10-04,2.74923
