date,항생지수
2020-03-20,7.45222
2020-03-21,1.94267
2020-03-22,0.95541
2020-03-23,8.43949
2020-03-24,7.1656
2020-03-25,5.57324
2020-03-26,6.59235
2020-03-27,5.60509
2020-03-28,0.89171
2020-03-29,0.89171
2020-03-30,5.4777
2020-03-31,3.94904
2020-04-01,3.98089
2020-04-02,4.29936
2020-04-03,2.38853
2020-04-04,0.70063
2020-04-05,0.31847
2020-04-06,3.66242
2020-04-07,4.04458
2020-04-08,2.67515
2020-04-09,2.80254
2020-04-10,2.07006
2020-04-11,0.60509
2020-04-12,0.35031
2020-04-13,2.57961
2020-04-14,2.89808
2020-04-15,2.35668
2020-04-16,2.707
2020-04-17,2.67515
2020-04-18,0.70063
2020-04-19,0.4777
2020-04-20,3.12101
2020-04-21,3.40764
2020-04-22,3.15286
2020-04-23,2.7707
2020-04-24,2.22929
2020-04-25,0.73248
2020-04-26,0.25477
2020-04-27,2.86624
2020-04-28,2.57961
2020-04-29,2.26114
2020-04-30,1.49681
2020-05-01,1.33757
2020-05-02,0.44585
2020-05-03,0.5414
2020-05-04,5.12738
2020-05-05,2.51592
2020-05-06,2.83439
2020-05-07,1.59235
2020-05-08,1.40127
2020-05-09,0.25477
2020-05-10,0.38216
2020-05-11,2.35668
2020-05-12,1.91082
2020-05-13,1.81528
2020-05-14,1.24203
2020-05-15,1.84713
2020-05-16,0.41401
2020-05-18,2.1656
2020-05-19,2.89808
2020-05-20,2.7707
2020-05-21,2.42038
2020-05-22,8.88535
2020-05-23,1.65605
2020-05-24,1.24203
2020-05-25,8.75796
2020-05-26,4.29936
2020-05-27,3.43949
2020-05-28,6.87898
2020-05-29,5.98726
2020-05-30,1.91082
2020-05-31,0.92356
2020-06-01,6.59235
2020-06-02,5.06369
2020-06-03,3.2484
2020-06-04,3.94904
2020-06-05,3.05732
2020-06-06,0.4777
2020-06-07,0.4777
2020-06-08,3.63057
2020-06-09,4.26751
2020-06-10,3.37579
2020-06-11,2.57961
2020-06-12,2.67515
2020-06-13,0.15923
2020-06-14,0.4777
2020-06-15,3.15286
2020-06-16,2.86624
2020-06-17,2.73885
2020-06-18,2.707
2020-06-19,2.42038
2020-06-20,0.5414
2020-06-21,0.28662
2020-06-22,2.92993
2020-06-23,2.707
2020-06-24,4.3949
2020-06-25,2.32484
2020-06-26,1.46496
2020-06-27,0.38216
2020-06-28,0.19108
2020-06-29,2.67515
2020-06-30,3.98089
2020-07-01,2.45222
2020-07-02,3.63057
2020-07-03,3.28025
2020-07-04,0.50955
2020-07-05,0.41401
2020-07-06,6.27388
2020-07-07,5.38216
2020-07-08,3.94904
2020-07-09,3.2484
2020-07-10,2.92993
2020-07-11,0.4777
2020-07-12,0.35031
2020-07-13,3.66242
2020-07-14,2.707
2020-07-15,3.28025
2020-07-16,3.40764
2020-07-17,2.92993
2020-07-18,0.4777
2020-07-20,3.66242
2020-07-21,3.43949
2020-07-22,3.7898
2020-07-23,3.15286
2020-07-24,3.12101
2020-07-25,0.15923
