date,KB라이프
2020-03-23,0.75471
2020-03-25,0.62893
2020-03-26,1.13207
2020-03-30,0.8805
2020-03-31,1.25786
2020-04-10,0.75471
2020-04-11,0.62893
2020-04-17,1.25786
2020-04-20,0.75471
2020-04-27,0.62893
2020-04-28,0.62893
2020-05-06,1.25786
2020-05-11,0.8805
2020-05-15,0.62893
2020-05-18,1.63522
2020-05-26,1.50943
2020-05-28,0.62893
2020-05-31,1.25786
2020-06-01,2.38993
2020-06-03,0.75471
2020-06-09,0.62893
2020-06-11,0.8805
2020-06-15,1.50943
2020-06-16,0.75471
2020-06-18,0.62893
2020-06-22,0.75471
2020-06-25,1.63522
2020-06-29,1.63522
2020-06-30,0.62893
2020-07-05,0.8805
2020-07-08,1.38364
2020-07-13,0.75471
2020-07-14,0.8805
2020-07-20,1.63522
2020-07-28,0.75471
2020-07-29,1.00628
2020-07-30,0.8805
2020-07-31,2.13836
2020-08-06,1.63522
2020-08-08,0.62893
2020-08-10,0.75471
2020-08-11,1.25786
2020-08-13,0.62893
2020-08-21,0.75471
2020-08-23,1.00628
2020-08-24,0.75471
2020-08-25,0.75471
2020-08-30,1.00628
2020-08-31,0.62893
2020-09-01,1.13207
2020-09-07,1.38364
2020-09-09,0.62893
2020-09-14,0.62893
2020-09-15,1.38364
2020-09-18,0.62893
2020-09-21,2.01257
2020-09-22,0.75471
2020-09-23,0.8805
2020-09-24,0.8805
2020-09-25,0.62893
2020-09-27,1.63522
2020-10-02,0.62893
2020-10-04,1.38364
2020-10-05,3.39622
2020-10-06,1.13207
2020-10-11,0.75471
2020-10-12,2.26415
2020-10-13,1.00628
2020-10-16,0.75471
2020-10-21,1.25786
2020-10-22,1.13207
2020-10-26,1.00628
2020-10-27,0.62893
2020-10-28,1.50943
2020-10-29,0.62893
2020-11-03,0.62893
2020-11-04,1.00628
2020-11-06,0.75471
2020-11-07,0.75471
2020-11-11,1.13207
2020-11-13,0.62893
2020-11-17,0.8805
2020-11-18,0.62893
2020-11-24,0.8805
2020-11-25,0.8805
2020-11-27,1.00628
2020-11-30,1.13207
2020-12-03,0.62893
2020-12-05,1.88679
2020-12-06,0.62893
2020-12-07,0.8805
2020-12-11,0.75471
2020-12-19,0.62893
2020-12-20,0.75471
2020-12-21,1.50943
2020-12-22,0.75471
2020-12-23,1.13207
2020-12-28,1.25786
2020-12-29,2.13836
2020-12-30,3.39622
2020-12-31,3.27044
2021-01-04,1.00628
2021-01-05,1.761
2021-01-06,0.8805
2021-01-07,1.00628
2021-01-08,1.761
2021-01-09,0.62893
2021-01-11,1.761
2021-01-12,1.761
2021-01-13,2.01257
2021-01-14,0.8805
2021-01-15,2.26415
2021-01-18,1.63522
2021-01-19,2.89308
2021-01-20,2.38993
2021-01-21,1.50943
2021-01-22,1.88679
2021-01-23,1.00628
2021-01-24,1.63522
2021-01-25,2.26415
2021-01-26,1.00628
2021-01-27,3.14465
2021-01-28,1.63522
2021-01-29,2.26415
2021-02-01,3.27044
2021-02-02,1.761
2021-02-03,3.39622
2021-02-04,3.27044
2021-02-05,3.01886
2021-02-06,0.75471
2021-02-07,1.00628
2021-02-08,3.89937
2021-02-09,6.16352
2021-02-10,3.01886
2021-02-11,0.8805
2021-02-12,1.25786
2021-02-13,1.38364
2021-02-14,2.6415
2021-02-15,5.78616
2021-02-16,7.42138
2021-02-17,7.16981
2021-02-18,4.5283
2021-02-19,5.28301
2021-02-20,2.26415
2021-02-21,3.27044
2021-02-22,5.91194
2021-02-23,4.5283
2021-02-24,4.27672
2021-02-25,3.77358
2021-02-26,4.65408
2021-03-01,1.00628
2021-03-02,3.39622
2021-03-03,3.52201
2021-03-04,9.30817
2021-03-05,7.04402
2021-03-07,1.00628
2021-03-08,8.42767
2021-03-09,3.89937
2021-03-10,6.91823
2021-03-11,6.54088
2021-03-12,7.16981
2021-03-13,0.75471
2021-03-15,8.30188
2021-03-16,9.18238
2021-03-17,8.05031
2021-03-18,9.68553
2021-03-19,7.16981
2021-03-20,1.25786
2021-03-21,3.01886
2021-03-22,14.4654
2021-03-23,9.9371
2021-03-24,11.06918
2021-03-25,8.05031
2021-03-26,9.9371
2021-03-27,0.8805
2021-03-28,1.00628
2021-03-29,6.66666
2021-03-30,9.81132
2021-03-31,10.31446
2021-04-01,5.15723
2021-04-02,7.92452
2021-04-03,0.8805
2021-04-04,1.88679
2021-04-05,8.67924
2021-04-06,7.67295
2021-04-07,5.4088
2021-04-08,8.1761
2021-04-09,4.90566
2021-04-10,0.75471
2021-04-11,2.38993
2021-04-12,4.77987
2021-04-13,6.41509
2021-04-14,6.41509
2021-04-15,6.66666
2021-04-16,5.15723
2021-04-17,1.13207
2021-04-18,0.8805
