date,광고회사
2020-03-20,20.45152
2020-03-21,15.93625
2020-03-22,16.73306
2020-03-23,20.71713
2020-03-24,24.43559
2020-03-25,19.52191
2020-03-26,21.64674
2020-03-27,20.84993
2020-03-28,16.73306
2020-03-29,13.94422
2020-03-30,22.97476
2020-03-31,21.77954
2020-04-01,22.44355
2020-04-02,21.51394
2020-04-03,17.92828
2020-04-04,11.02257
2020-04-05,14.74103
2020-04-06,17.52988
2020-04-07,24.16998
2020-04-08,16.86586
2020-04-09,20.58432
2020-04-10,16.73306
2020-04-11,12.749
2020-04-12,18.19389
2020-04-13,22.44355
2020-04-14,19.2563
2020-04-15,14.87383
2020-04-16,19.2563
2020-04-17,18.8579
2020-04-18,13.81142
2020-04-19,13.54581
2020-04-20,23.37317
2020-04-21,25.63081
2020-04-22,18.72509
2020-04-23,24.83399
2020-04-24,18.8579
2020-04-25,14.60823
2020-04-26,15.27224
2020-04-27,22.57636
2020-04-28,21.24833
2020-04-29,21.51394
2020-04-30,13.54581
2020-05-01,11.81938
2020-05-02,10.75697
2020-05-03,15.53784
2020-05-04,18.59229
2020-05-05,13.67861
2020-05-06,23.77158
2020-05-07,21.51394
2020-05-08,18.9907
2020-05-09,11.42098
2020-05-10,12.6162
2020-05-11,20.58432
2020-05-12,21.38114
2020-05-13,21.38114
2020-05-14,21.11553
2020-05-15,18.72509
2020-05-16,11.28818
2020-05-17,14.34262
2020-05-18,20.18592
2020-05-19,23.63877
2020-05-20,18.9907
2020-05-21,18.72509
2020-05-22,19.1235
2020-05-23,12.48339
2020-05-24,14.34262
2020-05-25,23.77158
2020-05-26,24.56839
2020-05-27,18.06108
2020-05-28,20.31872
2020-05-29,18.32669
2020-05-30,11.81938
2020-05-31,11.28818
2020-06-01,16.20185
2020-06-02,22.70916
2020-06-03,20.18592
2020-06-04,19.92031
2020-06-05,17.66268
2020-06-06,10.49136
2020-06-07,13.41301
2020-06-08,21.51394
2020-06-09,22.57636
2020-06-10,20.45152
2020-06-11,21.11553
2020-06-12,18.8579
2020-06-13,15.40504
2020-06-14,18.19389
2020-06-15,14.20982
2020-06-16,17.79548
2020-06-17,18.19389
2020-06-18,15.40504
2020-06-19,15.13944
2020-06-20,12.08499
