date,AI관련주
2020-03-20,4.58694
2020-03-21,3.36414
2020-03-22,4.03112
2020-03-23,4.23589
2020-03-24,4.34121
2020-03-25,4.64544
2020-03-26,6.06131
2020-03-27,4.94383
2020-03-28,4.03112
2020-03-29,3.91996
2020-03-30,4.77416
2020-03-31,5.00234
2020-04-01,5.59911
2020-04-02,4.97893
2020-04-03,4.44067
2020-04-04,3.62157
2020-04-05,4.71565
2020-04-06,5.65761
2020-04-07,6.90966
2020-04-08,6.82775
2020-04-09,4.54598
2020-04-10,4.01357
2020-04-11,3.48116
2020-04-12,4.41727
2020-04-13,4.05452
2020-04-14,4.31195
2020-04-15,4.62204
2020-04-16,5.31242
2020-04-17,6.4299
2020-04-18,6.08471
2020-04-19,6.29534
2020-04-20,6.49426
2020-04-21,4.73905
2020-04-22,8.84624
2020-04-23,9.85256
2020-04-24,7.36601
2020-04-25,4.48162
2020-04-26,8.5537
2020-04-27,7.71706
2020-04-28,6.48841
2020-04-29,4.92043
2020-04-30,3.17692
2020-05-01,4.69225
2020-05-02,3.26468
2020-05-03,3.36414
2020-05-04,3.58062
2020-05-05,4.98478
2020-05-06,10.39667
2020-05-07,15.14743
2020-05-08,9.74139
2020-05-09,5.41773
2020-05-10,7.86917
2020-05-11,7.34261
2020-05-12,5.31827
2020-05-13,5.75707
2020-05-14,6.16662
2020-05-15,4.81511
2020-05-16,3.22373
2020-05-17,4.49333
2020-05-18,5.54645
2020-05-19,5.63421
2020-05-20,7.10273
2020-05-21,19.23706
2020-05-22,11.73063
2020-05-23,5.41188
2020-05-24,6.57032
2020-05-25,7.98034
2020-05-26,8.88134
2020-05-27,7.71706
2020-05-28,4.89117
2020-05-29,4.61034
2020-05-30,2.978
2020-05-31,3.72103
2020-06-01,9.85841
2020-06-02,9.26749
2020-06-03,12.13433
2020-06-04,7.93353
2020-06-05,5.78633
2020-06-06,3.68593
2020-06-07,4.49918
2020-06-08,5.74537
2020-06-09,5.40603
2020-06-10,6.45331
2020-06-11,6.26023
2020-06-12,4.39386
2020-06-13,3.38754
2020-06-14,4.05452
2020-06-15,4.16569
2020-06-16,6.25438
2020-06-17,4.11888
2020-06-18,8.27872
2020-06-19,4.7098
2020-06-20,2.70301
2020-06-21,3.60402
2020-06-22,4.57523
2020-06-23,5.01404
2020-06-24,6.20173
2020-06-25,3.93166
2020-06-26,3.22373
2020-06-27,2.53919
2020-06-28,2.26421
2020-06-29,2.93704
2020-06-30,2.5626
2020-07-01,2.98385
2020-07-02,3.26468
2020-07-03,3.21202
2020-07-04,2.38708
2020-07-05,5.32412
2020-07-06,6.05546
2020-07-07,5.10765
2020-07-08,4.75661
2020-07-09,7.72291
2020-07-10,5.24221
2020-07-11,4.35876
2020-07-12,5.24806
2020-07-13,6.54692
2020-07-14,13.24011
2020-07-15,12.11677
2020-07-16,6.7868
2020-07-17,5.0901
2020-07-18,3.32319
2020-07-19,3.94336
2020-07-20,6.16077
2020-07-21,6.19588
2020-07-22,5.64006
2020-07-23,6.8453
2020-07-24,4.34121
2020-07-25,3.20617
2020-07-26,3.83805
2020-07-27,4.73905
2020-07-28,6.4065
2020-07-29,5.86824
2020-07-30,5.35338
2020-07-31,3.8205
2020-08-01,3.0131
2020-08-02,3.18862
2020-08-03,5.17786
2020-08-04,5.00234
2020-08-05,4.48747
2020-08-06,5.87994
2020-08-07,5.01404
2020-08-08,3.98432
2020-08-09,4.66885
2020-08-10,6.94476
2020-08-11,6.09641
2020-08-12,5.34753
2020-08-13,5.00234
2020-08-14,4.17739
2020-08-15,3.36414
2020-08-16,3.4051
2020-08-17,4.08378
2020-08-18,4.2944
2020-08-19,4.00187
2020-08-20,4.75661
2020-08-21,3.56307
2020-08-22,3.07746
2020-08-23,4.16569
2020-08-24,4.76831
2020-08-25,7.47133
2020-08-26,12.53802
2020-08-27,6.55277
2020-08-28,4.49918
2020-08-29,4.24175
2020-08-30,5.75707
2020-08-31,6.64638
2020-09-01,7.249
2020-09-02,9.50737
2020-09-03,9.71799
2020-09-04,6.64053
2020-09-05,4.57523
2020-09-06,5.88579
