date,신라젠주가
2020-03-20,15.57573
2020-03-21,1.52454
2020-03-22,1.08361
2020-03-23,14.00237
2020-03-24,14.8582
2020-03-25,15.01602
2020-03-26,34.40881
2020-03-27,47.55536
2020-03-28,4.92182
2020-03-29,3.99603
2020-03-30,37.6987
2020-03-31,31.80878
2020-04-01,35.74299
2020-04-02,30.16221
2020-04-03,24.70347
2020-04-04,2.683
2020-04-05,1.98825
2020-04-06,23.45227
2020-04-07,25.4633
2020-04-08,20.7595
2020-04-09,19.85649
2020-04-10,25.30385
2020-04-11,2.90265
2020-04-12,2.6472
2020-04-13,23.91923
2020-04-14,19.91669
2020-04-15,2.60815
2020-04-16,24.44802
2020-04-17,26.4379
2020-04-18,3.80078
2020-04-19,2.80991
2020-04-20,25.20622
2020-04-21,25.66993
2020-04-22,24.35365
2020-04-23,20.13146
2020-04-24,17.47449
2020-04-25,1.83042
2020-04-26,1.53267
2020-04-27,21.94887
2020-04-28,21.90169
2020-04-29,17.25484
2020-04-30,2.16234
2020-05-01,3.30778
2020-05-02,1.79951
2020-05-03,1.18123
2020-05-04,16.16472
2020-05-05,3.50954
2020-05-06,15.54318
2020-05-07,9.55402
2020-05-08,8.26214
2020-05-09,1.80765
2020-05-10,1.27885
2020-05-11,8.54851
2020-05-12,9.92173
2020-05-13,5.91431
2020-05-14,4.99178
2020-05-15,4.07087
2020-05-16,1.01365
2020-05-17,1.78812
2020-05-18,4.74284
2020-05-19,4.23032
2020-05-20,3.46886
2020-05-21,3.31104
2020-05-22,2.84896
2020-05-23,0.698
2020-05-24,0.6557
2020-05-25,3.28663
2020-05-26,2.97424
2020-05-27,2.83757
2020-05-28,2.93356
2020-05-29,3.83495
2020-05-30,0.91765
2020-05-31,0.62153
2020-06-01,3.25084
2020-06-02,2.71554
2020-06-03,2.96448
2020-06-04,2.39664
2020-06-05,2.12492
2020-06-06,0.68986
2020-06-07,0.44255
2020-06-08,4.80304
2020-06-09,5.00154
2020-06-10,2.87987
2020-06-11,2.50077
2020-06-12,2.19814
2020-06-13,0.64268
2020-06-14,0.52879
2020-06-15,2.81642
2020-06-16,2.68625
2020-06-17,2.3283
2020-06-18,2.74971
2020-06-19,6.70669
2020-06-20,3.71292
2020-06-21,1.12917
2020-06-22,3.00515
2020-06-23,2.16071
2020-06-24,2.14607
2020-06-25,1.7328
2020-06-26,1.42692
2020-06-27,0.37584
2020-06-28,0.40188
2020-06-29,1.66935
2020-06-30,1.52942
2020-07-01,1.39438
2020-07-02,1.38136
2020-07-03,1.33092
2020-07-04,0.35306
2020-07-05,0.35957
2020-07-06,1.56684
2020-07-07,1.43993
2020-07-08,1.39763
2020-07-09,1.50176
