date,엠블코인
2020-03-20,0.05744
2020-03-28,0.03191
2020-04-05,0.03829
2020-04-06,0.03191
2020-04-07,0.04468
2020-04-16,0.03829
2020-04-17,0.08298
2020-04-19,0.03191
2020-04-30,0.03191
2020-05-02,0.04468
2020-05-06,0.03191
2020-05-12,0.03191
2020-05-13,0.04468
2020-05-14,0.06383
2020-05-15,0.03191
2020-05-20,0.03191
2020-05-21,0.08936
2020-05-22,0.03191
2020-05-23,0.03829
2020-05-24,0.10213
2020-05-25,0.14681
2020-05-26,0.09574
2020-05-27,0.04468
2020-05-28,0.03829
2020-06-01,0.04468
2020-06-02,0.04468
2020-06-03,0.08298
2020-06-05,0.04468
2020-06-09,0.03191
2020-06-10,0.04468
2020-06-12,0.03191
2020-06-14,0.06383
2020-06-16,0.03191
2020-06-19,0.07659
2020-06-23,0.03191
2020-06-24,0.07021
2020-06-29,0.06383
2020-07-03,0.03829
2020-07-04,0.03829
2020-07-09,0.03829
2020-07-11,0.04468
2020-07-12,0.03829
2020-07-13,0.11489
2020-07-14,0.06383
2020-07-15,0.10851
2020-07-17,0.09574
2020-07-18,0.05106
2020-07-19,0.07659
2020-07-21,0.03191
2020-07-22,0.13404
2020-07-23,0.04468
2020-07-24,0.07021
2020-07-26,0.08936
2020-07-27,0.07021
2020-07-28,0.07021
2020-07-29,0.03191
2020-07-30,0.08936
2020-07-31,0.07021
2020-08-02,0.05106
2020-08-03,0.10213
2020-08-04,0.05744
2020-08-05,0.04468
2020-08-06,0.06383
2020-08-07,0.18511
2020-08-08,0.17234
2020-08-09,0.07659
2020-08-10,0.13404
2020-08-11,0.30639
2020-08-12,0.19149
2020-08-13,0.19149
2020-08-14,0.10851
2020-08-15,0.15958
2020-08-16,0.05744
2020-08-17,0.11489
2020-08-18,0.08936
2020-08-19,0.03829
2020-08-20,0.05744
2020-08-21,0.06383
2020-08-22,0.07021
2020-08-23,0.05744
2020-08-24,0.07021
2020-08-25,0.05106
2020-08-26,0.07659
2020-08-27,0.11489
