date,네이버주식
2020-03-20,66.28372
2020-03-21,19.62594
2020-03-22,16.25807
2020-03-23,64.75194
2020-03-24,61.73966
2020-03-25,64.72116
2020-03-26,64.48524
2020-03-27,60.54638
2020-03-28,19.83451
2020-03-29,17.02396
2020-03-30,56.82292
2020-03-31,56.2485
2020-04-01,56.05361
2020-04-02,55.0176
2020-04-03,46.83557
2020-04-04,15.01692
2020-04-05,13.95356
2020-04-06,47.9297
2020-04-07,52.27886
2020-04-08,48.54173
2020-04-09,45.9124
2020-04-10,43.85407
2020-04-11,13.83731
2020-04-12,13.45095
2020-04-13,42.68813
2020-04-14,39.06725
2020-04-15,16.13156
2020-04-16,39.42626
2020-04-17,42.90354
2020-04-18,13.24922
2020-04-19,12.74318
2020-04-20,43.54292
2020-04-21,47.85106
2020-04-22,44.67466
2020-04-23,48.91099
2020-04-24,43.81304
2020-04-25,12.92782
2020-04-26,12.2816
2020-04-27,42.96167
2020-04-28,40.91359
2020-04-29,37.0226
2020-04-30,12.86969
2020-05-01,11.99781
2020-05-02,8.65729
2020-05-03,9.38899
2020-05-04,37.12859
2020-05-05,14.75706
2020-05-06,44.50712
2020-05-07,41.70342
2020-05-08,37.22091
2020-05-09,11.07464
2020-05-10,11.07805
2020-05-11,38.30478
2020-05-12,41.81283
2020-05-13,43.76517
2020-05-14,42.07611
2020-05-15,40.47252
2020-05-16,13.03381
2020-05-17,10.2301
2020-05-18,38.20562
2020-05-19,41.35808
2020-05-20,87.5406
2020-05-21,51.65316
2020-05-22,45.15676
2020-05-23,13.67319
2020-05-24,14.89725
2020-05-25,55.51338
2020-05-26,55.22617
2020-05-27,52.0532
2020-05-28,50.80179
2020-05-29,46.23038
2020-05-30,14.59294
2020-05-31,12.25082
2020-06-01,47.95021
2020-06-02,46.11755
2020-06-03,55.62279
2020-06-04,48.85629
2020-06-05,43.8951
2020-06-06,13.36547
2020-06-07,12.29869
2020-06-08,52.38827
2020-06-09,47.8237
2020-06-10,46.96891
2020-06-11,47.63565
2020-06-12,47.44418
2020-06-13,11.79266
2020-06-14,11.89523
2020-06-15,52.53188
2020-06-16,48.20323
2020-06-17,48.8221
2020-06-18,44.26778
2020-06-19,41.98037
2020-06-20,11.49861
2020-06-21,11.27637
2020-06-22,54.35429
2020-06-23,55.0176
2020-06-24,49.8581
2020-06-25,48.34
2020-06-26,42.65052
2020-06-27,11.15669
2020-06-28,10.27455
2020-06-29,40.28105
2020-06-30,39.45361
2020-07-01,38.53386
2020-07-02,41.25893
2020-07-03,40.12377
2020-07-04,10.57886
2020-07-05,11.3721
2020-07-06,46.71932
2020-07-07,49.98803
2020-07-08,47.93312
2020-07-09,56.35791
2020-07-10,59.2471
2020-07-11,14.77416
2020-07-12,13.89544
2020-07-13,54.76459
2020-07-14,56.481
2020-07-15,54.39532
2020-07-16,54.66885
2020-07-17,48.08698
2020-07-18,12.31237
2020-07-19,12.10722
2020-07-20,57.27766
2020-07-21,55.13044
2020-07-22,53.63285
2020-07-23,57.07935
2020-07-24,52.17971
2020-07-25,13.53643
2020-07-26,18.98314
2020-07-27,53.31486
2020-07-28,54.1594
2020-07-29,53.30461
2020-07-30,54.87742
