date,금리높은예금
2020-03-20,2.98545
2020-03-21,1.63306
2020-03-22,1.25031
2020-03-23,2.73028
2020-03-24,2.39857
2020-03-25,3.11303
2020-03-26,5.07782
2020-03-27,3.13855
2020-03-28,1.9903
2020-03-29,2.47512
2020-03-30,2.83235
2020-03-31,2.57718
2020-04-01,3.01097
2020-04-02,2.39857
2020-04-03,2.09237
2020-04-04,1.9903
2020-04-05,1.30135
2020-04-06,2.1434
2020-04-07,2.37305
2020-04-08,2.09237
2020-04-09,2.24547
2020-04-10,1.93927
2020-04-11,1.09721
2020-04-12,0.81653
2020-04-13,1.63306
2020-04-14,2.34753
2020-04-15,1.12273
2020-04-16,2.21995
2020-04-17,2.39857
2020-04-18,1.12273
2020-04-19,1.531
2020-04-20,2.55167
2020-04-21,2.09237
2020-04-22,2.6027
2020-04-23,1.9903
2020-04-24,2.78132
2020-04-25,1.50548
2020-04-26,1.47996
2020-04-27,2.9089
2020-04-28,2.52615
2020-04-29,2.11788
2020-04-30,1.30135
2020-05-01,1.42893
2020-05-02,0.9186
2020-05-03,1.19928
2020-05-04,2.80683
2020-05-05,1.19928
2020-05-06,1.40341
2020-05-07,1.8372
2020-05-08,1.50548
2020-05-09,1.09721
2020-05-10,1.19928
2020-05-11,2.50063
2020-05-12,2.32202
2020-05-13,2.42408
2020-05-14,2.04133
2020-05-15,1.65858
2020-05-16,0.99515
2020-05-17,1.42893
2020-05-18,2.09237
2020-05-19,2.21995
2020-05-20,2.50063
2020-05-21,1.78616
2020-05-22,1.27583
2020-05-23,0.56136
2020-05-24,0.58688
2020-05-25,2.27098
2020-05-26,2.11788
2020-05-27,1.96478
2020-05-28,1.65858
2020-05-29,1.6841
2020-05-30,1.19928
2020-05-31,1.12273
2020-06-01,2.47512
2020-06-02,2.37305
2020-06-03,1.78616
2020-06-04,1.96478
2020-06-05,1.76065
2020-06-06,0.68895
2020-06-07,1.17376
2020-06-08,2.24547
2020-06-09,1.9903
2020-06-10,2.04133
2020-06-11,1.531
2020-06-12,1.27583
2020-06-13,0.9186
2020-06-14,1.14825
2020-06-15,1.81168
2020-06-16,1.88823
2020-06-17,1.58203
2020-06-18,1.531
2020-06-19,1.47996
2020-06-20,0.86756
2020-06-21,0.81653
2020-06-22,2.09237
2020-06-23,1.65858
2020-06-24,1.6841
2020-06-25,2.27098
2020-06-26,1.73513
2020-06-27,0.43378
2020-06-28,0.89308
2020-06-29,1.65858
2020-06-30,2.06685
2020-07-01,1.91375
2020-07-02,1.86272
2020-07-03,1.8372
2020-07-04,0.63791
2020-07-05,0.81653
2020-07-06,1.65858
2020-07-07,1.96478
2020-07-08,2.09237
2020-07-09,1.86272
2020-07-10,1.55651
2020-07-11,0.84205
2020-07-12,0.9186
2020-07-13,1.47996
2020-07-14,1.70961
2020-07-15,1.91375
2020-07-16,1.96478
2020-07-17,1.14825
2020-07-18,0.58688
2020-07-19,1.14825
2020-07-20,2.50063
2020-07-21,1.76065
2020-07-22,2.09237
2020-07-23,1.88823
2020-07-24,1.27583
2020-07-25,0.89308
2020-07-26,0.99515
2020-07-27,2.09237
2020-07-28,1.73513
2020-07-29,1.88823
2020-07-30,1.88823
2020-07-31,1.50548
2020-08-01,1.04618
2020-08-02,0.89308
2020-08-03,1.60755
2020-08-04,1.25031
2020-08-05,1.42893
2020-08-06,1.27583
2020-08-07,1.50548
2020-08-08,0.53585
2020-08-09,1.0717
2020-08-10,2.16892
2020-08-11,1.6841
2020-08-12,1.47996
2020-08-13,1.531
2020-08-14,1.45445
2020-08-15,0.56136
2020-08-16,0.40826
2020-08-17,1.14825
2020-08-18,1.50548
2020-08-19,1.93927
2020-08-20,1.60755
2020-08-21,1.32686
2020-08-22,0.94411
2020-08-23,1.2248
2020-08-24,2.4496
2020-08-25,2.98545
2020-08-26,1.63306
2020-08-27,1.65858
2020-08-28,2.09237
2020-08-29,1.35238
2020-08-30,1.27583
2020-08-31,1.96478
2020-09-01,1.63306
2020-09-02,1.93927
2020-09-03,1.88823
2020-09-04,1.96478
2020-09-05,0.84205
2020-09-06,1.32686
2020-09-07,1.93927
2020-09-08,1.73513
2020-09-09,1.6841
2020-09-10,2.06685
2020-09-11,0.9186
2020-09-12,0.71446
2020-09-13,0.94411
2020-09-14,1.32686
2020-09-15,1.55651
2020-09-16,1.55651
2020-09-17,1.35238
2020-09-18,1.32686
2020-09-19,0.84205
2020-09-20,1.19928
2020-09-21,1.91375
2020-09-22,1.50548
2020-09-23,1.27583
2020-09-24,1.40341
2020-09-25,1.40341
2020-09-26,0.63791
2020-09-27,1.04618
2020-09-28,1.93927
2020-09-29,1.76065
2020-09-30,0.79101
2020-10-01,1.14825
2020-10-02,0.71446
2020-10-03,0.96963
2020-10-04,1.2248
2020-10-05,2.52615
2020-10-06,2.39857
2020-10-07,1.91375
2020-10-08,1.70961
2020-10-09,0.66343
2020-10-10,0.84205
2020-10-11,0.94411
2020-10-12,2.52615
2020-10-13,1.70961
2020-10-14,1.63306
2020-10-15,2.01582
2020-10-16,1.32686
2020-10-17,0.66343
2020-10-18,0.89308
2020-10-19,1.8372
2020-10-20,1.531
2020-10-21,1.73513
2020-10-22,1.8372
2020-10-23,1.17376
2020-10-24,0.79101
2020-10-25,0.94411
2020-10-26,2.09237
2020-10-27,2.01582
2020-10-28,1.91375
2020-10-29,1.45445
2020-10-30,1.531
2020-10-31,0.68895
2020-11-01,1.2248
2020-11-02,1.65858
