date,임대료
2020-03-20,8.77623
2020-03-21,5.15126
2020-03-22,4.87871
2020-03-23,11.01117
2020-03-24,10.35704
2020-03-25,9.34859
2020-03-26,8.91251
2020-03-27,9.45761
2020-03-28,3.95203
2020-03-29,4.76969
2020-03-30,10.32979
2020-03-31,10.62959
2020-04-01,12.12864
2020-04-02,10.9294
2020-04-03,8.63995
2020-04-04,4.8242
2020-04-05,4.46988
2020-04-06,7.95857
2020-04-07,9.02153
2020-04-08,8.63995
2020-04-09,8.88525
2020-04-10,7.82229
2020-04-11,3.81575
2020-04-12,4.63341
2020-04-13,8.58544
2020-04-14,7.30444
2020-04-15,4.25183
2020-04-16,7.19542
2020-04-17,7.44071
2020-04-18,3.89751
2020-04-19,3.59771
2020-04-20,7.76778
2020-04-21,8.88525
2020-04-22,11.88334
2020-04-23,8.47642
2020-04-24,7.05914
2020-04-25,4.03379
2020-04-26,4.27909
2020-04-27,9.29408
2020-04-28,8.17661
2020-04-29,9.02153
2020-04-30,5.47833
2020-05-01,5.0695
2020-05-02,3.70673
2020-05-03,4.52439
2020-05-04,7.46797
2020-05-05,4.90596
2020-05-06,9.07604
2020-05-07,9.21231
2020-05-08,6.86835
2020-05-09,4.0883
2020-05-10,4.87871
2020-05-11,8.31289
2020-05-12,7.76778
2020-05-13,7.33169
2020-05-14,7.52248
2020-05-15,6.62305
2020-05-16,3.59771
2020-05-17,3.51594
2020-05-18,6.67756
2020-05-19,7.00463
2020-05-20,7.3862
2020-05-21,6.5958
2020-05-22,6.48678
2020-05-23,2.97083
2020-05-24,3.18887
2020-05-25,9.34859
2020-05-26,7.14091
2020-05-27,6.65031
2020-05-28,6.78659
2020-05-29,7.19542
2020-05-30,4.06105
2020-05-31,4.8242
2020-06-01,9.13055
2020-06-02,8.47642
2020-06-03,7.49523
2020-06-04,8.23112
2020-06-05,6.51403
2020-06-06,4.00654
2020-06-07,4.22458
2020-06-08,9.23957
2020-06-09,10.71136
2020-06-10,7.35895
2020-06-11,6.70482
2020-06-12,6.05069
2020-06-13,4.14281
2020-06-14,5.0695
2020-06-15,7.49523
2020-06-16,7.82229
2020-06-17,7.76778
2020-06-18,6.65031
2020-06-19,6.95012
2020-06-20,4.96047
2020-06-21,4.68792
2020-06-22,7.8768
2020-06-23,6.97737
2020-06-24,7.22267
2020-06-25,7.65876
2020-06-26,5.91441
2020-06-27,3.57045
2020-06-28,3.21613
2020-06-29,6.65031
2020-06-30,8.55819
2020-07-01,7.14091
2020-07-02,6.75933
2020-07-03,5.91441
2020-07-04,2.45298
2020-07-05,3.02534
2020-07-06,6.78659
2020-07-07,6.3505
2020-07-08,7.03188
2020-07-09,5.50558
2020-07-10,5.31479
2020-07-11,3.07985
2020-07-12,2.18043
2020-07-13,6.51403
2020-07-14,17.93404
2020-07-15,8.55819
2020-07-16,6.70482
2020-07-17,5.26028
2020-07-18,2.94358
2020-07-19,2.26219
2020-07-20,7.19542
2020-07-21,9.02153
2020-07-22,6.15971
2020-07-23,6.48678
2020-07-24,5.56009
2020-07-25,3.2979
2020-07-26,3.16162
2020-07-27,5.99618
2020-07-28,6.67756
2020-07-29,6.24148
2020-07-30,8.34014
2020-07-31,8.23112
2020-08-01,4.00654
2020-08-02,2.53475
2020-08-03,7.71327
2020-08-04,7.19542
2020-08-05,5.58735
2020-08-06,5.23303
2020-08-07,4.90596
2020-08-08,2.15317
2020-08-09,2.3167
2020-08-10,6.13246
2020-08-11,5.88716
2020-08-12,6.02343
2020-08-13,4.66067
2020-08-14,4.8242
2020-08-15,3.46143
2020-08-16,2.97083
2020-08-17,2.48023
2020-08-18,5.75088
2020-08-19,6.8411
2020-08-20,6.37775
2020-08-21,6.48678
2020-08-22,2.94358
2020-08-23,3.07985
2020-08-24,7.84955
2020-08-25,6.26873
2020-08-26,6.24148
2020-08-27,5.94167
2020-08-28,7.49523
2020-08-29,5.0695
2020-08-30,4.74243
2020-08-31,9.83919
2020-09-01,8.09484
2020-09-02,8.09484
2020-09-03,6.81384
2020-09-04,8.50367
2020-09-05,4.36086
2020-09-06,3.97928
2020-09-07,8.04033
2020-09-08,7.35895
2020-09-09,12.97356
2020-09-10,10.08449
2020-09-11,7.76778
2020-09-12,3.54319
2020-09-13,4.52439
2020-09-14,8.39465
2020-09-15,6.86835
2020-09-16,8.06759
2020-09-17,8.47642
2020-09-18,6.78659
2020-09-19,3.27064
