date,코인사이트
2020-03-23,2.27272
2020-03-25,5.30303
2020-03-27,2.65151
2020-03-28,2.65151
2020-03-30,2.27272
2020-04-03,5.68181
2020-04-08,1.89393
2020-04-09,2.65151
2020-04-20,2.27272
2020-04-27,1.89393
2020-04-28,1.89393
2020-04-29,2.65151
2020-05-07,3.40909
2020-05-08,2.27272
2020-05-09,1.89393
2020-05-10,1.89393
2020-05-12,2.27272
2020-05-14,3.0303
2020-05-20,1.89393
2020-05-22,1.89393
2020-05-24,2.27272
2020-05-26,1.89393
2020-05-28,2.65151
2020-06-01,3.40909
2020-06-02,1.89393
2020-06-04,3.78787
2020-06-07,3.0303
2020-06-08,2.27272
2020-06-09,2.65151
2020-06-14,2.65151
2020-06-16,2.27272
2020-06-23,3.0303
2020-06-24,2.65151
2020-06-26,1.89393
2020-06-30,2.27272
2020-07-01,4.54545
2020-07-03,1.89393
2020-07-06,1.89393
2020-07-07,2.65151
2020-07-09,2.65151
2020-07-11,1.89393
2020-07-14,2.27272
2020-07-15,1.89393
2020-07-16,1.89393
2020-07-20,1.89393
2020-07-21,1.89393
2020-07-27,3.78787
2020-07-28,2.27272
2020-08-01,1.89393
2020-08-02,6.0606
2020-08-03,1.89393
2020-08-05,2.27272
2020-08-09,2.65151
2020-08-10,2.65151
2020-08-12,1.89393
2020-08-18,4.16666
2020-08-24,4.54545
2020-08-25,3.78787
2020-08-26,2.65151
2020-08-27,2.27272
2020-08-28,2.27272
2020-08-31,2.65151
2020-09-01,4.92424
2020-09-02,1.89393
2020-09-03,2.27272
2020-09-04,2.27272
2020-09-05,3.40909
2020-09-08,2.27272
2020-09-11,2.65151
2020-09-13,1.89393
2020-09-17,1.89393
2020-09-19,1.89393
2020-09-20,2.27272
2020-10-02,2.27272
2020-10-06,1.89393
2020-10-09,2.27272
2020-10-19,1.89393
2020-10-21,4.16666
2020-10-23,2.27272
2020-10-24,1.89393
2020-11-03,1.89393
2020-11-05,2.65151
2020-11-06,4.16666
2020-11-09,5.30303
2020-11-11,3.0303
2020-11-13,2.27272
2020-11-16,3.0303
2020-11-18,17.04545
2020-11-19,7.57575
2020-11-20,4.92424
2020-11-21,9.46969
2020-11-22,9.84848
2020-11-23,8.33333
2020-11-24,25.37878
2020-11-25,12.5
2020-11-26,9.46969
2020-11-27,6.43939
2020-11-28,3.0303
2020-11-29,5.30303
2020-11-30,4.92424
2020-12-01,11.36363
2020-12-02,7.57575
2020-12-03,6.43939
2020-12-04,6.0606
2020-12-07,6.0606
2020-12-08,5.30303
2020-12-09,3.40909
2020-12-10,4.54545
2020-12-11,4.92424
2020-12-12,3.0303
2020-12-16,3.78787
2020-12-17,10.60606
