date,삼성카드홈페이지
2020-03-20,4.63426
2020-03-21,1.7051
2020-03-22,1.79686
2020-03-23,5.69994
2020-03-24,4.99837
2020-03-25,5.90272
2020-03-26,5.14194
2020-03-27,5.04425
2020-03-28,1.83239
2020-03-29,1.48604
2020-03-30,4.73935
2020-03-31,5.30771
2020-04-01,4.98505
2020-04-02,4.19318
2020-04-03,4.01705
2020-04-04,1.73322
2020-04-05,1.49492
2020-04-06,5.05757
2020-04-07,4.35303
2020-04-08,3.98596
2020-04-09,4.56173
2020-04-10,5.88052
2020-04-11,2.19946
2020-04-12,2.20982
2020-04-13,8.3538
2020-04-14,7.10458
2020-04-15,2.67162
2020-04-16,6.33492
2020-04-17,6.13806
2020-04-18,2.2557
2020-04-19,2.05736
2020-04-20,6.95805
2020-04-21,5.57709
2020-04-22,5.68218
2020-04-23,5.16858
2020-04-24,5.06941
2020-04-25,2.09585
2020-04-26,2.62425
2020-04-27,6.61466
2020-04-28,5.23815
2020-04-29,4.99985
2020-04-30,3.13341
2020-05-01,3.38651
2020-05-02,1.90491
2020-05-03,2.3001
2020-05-04,7.77804
2020-05-05,3.92676
2020-05-06,8.59062
2020-05-07,5.73547
2020-05-08,6.15582
2020-05-09,4.45664
2020-05-10,6.05369
2020-05-11,24.46197
2020-05-12,18.37719
2020-05-13,14.1248
2020-05-14,12.3975
2020-05-15,9.80432
2020-05-16,4.57061
2020-05-17,2.95136
2020-05-18,5.48089
2020-05-19,3.58485
2020-05-20,3.18078
2020-05-21,3.19854
2020-05-22,5.6215
2020-05-23,3.09493
2020-05-24,1.9582
2020-05-25,3.91344
2020-05-26,2.93508
2020-05-27,2.49252
2020-05-28,2.06921
2020-05-29,1.29806
2020-05-30,0.82146
2020-05-31,0.80222
2020-06-01,1.5408
2020-06-02,1.59557
2020-06-03,1.63405
2020-06-04,2.24978
2020-06-05,2.59761
2020-06-06,1.15005
2020-06-07,0.78446
2020-06-08,1.21962
2020-06-09,1.35875
2020-06-10,1.66661
2020-06-11,2.39631
2020-06-12,0.3567
2020-06-13,0.15985
2020-06-14,0.15985
2020-06-15,0.35078
2020-06-16,0.30638
2020-06-17,0.28122
2020-06-18,0.23681
2020-06-19,0.21461
