date,KODEX코스닥150레버리지
2020-03-20,100.0
2020-03-21,20.28918
2020-03-22,15.45916
2020-03-23,76.7728
2020-03-24,81.15674
2020-03-25,84.60236
2020-03-26,82.94108
2020-03-27,63.55945
2020-03-28,12.50576
2020-03-29,11.42901
2020-03-30,60.75988
2020-03-31,75.24996
2020-04-01,67.20504
2020-04-02,55.1915
2020-04-03,45.4853
2020-04-04,8.26026
2020-04-05,7.35271
2020-04-06,46.83894
2020-04-07,52.02276
2020-04-08,43.56252
2020-04-09,42.22427
2020-04-10,39.07091
2020-04-11,5.72219
2020-04-12,6.12213
2020-04-13,32.53345
2020-04-14,32.62574
2020-04-15,6.24519
2020-04-16,32.41039
2020-04-17,35.02538
2020-04-18,5.47608
2020-04-19,5.16843
2020-04-20,28.67251
2020-04-21,34.14859
2020-04-22,26.41132
2020-04-23,23.70404
2020-04-24,21.27365
2020-04-25,3.10721
2020-04-26,2.49192
2020-04-27,22.78111
2020-04-28,21.33517
2020-04-29,17.75111
2020-04-30,2.64574
2020-05-01,2.46115
2020-05-02,1.69204
2020-05-03,1.41516
2020-05-04,14.65928
2020-05-05,2.21504
2020-05-06,16.78203
2020-05-07,19.13551
2020-05-08,23.70404
2020-05-09,3.461
2020-05-10,2.70727
2020-05-11,21.55053
2020-05-12,17.1512
2020-05-13,16.8897
2020-05-14,15.25919
2020-05-15,13.25949
2020-05-16,1.8151
2020-05-17,2.0766
2020-05-18,14.79772
2020-05-19,17.65882
2020-05-20,17.07429
2020-05-21,17.47423
2020-05-22,13.92093
2020-05-23,1.79972
2020-05-24,1.72281
2020-05-25,14.13628
2020-05-26,16.1975
2020-05-27,14.05937
2020-05-28,19.98154
2020-05-29,14.3824
2020-05-30,2.10736
2020-05-31,1.89201
2020-06-01,23.11952
2020-06-02,23.3964
2020-06-03,23.50407
2020-06-04,19.87386
2020-06-05,18.08952
2020-06-06,3.15336
2020-06-07,2.27657
2020-06-08,18.12028
2020-06-09,16.24365
2020-06-10,19.39701
2020-06-11,20.71988
2020-06-12,18.27411
2020-06-13,2.3381
2020-06-14,1.59975
2020-06-15,22.19658
2020-06-16,24.62698
2020-06-17,19.73542
2020-06-18,14.59775
2020-06-19,15.12075
2020-06-20,1.92278
2020-06-21,1.32287
2020-06-22,19.3201
2020-06-23,16.15136
2020-06-24,17.38194
2020-06-25,14.52084
2020-06-26,13.38255
2020-06-27,2.15351
2020-06-28,1.5536
