date,일본엔화
2020-03-20,13.21731
2020-03-21,5.44112
2020-03-22,4.67011
2020-03-23,12.32514
2020-03-24,10.27646
2020-03-25,12.15992
2020-03-26,10.06718
2020-03-27,8.67936
2020-03-28,4.0533
2020-03-29,3.50258
2020-03-30,9.17501
2020-03-31,7.73212
2020-04-01,8.06256
2020-04-02,8.29386
2020-04-03,6.60865
2020-04-04,3.53563
2020-04-05,3.07302
2020-04-06,6.72981
2020-04-07,8.64632
2020-04-08,7.53386
2020-04-09,7.30256
2020-04-10,6.113
2020-04-11,3.00693
2020-04-12,2.78665
2020-04-13,6.83996
2020-04-14,6.05793
2020-04-15,3.77794
2020-04-16,6.58662
2020-04-17,6.113
2020-04-18,3.3594
2020-04-19,2.61041
2020-04-20,6.6417
2020-04-21,7.69908
2020-04-22,5.79358
2020-04-23,5.83764
2020-04-24,5.8046
2020-04-25,2.5223
2020-04-26,2.13679
2020-04-27,5.13272
2020-04-28,5.39707
2020-04-29,4.80229
2020-04-30,3.05099
2020-05-01,2.77563
2020-05-02,2.23592
2020-05-03,1.79535
2020-05-04,4.86837
2020-05-05,3.29331
2020-05-06,4.93446
2020-05-07,4.93446
2020-05-08,4.07533
2020-05-09,1.91651
2020-05-10,2.02665
2020-05-11,5.06663
2020-05-12,4.11939
2020-05-13,4.76924
2020-05-14,4.20751
2020-05-15,4.27359
2020-05-16,2.00462
2020-05-17,1.72926
2020-05-18,3.81099
2020-05-19,3.78896
2020-05-20,3.54664
2020-05-21,3.22722
2020-05-22,3.4365
2020-05-23,1.48694
2020-05-24,1.64114
2020-05-25,4.00925
2020-05-26,3.45853
2020-05-27,2.94085
2020-05-28,2.91882
2020-05-29,2.76462
2020-05-30,1.39883
2020-05-31,1.11245
2020-06-01,3.24925
2020-06-02,3.30432
2020-06-03,3.6678
2020-06-04,3.46954
2020-06-05,3.4365
2020-06-06,1.56404
2020-06-07,1.49796
2020-06-08,3.38142
2020-06-09,3.88809
2020-06-10,3.76693
2020-06-11,3.38142
2020-06-12,3.84403
2020-06-13,1.531
2020-06-14,1.47593
2020-06-15,3.62374
2020-06-16,3.42548
2020-06-17,2.91882
2020-06-18,3.24925
2020-06-19,2.47824
2020-06-20,1.33274
2020-06-21,1.20057
2020-06-22,3.18316
2020-06-23,2.99592
2020-06-24,3.28229
2020-06-25,3.61273
2020-06-26,2.70954
2020-06-27,1.01332
2020-06-28,1.03535
2020-06-29,2.78665
2020-06-30,3.01795
2020-07-01,3.42548
2020-07-02,2.73157
2020-07-03,2.7536
2020-07-04,1.1455
2020-07-05,1.03535
2020-07-06,2.42317
2020-07-07,2.23592
2020-07-08,2.14781
2020-07-09,2.07071
2020-07-10,2.51128
2020-07-11,1.44289
2020-07-12,1.11245
2020-07-13,2.57737
2020-07-14,2.87476
2020-07-15,3.18316
2020-07-16,3.12809
2020-07-17,2.88578
2020-07-18,1.06839
2020-07-19,1.18955
2020-07-20,2.96288
2020-07-21,3.17215
2020-07-22,2.96288
2020-07-23,2.7536
2020-07-24,3.11708
2020-07-25,1.15651
2020-07-26,1.1455
2020-07-27,2.87476
2020-07-28,2.55534
2020-07-29,2.55534
2020-07-30,2.4452
2020-07-31,2.37911
2020-08-01,1.36578
2020-08-02,1.15651
2020-08-03,2.56636
2020-08-04,2.31303
2020-08-05,2.55534
2020-08-06,2.03766
2020-08-07,2.27998
2020-08-08,1.09042
2020-08-09,1.17854
2020-08-10,2.10375
2020-08-11,2.34607
2020-08-12,2.55534
2020-08-13,1.90549
2020-08-14,1.79535
2020-08-15,1.11245
2020-08-16,1.2226
2020-08-17,1.67419
2020-08-18,2.25795
2020-08-19,2.61041
2020-08-20,2.51128
2020-08-21,2.33505
2020-08-22,1.10144
2020-08-23,1.3768
2020-08-24,2.42317
2020-08-25,2.26897
2020-08-26,2.33505
2020-08-27,2.14781
2020-08-28,3.24925
2020-08-29,1.71825
2020-08-30,1.07941
2020-08-31,2.78665
2020-09-01,2.11477
2020-09-02,2.09274
2020-09-03,2.14781
2020-09-04,1.80636
2020-09-05,1.18955
2020-09-06,0.93622
2020-09-07,2.02665
2020-09-08,1.78433
2020-09-09,2.07071
2020-09-10,1.91651
2020-09-11,1.6081
2020-09-12,1.05738
2020-09-13,1.21158
2020-09-14,2.18085
2020-09-15,2.55534
2020-09-16,2.48926
2020-09-17,2.13679
2020-09-18,2.14781
2020-09-19,1.36578
2020-09-20,1.17854
2020-09-21,2.46723
2020-09-22,2.31303
2020-09-23,1.90549
2020-09-24,1.81738
2020-09-25,1.38781
2020-09-26,0.84811
2020-09-27,1.04637
2020-09-28,1.61912
2020-09-29,1.38781
2020-09-30,1.04637
2020-10-01,1.11245
2020-10-02,1.67419
2020-10-03,1.01332
2020-10-04,1.03535
2020-10-05,2.30201
2020-10-06,2.86375
2020-10-07,2.7536
2020-10-08,1.93853
2020-10-09,1.20057
2020-10-10,1.09042
2020-10-11,1.27767
2020-10-12,2.13679
2020-10-13,2.18085
2020-10-14,2.10375
2020-10-15,1.88346
2020-10-16,1.79535
2020-10-17,0.90318
2020-10-18,0.91419
2020-10-19,2.08172
2020-10-20,2.31303
2020-10-21,2.02665
2020-10-22,2.11477
2020-10-23,2.13679
2020-10-24,1.06839
2020-10-25,0.89216
2020-10-26,2.01564
2020-10-27,2.10375
2020-10-28,1.61912
2020-10-29,1.67419
2020-10-30,1.86143
2020-10-31,0.91419
2020-11-01,1.04637
2020-11-02,1.6081
2020-11-03,1.80636
2020-11-04,1.87245
2020-11-05,2.04868
2020-11-06,1.81738
2020-11-07,0.77101
2020-11-08,1.18955
2020-11-09,2.30201
2020-11-10,2.54433
2020-11-11,2.4452
2020-11-12,2.07071
2020-11-13,1.91651
2020-11-14,1.15651
2020-11-15,0.89216
2020-11-16,1.85042
2020-11-17,2.291
2020-11-18,1.70723
2020-11-19,1.97158
2020-11-20,1.65216
2020-11-21,0.79303
2020-11-22,0.81506
2020-11-23,2.18085
2020-11-24,2.14781
2020-11-25,1.72926
2020-11-26,1.70723
2020-11-27,1.71825
2020-11-28,1.2226
2020-11-29,1.1455
2020-11-30,2.3681
2020-12-01,2.18085
2020-12-02,2.07071
2020-12-03,2.34607
2020-12-04,2.81969
2020-12-05,1.33274
2020-12-06,1.26665
2020-12-07,3.03998
2020-12-08,2.47824
2020-12-09,2.54433
2020-12-10,2.43418
2020-12-11,2.48926
2020-12-12,1.27767
2020-12-13,1.3768
2020-12-14,2.26897
2020-12-15,2.48926
2020-12-16,2.64346
2020-12-17,2.43418
2020-12-18,2.39013
2020-12-19,0.99129
2020-12-20,1.17854
2020-12-21,2.43418
2020-12-22,2.66549
2020-12-23,2.74259
2020-12-24,2.07071
2020-12-25,1.26665
2020-12-26,1.2226
2020-12-27,1.13448
2020-12-28,2.09274
2020-12-29,2.23592
2020-12-30,2.11477
2020-12-31,1.55303
2021-01-01,0.99129
2021-01-02,1.13448
