date,PEF
2020-03-20,16.60493
2020-03-21,8.14814
2020-03-22,8.20987
2020-03-23,17.96296
2020-03-24,17.71604
2020-03-25,17.90123
2020-03-26,21.23456
2020-03-27,17.96296
2020-03-28,7.65432
2020-03-29,7.28395
2020-03-30,17.59259
2020-03-31,19.93827
2020-04-01,20.86419
2020-04-02,18.76543
2020-04-03,19.1358
2020-04-04,10.74074
2020-04-05,9.62962
2020-04-06,18.51851
2020-04-07,19.5679
2020-04-08,16.91358
2020-04-09,23.45679
2020-04-10,21.85185
2020-04-11,9.32098
2020-04-12,9.44444
2020-04-13,19.93827
2020-04-14,20.43209
2020-04-15,8.33333
2020-04-16,17.28395
2020-04-17,18.08641
2020-04-18,10.06172
2020-04-19,9.50617
2020-04-20,20.43209
2020-04-21,18.33333
2020-04-22,17.65432
2020-04-23,20.24691
2020-04-24,16.35802
2020-04-25,9.5679
2020-04-26,19.01234
2020-04-27,25.80246
2020-04-28,19.32098
2020-04-29,19.32098
2020-04-30,9.44444
2020-05-01,8.76543
2020-05-02,8.14814
2020-05-03,12.53086
2020-05-04,17.4074
2020-05-05,11.23456
2020-05-06,22.77777
2020-05-07,19.19753
2020-05-08,16.85185
2020-05-09,8.51851
2020-05-10,7.77777
2020-05-11,19.1358
2020-05-12,21.66666
2020-05-13,20.80246
2020-05-14,38.39506
2020-05-15,43.45679
2020-05-16,8.64197
2020-05-17,8.45679
2020-05-18,19.32098
2020-05-19,18.64197
2020-05-20,17.65432
2020-05-21,20.30864
2020-05-22,19.01234
2020-05-23,8.95061
2020-05-24,8.88888
2020-05-25,18.88888
2020-05-26,20.0
2020-05-27,21.5432
2020-05-28,18.82716
2020-05-29,16.91358
2020-05-30,9.1358
2020-05-31,16.91358
2020-06-01,24.44444
2020-06-02,23.51851
2020-06-03,26.66666
2020-06-04,21.48148
2020-06-05,19.38271
2020-06-06,9.93827
2020-06-07,10.61728
2020-06-08,17.71604
2020-06-09,17.77777
2020-06-10,17.28395
2020-06-11,18.02469
2020-06-12,17.53086
2020-06-13,7.59259
2020-06-14,6.23456
2020-06-15,18.2716
2020-06-16,21.41975
2020-06-17,20.06172
2020-06-18,20.80246
2020-06-19,16.5432
2020-06-20,7.59259
2020-06-21,9.62962
2020-06-22,23.76543
2020-06-23,19.69135
2020-06-24,18.45679
2020-06-25,17.22222
2020-06-26,16.91358
2020-06-27,7.90123
2020-06-28,8.02469
2020-06-29,19.5679
2020-06-30,21.23456
2020-07-01,19.44444
2020-07-02,17.09876
2020-07-03,16.29629
2020-07-04,6.04938
2020-07-05,6.72839
2020-07-06,22.34567
2020-07-07,22.59259
2020-07-08,22.28395
2020-07-09,21.72839
2020-07-10,15.80246
2020-07-11,6.41975
2020-07-12,6.72839
2020-07-13,19.32098
2020-07-14,21.5432
2020-07-15,20.37037
2020-07-16,17.8395
2020-07-17,15.24691
2020-07-18,6.29629
2020-07-19,6.72839
2020-07-20,17.90123
2020-07-21,17.46913
2020-07-22,17.22222
2020-07-23,19.87654
2020-07-24,15.80246
2020-07-25,6.41975
2020-07-26,7.4074
2020-07-27,17.46913
2020-07-28,19.93827
2020-07-29,18.2716
2020-07-30,17.8395
2020-07-31,21.91358
2020-08-01,7.53086
2020-08-02,6.66666
2020-08-03,16.79012
2020-08-04,16.17283
2020-08-05,17.16049
2020-08-06,17.4074
2020-08-07,14.25925
2020-08-08,6.91358
2020-08-09,7.46913
2020-08-10,17.28395
2020-08-11,17.8395
2020-08-12,16.5432
2020-08-13,18.08641
2020-08-14,25.30864
2020-08-15,5.61728
2020-08-16,9.01234
2020-08-17,16.9753
2020-08-18,16.72839
2020-08-19,19.69135
2020-08-20,17.46913
2020-08-21,36.60493
2020-08-22,58.76543
2020-08-23,100.0
2020-08-24,43.39506
2020-08-25,35.61728
2020-08-26,24.25925
2020-08-27,18.51851
2020-08-28,17.46913
2020-08-29,16.29629
2020-08-30,28.33333
2020-08-31,26.5432
2020-09-01,22.65432
2020-09-02,22.90123
2020-09-03,20.61728
2020-09-04,21.66666
2020-09-05,9.32098
2020-09-06,11.41975
2020-09-07,20.92592
2020-09-08,20.37037
2020-09-09,22.22222
2020-09-10,27.28395
2020-09-11,20.74074
2020-09-12,8.02469
2020-09-13,8.64197
2020-09-14,21.35802
2020-09-15,21.41975
2020-09-16,20.49382
2020-09-17,17.09876
2020-09-18,17.90123
2020-09-19,7.53086
2020-09-20,8.76543
2020-09-21,16.91358
2020-09-22,19.38271
2020-09-23,17.22222
2020-09-24,18.02469
2020-09-25,16.48148
2020-09-26,8.58024
2020-09-27,7.46913
2020-09-28,17.4074
2020-09-29,13.45679
2020-09-30,8.2716
2020-10-01,4.62962
2020-10-02,5.55555
2020-10-03,6.60493
2020-10-04,7.96296
2020-10-05,16.72839
2020-10-06,19.69135
2020-10-07,17.90123
2020-10-08,17.46913
2020-10-09,9.07407
2020-10-10,7.65432
2020-10-11,8.58024
2020-10-12,19.5679
2020-10-13,21.17283
2020-10-14,18.88888
2020-10-15,22.46913
2020-10-16,20.49382
2020-10-17,7.90123
2020-10-18,9.75308
2020-10-19,20.37037
2020-10-20,20.24691
2020-10-21,26.60493
2020-10-22,19.07407
2020-10-23,16.91358
2020-10-24,8.39506
2020-10-25,8.33333
2020-10-26,19.81481
2020-10-27,20.98765
2020-10-28,18.76543
2020-10-29,19.32098
2020-10-30,17.77777
2020-10-31,8.64197
2020-11-01,7.28395
2020-11-02,20.55555
2020-11-03,20.80246
2020-11-04,18.45679
2020-11-05,18.45679
2020-11-06,17.09876
2020-11-07,6.91358
2020-11-08,8.95061
2020-11-09,17.90123
2020-11-10,17.96296
2020-11-11,19.44444
2020-11-12,18.76543
2020-11-13,16.11111
2020-11-14,8.2716
2020-11-15,9.62962
2020-11-16,20.37037
2020-11-17,21.66666
2020-11-18,20.55555
2020-11-19,20.67901
2020-11-20,20.49382
2020-11-21,9.5679
2020-11-22,9.01234
2020-11-23,20.37037
2020-11-24,20.0
2020-11-25,18.58024
2020-11-26,19.69135
2020-11-27,19.38271
2020-11-28,8.51851
2020-11-29,10.86419
2020-11-30,34.93827
2020-12-01,28.58024
2020-12-02,27.03703
2020-12-03,20.98765
2020-12-04,18.2716
2020-12-05,9.25925
2020-12-06,9.62962
2020-12-07,17.16049
2020-12-08,23.51851
2020-12-09,21.23456
2020-12-10,19.50617
2020-12-11,20.12345
2020-12-12,9.38271
2020-12-13,7.96296
2020-12-14,21.04938
2020-12-15,19.62962
2020-12-16,21.66666
2020-12-17,22.28395
2020-12-18,17.03703
2020-12-19,9.87654
2020-12-20,7.8395
2020-12-21,20.30864
2020-12-22,18.64197
2020-12-23,18.02469
2020-12-24,15.86419
2020-12-25,10.37037
2020-12-26,7.46913
2020-12-27,9.25925
2020-12-28,17.09876
2020-12-29,20.55555
2020-12-30,18.51851
2020-12-31,16.23456
2021-01-01,8.76543
2021-01-02,10.98765
2021-01-03,9.38271
2021-01-04,20.37037
2021-01-05,22.65432
2021-01-06,20.80246
2021-01-07,21.29629
2021-01-08,19.62962
2021-01-09,11.35802
2021-01-10,12.96296
2021-01-11,19.75308
2021-01-12,24.1358
2021-01-13,19.93827
2021-01-14,20.92592
2021-01-15,17.22222
2021-01-16,9.38271
2021-01-17,10.24691
2021-01-18,22.28395
2021-01-19,34.44444
2021-01-20,23.45679
2021-01-21,21.85185
2021-01-22,22.59259
2021-01-23,14.07407
2021-01-24,13.39506
2021-01-25,22.4074
2021-01-26,24.07407
2021-01-27,20.0
2021-01-28,20.24691
2021-01-29,22.46913
2021-01-30,10.0
2021-01-31,10.06172
2021-02-01,17.28395
2021-02-02,20.80246
2021-02-03,20.80246
2021-02-04,19.07407
2021-02-05,18.33333
2021-02-06,8.14814
2021-02-07,11.9753
2021-02-08,87.77777
2021-02-09,28.2716
2021-02-10,18.45679
2021-02-11,8.82716
2021-02-12,6.9753
2021-02-13,8.02469
2021-02-14,8.39506
2021-02-15,20.06172
2021-02-16,19.75308
2021-02-17,27.53086
2021-02-18,29.32098
