date,아파트등기비용
2020-11-07,36.47342
2020-11-08,38.88888
2020-11-09,65.70048
2020-11-10,59.66183
2020-11-11,51.44927
2020-11-12,59.90338
2020-11-13,55.55555
2020-11-14,41.0628
2020-11-15,45.65217
2020-11-16,67.63285
2020-11-17,70.77294
2020-11-18,64.00966
2020-11-19,67.3913
2020-11-20,67.87439
2020-11-21,52.89855
2020-11-22,40.82125
2020-11-23,66.66666
2020-11-24,64.73429
2020-11-25,71.49758
2020-11-26,68.84057
2020-11-27,65.45893
2020-11-28,44.68599
2020-11-29,42.27053
2020-11-30,75.36231
2020-12-01,62.56038
2020-12-02,68.59903
2020-12-03,57.48792
2020-12-04,58.21256
2020-12-05,39.13043
2020-12-06,39.37198
2020-12-07,63.04347
2020-12-08,72.94685
2020-12-09,72.22222
2020-12-10,66.90821
2020-12-11,64.49275
2020-12-12,42.27053
2020-12-13,44.92753
2020-12-14,67.63285
2020-12-15,62.80193
2020-12-16,66.42512
2020-12-17,61.35265
2020-12-18,60.14492
2020-12-19,44.20289
2020-12-20,47.58454
2020-12-21,68.35748
2020-12-22,66.90821
2020-12-23,67.87439
2020-12-24,57.97101
2020-12-25,26.08695
2020-12-26,30.67632
2020-12-27,44.68599
2020-12-28,79.22705
2020-12-29,64.73429
2020-12-30,62.31884
2020-12-31,47.58454
2021-01-01,32.1256
2021-01-02,37.68115
2021-01-03,37.43961
2021-01-04,58.21256
2021-01-05,70.0483
2021-01-06,58.21256
2021-01-07,65.21739
2021-01-08,51.20772
2021-01-09,45.41062
2021-01-10,41.78743
2021-01-11,53.86473
2021-01-12,56.76328
2021-01-13,84.05797
2021-01-14,71.25603
2021-01-15,71.98067
2021-01-16,45.41062
2021-01-17,45.16908
2021-01-18,61.83574
2021-01-19,69.32367
2021-01-20,74.63768
2021-01-21,74.39613
2021-01-22,50.24154
2021-01-23,44.44444
2021-01-24,45.16908
2021-01-25,66.66666
2021-01-26,75.12077
2021-01-27,78.26086
2021-01-28,61.5942
2021-01-29,60.86956
2021-01-30,44.92753
2021-01-31,38.88888
2021-02-01,65.21739
2021-02-02,61.5942
2021-02-03,61.5942
2021-02-04,61.11111
2021-02-05,52.89855
2021-02-06,42.02898
2021-02-07,47.58454
2021-02-08,56.76328
2021-02-09,59.66183
2021-02-10,53.86473
2021-02-11,30.19323
2021-02-12,28.9855
2021-02-13,33.57487
2021-02-14,44.44444
2021-02-15,71.25603
2021-02-16,78.01932
2021-02-17,65.70048
2021-02-18,68.84057
2021-02-19,57.00483
2021-02-20,38.40579
2021-02-21,42.02898
2021-02-22,86.95652
2021-02-23,65.70048
2021-02-24,65.21739
2021-02-25,72.70531
2021-02-26,57.00483
2021-02-27,37.43961
2021-02-28,35.74879
2021-03-01,35.2657
2021-03-02,64.97584
2021-03-03,60.14492
2021-03-04,63.28502
2021-03-05,47.34299
2021-03-06,35.99033
2021-03-07,29.71014
2021-03-08,54.10628
2021-03-09,60.86956
2021-03-10,63.76811
2021-03-11,61.83574
2021-03-12,56.52173
2021-03-13,41.0628
2021-03-14,40.33816
2021-03-15,64.97584
2021-03-16,60.14492
2021-03-17,60.38647
2021-03-18,51.93236
2021-03-19,51.93236
2021-03-20,32.85024
2021-03-21,33.33333
2021-03-22,63.28502
2021-03-23,66.90821
2021-03-24,62.07729
2021-03-25,52.657
2021-03-26,59.17874
2021-03-27,44.44444
2021-03-28,35.02415
2021-03-29,70.77294
2021-03-30,66.90821
2021-03-31,53.14009
2021-04-01,50.48309
2021-04-02,33.57487
2021-04-03,30.19323
2021-04-04,31.88405
2021-04-05,48.55072
2021-04-06,56.03864
2021-04-07,50.72463
2021-04-08,42.27053
2021-04-09,48.79227
2021-04-10,35.2657
2021-04-11,29.46859
2021-04-12,52.89855
2021-04-13,48.30917
2021-04-14,53.38164
2021-04-15,51.20772
2021-04-16,51.20772
