date,NPL
2020-12-11,34.50134
2020-12-12,21.56334
2020-12-13,22.23719
2020-12-14,37.19676
2020-12-15,36.52291
2020-12-16,38.81401
2020-12-17,41.10512
2020-12-18,38.00539
2020-12-19,30.0539
2020-12-20,18.46361
2020-12-21,36.11859
2020-12-22,32.74932
2020-12-23,33.55795
2020-12-24,27.08894
2020-12-25,16.03773
2020-12-26,16.98113
2020-12-27,20.75471
2020-12-28,36.25336
2020-12-29,37.4663
2020-12-30,34.2318
2020-12-31,26.14555
2021-01-01,16.44204
2021-01-02,18.86792
2021-01-03,20.48517
2021-01-04,33.2884
2021-01-05,38.14016
2021-01-06,38.94878
2021-01-07,35.98382
2021-01-08,26.68463
2021-01-09,20.08086
2021-01-10,16.71159
2021-01-11,30.45822
2021-01-12,32.21024
2021-01-13,29.91913
2021-01-14,34.2318
2021-01-15,31.80592
2021-01-16,17.1159
2021-01-17,19.27223
2021-01-18,31.40161
2021-01-19,33.01886
2021-01-20,31.9407
2021-01-21,32.07547
2021-01-22,31.13207
2021-01-23,16.71159
2021-01-24,18.46361
2021-01-25,41.50943
2021-01-26,32.34501
2021-01-27,36.65768
2021-01-28,28.30188
2021-01-29,28.97574
2021-01-30,15.90296
2021-01-31,17.38544
2021-02-01,34.09703
2021-02-02,33.01886
2021-02-03,31.67115
2021-02-04,30.59299
2021-02-05,34.50134
2021-02-06,17.52021
2021-02-07,17.38544
2021-02-08,31.80592
2021-02-09,24.25876
2021-02-10,24.66307
2021-02-11,10.24258
2021-02-12,14.01617
2021-02-13,13.74663
2021-02-14,25.87601
2021-02-15,33.82749
2021-02-16,30.9973
2021-02-17,35.98382
2021-02-18,43.80053
2021-02-19,28.84097
2021-02-20,19.81132
2021-02-21,20.88948
2021-02-22,24.5283
2021-02-23,34.2318
2021-02-24,32.74932
2021-02-25,30.59299
2021-02-26,27.7628
2021-02-27,19.13746
2021-02-28,18.59838
2021-03-01,15.76819
2021-03-02,33.69272
2021-03-03,36.52291
2021-03-04,35.44474
2021-03-05,32.88409
2021-03-06,15.09433
2021-03-07,18.59838
2021-03-08,31.80592
2021-03-09,31.53638
2021-03-10,32.07547
2021-03-11,37.19676
2021-03-12,33.42318
2021-03-13,21.15902
2021-03-14,16.98113
2021-03-15,34.50134
2021-03-16,37.06199
2021-03-17,33.42318
2021-03-18,36.52291
2021-03-19,34.90566
2021-03-20,21.02425
2021-03-21,15.22911
2021-03-22,40.56603
2021-03-23,32.47978
2021-03-24,34.63611
2021-03-25,34.77088
2021-03-26,33.69272
2021-03-27,25.60646
2021-03-28,21.42857
2021-03-29,37.06199
2021-03-30,36.11859
2021-03-31,38.14016
2021-04-01,34.36657
2021-04-02,30.45822
2021-04-03,16.98113
2021-04-04,25.33692
2021-04-05,35.57951
2021-04-06,39.08355
2021-04-07,33.01886
2021-04-08,33.01886
2021-04-09,36.92722
2021-04-10,20.08086
2021-04-11,19.67654
2021-04-12,37.73584
2021-04-13,36.79245
2021-04-14,37.33153
2021-04-15,34.90566
2021-04-16,29.38005
2021-04-17,16.84636
2021-04-18,22.77628
2021-04-19,33.01886
2021-04-20,40.97035
2021-04-21,37.33153
2021-04-22,37.19676
2021-04-23,38.94878
2021-04-24,21.2938
2021-04-25,17.65498
2021-04-26,33.2884
2021-04-27,36.38814
2021-04-28,31.80592
2021-04-29,36.92722
2021-04-30,37.73584
2021-05-01,24.12398
2021-05-02,17.78975
2021-05-03,29.51482
2021-05-04,31.26684
2021-05-05,15.90296
2021-05-06,31.9407
2021-05-07,32.61455
2021-05-08,24.66307
2021-05-09,25.60646
2021-05-10,36.52291
2021-05-11,44.60916
2021-05-12,42.99191
2021-05-13,43.9353
2021-05-14,32.88409
2021-05-15,24.25876
2021-05-16,23.45013
2021-05-17,34.63611
2021-05-18,49.32614
2021-05-19,18.59838
2021-05-20,33.01886
2021-05-21,34.09703
2021-05-22,19.00269
2021-05-23,14.42048
2021-05-24,34.36657
2021-05-25,35.98382
2021-05-26,33.82749
2021-05-27,27.49326
2021-05-28,31.67115
2021-05-29,15.49865
2021-05-30,14.55525
2021-05-31,31.40161
2021-06-01,38.14016
2021-06-02,32.47978
2021-06-03,34.63611
2021-06-04,31.40161
2021-06-05,20.3504
2021-06-06,20.75471
2021-06-07,41.91374
2021-06-08,46.09164
2021-06-09,42.31805
2021-06-10,30.59299
2021-06-11,38.94878
2021-06-12,24.25876
2021-06-13,24.12398
2021-06-14,41.77897
2021-06-15,37.19676
2021-06-16,40.16172
2021-06-17,40.97035
2021-06-18,37.4663
2021-06-19,22.23719
2021-06-20,18.05929
2021-06-21,42.45283
2021-06-22,32.88409
2021-06-23,31.53638
2021-06-24,33.55795
2021-06-25,26.28032
2021-06-26,17.65498
2021-06-27,12.66846
2021-06-28,26.8194
2021-06-29,27.7628
2021-06-30,28.03234
2021-07-01,23.45013
2021-07-02,25.47169
2021-07-03,16.84636
2021-07-04,17.1159
2021-07-05,25.87601
2021-07-06,30.72776
2021-07-07,28.70619
2021-07-08,24.93261
2021-07-09,30.18867
2021-07-10,12.12938
2021-07-11,17.92452
2021-07-12,35.71428
2021-07-13,40.29649
2021-07-14,38.27493
2021-07-15,38.67924
2021-07-16,34.63611
2021-07-17,19.27223
2021-07-18,21.69811
2021-07-19,48.24797
2021-07-20,45.68733
2021-07-21,42.18328
2021-07-22,36.11859
2021-07-23,34.90566
2021-07-24,21.83288
2021-07-25,18.59838
2021-07-26,33.82749
2021-07-27,40.29649
2021-07-28,37.33153
2021-07-29,40.29649
2021-07-30,33.2884
2021-07-31,19.81132
2021-08-01,23.85444
2021-08-02,34.36657
2021-08-03,32.88409
2021-08-04,37.06199
2021-08-05,39.35309
2021-08-06,33.2884
2021-08-07,24.66307
2021-08-08,25.20215
2021-08-09,33.2884
2021-08-10,37.73584
2021-08-11,33.55795
2021-08-12,35.1752
2021-08-13,32.47978
2021-08-14,22.10242
2021-08-15,14.15094
2021-08-16,26.28032
2021-08-17,36.25336
2021-08-18,38.14016
2021-08-19,41.10512
2021-08-20,30.32345
2021-08-21,19.67654
2021-08-22,20.21563
2021-08-23,33.96226
2021-08-24,42.72237
2021-08-25,38.67924
2021-08-26,40.43126
2021-08-27,31.53638
2021-08-28,22.91105
2021-08-29,19.81132
2021-08-30,35.44474
2021-08-31,38.67924
2021-09-01,42.31805
2021-09-02,39.62264
2021-09-03,30.59299
2021-09-04,20.08086
2021-09-05,21.96765
2021-09-06,36.11859
2021-09-07,36.79245
