date,양극재관련주
2020-03-20,1.60875
2020-03-21,1.6731
2020-03-22,1.1583
2020-03-23,1.48005
2020-03-24,1.09395
2020-03-25,1.22265
2020-03-26,0.5148
2020-03-27,0.6435
2020-03-28,1.09395
2020-03-29,0.5148
2020-03-30,0.70785
2020-03-31,0.96525
2020-04-01,1.0296
2020-04-02,1.60875
2020-04-03,1.4157
2020-04-04,0.9009
2020-04-05,1.0296
2020-04-06,0.57915
2020-04-07,1.22265
2020-04-08,1.5444
2020-04-09,2.4453
2020-04-10,1.0296
2020-04-11,1.86615
2020-04-12,3.2175
2020-04-13,1.22265
2020-04-14,1.5444
2020-04-15,1.1583
2020-04-16,1.60875
2020-04-17,1.35135
2020-04-18,1.6731
2020-04-19,1.4157
2020-04-20,1.99485
2020-04-21,1.0296
2020-04-22,0.96525
2020-04-23,1.35135
2020-04-24,0.32175
2020-04-25,1.5444
2020-04-26,4.56885
2020-04-27,4.3758
2020-04-28,3.41055
2020-04-29,1.9305
2020-04-30,1.5444
2020-05-01,1.8018
2020-05-02,0.83655
2020-05-03,0.83655
2020-05-04,0.6435
2020-05-05,0.6435
2020-05-06,0.32175
2020-05-07,0.5148
2020-05-08,0.83655
2020-05-09,1.60875
2020-05-10,1.35135
2020-05-11,0.96525
2020-05-12,0.96525
2020-05-13,5.08365
2020-05-14,8.4942
2020-05-15,5.72715
2020-05-16,2.89575
2020-05-17,2.12355
2020-05-18,4.95495
2020-05-19,3.4749
2020-05-20,3.53925
2020-05-21,5.6628
2020-05-22,2.76705
2020-05-23,3.9897
2020-05-24,9.9099
2020-05-25,12.67696
2020-05-26,9.3951
2020-05-27,5.59845
2020-05-28,5.08365
2020-05-29,3.9897
2020-05-30,3.4749
2020-05-31,5.46975
2020-06-01,4.44015
2020-06-02,19.62676
2020-06-03,24.96782
2020-06-04,28.44272
2020-06-05,12.35521
2020-06-06,6.0489
2020-06-07,4.8906
2020-06-08,4.31145
2020-06-09,1.99485
2020-06-10,5.98455
2020-06-11,4.05405
2020-06-12,1.73745
2020-06-13,1.60875
2020-06-14,1.22265
2020-06-15,1.9305
2020-06-16,2.7027
2020-06-17,3.02445
2020-06-18,3.66795
2020-06-19,3.3462
2020-06-20,1.09395
2020-06-21,1.8018
2020-06-22,1.86615
2020-06-23,1.9305
2020-06-24,1.99485
2020-06-25,1.60875
2020-06-26,1.287
2020-06-27,1.22265
2020-06-28,0.96525
2020-06-29,2.25225
2020-06-30,2.9601
2020-07-01,3.15315
2020-07-02,2.7027
2020-07-03,2.574
2020-07-04,3.2175
2020-07-05,1.73745
2020-07-06,4.18275
2020-07-07,4.8906
2020-07-08,3.15315
2020-07-09,3.2175
2020-07-10,1.8018
2020-07-11,1.99485
2020-07-12,0.70785
2020-07-13,1.1583
2020-07-14,1.99485
2020-07-15,1.4157
2020-07-16,2.9601
2020-07-17,1.4157
2020-07-18,1.5444
2020-07-19,2.8314
2020-07-20,3.6036
2020-07-21,3.79665
2020-07-22,3.0888
2020-07-23,2.0592
2020-07-24,1.8018
2020-07-25,0.57915
2020-07-26,0.7722
2020-07-27,1.0296
2020-07-28,2.12355
2020-07-29,2.12355
2020-07-30,1.8018
2020-07-31,3.3462
2020-08-01,2.50965
2020-08-02,3.41055
2020-08-03,3.15315
2020-08-04,4.05405
2020-08-05,5.148
2020-08-06,6.75675
2020-08-07,7.2072
2020-08-08,5.72715
2020-08-09,6.11325
2020-08-10,7.3359
2020-08-11,10.16731
2020-08-12,9.009
2020-08-13,6.37065
2020-08-14,4.95495
2020-08-15,9.1377
2020-08-16,6.62805
2020-08-17,3.66795
2020-08-18,1.8018
2020-08-19,4.56885
2020-08-20,1.9305
2020-08-21,4.5045
2020-08-22,2.3166
2020-08-23,3.79665
2020-08-24,2.89575
2020-08-25,5.5341
2020-08-26,5.5341
2020-08-27,3.6036
2020-08-28,2.4453
2020-08-29,1.48005
2020-08-30,2.3166
2020-08-31,1.9305
2020-09-01,2.50965
2020-09-02,2.63835
2020-09-03,3.7323
2020-09-04,4.56885
2020-09-05,3.3462
2020-09-06,3.92535
2020-09-07,1.4157
2020-09-08,3.66795
2020-09-09,2.12355
2020-09-10,1.6731
2020-09-11,3.41055
2020-09-12,12.41956
2020-09-13,6.75675
2020-09-14,6.0489
2020-09-15,2.63835
2020-09-16,3.2175
2020-09-17,3.28185
2020-09-18,2.9601
2020-09-19,3.02445
2020-09-20,2.8314
2020-09-21,5.34105
2020-09-22,3.9897
2020-09-23,7.2072
2020-09-24,4.69755
2020-09-25,2.50965
2020-09-26,1.35135
2020-09-27,2.89575
2020-09-28,4.56885
2020-09-29,3.2175
2020-09-30,1.1583
2020-10-01,1.4157
2020-10-02,0.7722
2020-10-03,1.287
2020-10-04,0.96525
2020-10-05,2.9601
2020-10-06,2.1879
2020-10-07,3.41055
2020-10-08,3.6036
2020-10-09,2.38095
2020-10-10,1.48005
2020-10-11,1.48005
2020-10-12,0.7722
2020-10-13,0.83655
2020-10-14,1.287
2020-10-15,0.57915
2020-10-16,1.35135
2020-10-18,1.5444
2020-10-19,1.48005
2020-10-20,1.9305
2020-10-21,1.6731
2020-10-22,2.0592
2020-10-23,2.25225
2020-10-24,1.73745
2020-10-25,5.72715
2020-10-26,3.4749
2020-10-27,2.8314
2020-10-28,2.4453
2020-10-29,1.09395
2020-10-30,2.3166
2020-10-31,0.9009
2020-11-01,1.09395
2020-11-02,0.7722
2020-11-03,1.86615
2020-11-04,1.09395
2020-11-05,0.83655
2020-11-06,2.3166
2020-11-07,3.92535
2020-11-08,2.0592
2020-11-09,3.3462
2020-11-10,1.4157
2020-11-11,0.6435
2020-11-12,1.287
2020-11-13,0.5148
2020-11-15,0.6435
2020-11-16,0.32175
2020-11-17,0.45045
2020-11-18,1.6731
2020-11-19,3.41055
2020-11-20,3.15315
2020-11-21,1.8018
2020-11-22,3.2175
2020-11-23,3.79665
2020-11-24,3.9897
2020-11-25,4.3758
2020-11-26,3.66795
2020-11-27,9.2664
2020-11-28,7.8507
2020-11-29,5.7915
2020-11-30,4.44015
2020-12-01,5.0193
2020-12-02,5.0193
2020-12-03,4.8906
2020-12-04,2.76705
2020-12-05,1.6731
2020-12-06,2.25225
2020-12-07,2.63835
2020-12-08,2.4453
2020-12-09,16.02316
2020-12-10,11.77606
2020-12-11,5.85585
2020-12-12,3.41055
2020-12-13,1.5444
2020-12-14,1.6731
2020-12-15,2.1879
2020-12-16,37.58043
2020-12-17,19.49806
2020-12-18,14.02831
2020-12-19,9.84555
2020-12-20,6.9498
2020-12-21,7.65765
2020-12-22,5.0193
2020-12-23,4.6332
2020-12-24,3.2175
2020-12-25,4.6332
2020-12-26,4.44015
2020-12-27,5.08365
2020-12-28,7.27155
2020-12-29,4.6332
2020-12-30,6.3063
2020-12-31,4.56885
2021-01-01,5.9202
2021-01-02,6.435
2021-01-03,5.148
2021-01-04,12.67696
2021-01-05,8.04375
2021-01-06,7.3359
2021-01-07,6.435
2021-01-08,63.12741
2021-01-09,56.49935
2021-01-10,30.43758
2021-01-11,16.53796
2021-01-12,5.7915
2021-01-13,8.8803
2021-01-14,4.82625
2021-01-15,20.84942
2021-01-16,19.75546
2021-01-17,18.14671
2021-01-18,8.7516
2021-01-19,9.45945
2021-01-20,8.2368
2021-01-21,8.4942
2021-01-22,38.48133
2021-01-23,13.25611
2021-01-24,9.33075
2021-01-25,9.97425
2021-01-26,9.2664
2021-01-27,9.3951
2021-01-28,5.72715
2021-01-29,4.6332
2021-01-30,3.7323
2021-01-31,6.75675
2021-02-01,17.37451
2021-02-02,13.64221
2021-02-03,38.73873
2021-02-04,15.25096
2021-02-05,8.94465
2021-02-06,6.3063
2021-02-07,7.40025
2021-02-08,7.5933
2021-02-09,7.91505
2021-02-10,11.00386
2021-02-11,28.76447
2021-02-12,12.22651
2021-02-13,11.26126
2021-02-14,7.722
2021-02-15,9.45945
2021-02-16,10.93951
2021-02-17,10.68211
2021-02-18,11.38996
2021-02-19,7.9794
2021-02-20,7.3359
2021-02-21,7.52895
2021-02-22,18.66151
2021-02-23,23.42342
2021-02-24,8.2368
2021-02-25,13.12741
2021-02-26,5.46975
2021-02-27,2.9601
2021-02-28,4.18275
2021-03-01,7.5933
2021-03-02,8.8803
2021-03-03,7.2072
2021-03-04,7.52895
2021-03-05,2.8314
2021-03-06,3.15315
2021-03-07,4.44015
2021-03-08,5.148
2021-03-09,4.44015
2021-03-10,4.82625
2021-03-11,3.9897
2021-03-12,4.56885
2021-03-13,3.02445
2021-03-14,6.88545
2021-03-15,17.82496
2021-03-16,7.8507
2021-03-17,5.72715
2021-03-18,21.04247
2021-03-19,7.52895
2021-03-20,11.96911
2021-03-21,7.722
2021-03-22,17.82496
2021-03-23,11.13256
2021-03-24,8.55855
2021-03-25,9.97425
2021-03-26,5.5341
2021-03-27,4.82625
2021-03-28,6.24195
2021-03-29,15.37966
2021-03-30,6.75675
2021-03-31,6.88545
2021-04-01,6.3063
2021-04-02,7.40025
2021-04-03,5.08365
2021-04-04,3.41055
2021-04-05,4.95495
2021-04-06,3.2175
2021-04-07,9.009
2021-04-08,9.3951
2021-04-09,11.64736
2021-04-10,22.07207
2021-04-11,12.09781
2021-04-12,18.01801
2021-04-13,13.96396
2021-04-14,8.94465
2021-04-15,9.07335
2021-04-16,5.98455
2021-04-17,4.1184
2021-04-18,12.80566
2021-04-19,12.35521
2021-04-20,6.3063
2021-04-21,6.0489
2021-04-22,14.99356
2021-04-23,10.61776
2021-04-24,3.2175
2021-04-25,5.34105
2021-04-26,7.4646
2021-04-27,6.49935
2021-04-28,7.8507
2021-04-29,7.52895
2021-04-30,4.6332
2021-05-01,2.3166
2021-05-02,3.79665
2021-05-03,4.2471
2021-05-04,4.44015
2021-05-05,2.38095
2021-05-06,2.38095
2021-05-07,3.9897
2021-05-08,6.49935
2021-05-09,10.55341
2021-05-10,9.9099
2021-05-11,8.3655
2021-05-12,4.31145
2021-05-13,3.92535
2021-05-14,4.5045
2021-05-15,2.0592
2021-05-16,2.8314
2021-05-17,3.4749
2021-05-18,6.0489
2021-05-19,5.85585
2021-05-20,8.55855
2021-05-21,6.435
2021-05-22,1.99485
2021-05-23,8.6229
2021-05-24,3.41055
2021-05-25,5.9202
2021-05-26,14.73616
2021-05-27,9.6525
2021-05-28,6.37065
2021-05-29,5.5341
2021-05-30,2.63835
2021-05-31,5.72715
2021-06-01,5.46975
2021-06-02,2.7027
2021-06-03,89.31788
2021-06-04,18.14671
2021-06-05,3.92535
2021-06-06,5.72715
2021-06-07,5.46975
2021-06-08,3.9897
2021-06-09,3.9897
2021-06-10,3.7323
