date,코끼리그림
2020-03-20,16.87388
2020-03-21,19.89342
2020-03-22,17.0515
2020-03-23,18.29484
2020-03-24,19.7158
2020-03-25,23.44582
2020-03-26,20.95914
2020-03-27,14.20959
2020-03-28,16.16341
2020-03-29,14.74245
2020-03-30,12.78863
2020-03-31,15.27531
2020-04-01,19.89342
2020-04-02,15.98579
2020-04-03,16.16341
2020-04-04,20.24866
2020-04-05,15.63055
2020-04-06,14.92007
2020-04-07,17.58436
2020-04-08,14.92007
2020-04-09,17.9396
2020-04-10,18.11722
2020-04-11,13.14387
2020-04-12,19.53818
2020-04-13,14.38721
2020-04-14,16.16341
2020-04-15,17.0515
2020-04-16,20.95914
2020-04-17,22.55772
2020-04-18,16.34103
2020-04-19,23.09058
2020-04-20,25.39964
2020-04-21,26.64298
2020-04-22,25.39964
2020-04-23,23.62344
2020-04-24,17.0515
2020-04-25,19.36056
2020-04-26,14.20959
2020-04-27,22.91296
2020-04-28,20.07104
2020-04-29,20.07104
2020-04-30,15.27531
2020-05-01,17.9396
2020-05-02,13.85435
2020-05-03,14.20959
2020-05-04,16.51865
2020-05-05,20.6039
2020-05-06,17.40674
2020-05-07,17.76198
2020-05-08,16.51865
2020-05-09,19.00532
2020-05-10,15.80817
2020-05-11,19.36056
2020-05-12,18.8277
2020-05-13,15.80817
2020-05-14,16.69626
2020-05-15,19.7158
2020-05-16,13.85435
2020-05-17,19.18294
2020-05-18,17.40674
2020-05-19,18.8277
2020-05-20,19.18294
2020-05-21,17.22912
2020-05-22,17.76198
2020-05-23,17.40674
2020-05-24,20.07104
2020-05-25,16.34103
2020-05-26,19.18294
2020-05-27,17.0515
2020-05-28,15.80817
2020-05-29,14.74245
2020-05-30,16.16341
2020-05-31,17.40674
2020-06-01,15.27531
2020-06-02,23.62344
2020-06-03,21.84724
2020-06-04,18.11722
2020-06-05,17.40674
2020-06-06,14.74245
2020-06-07,15.45293
2020-06-08,15.09769
2020-06-09,15.27531
2020-06-10,17.0515
2020-06-11,17.76198
2020-06-12,19.36056
2020-06-13,14.92007
2020-06-14,17.0515
2020-06-15,14.74245
2020-06-16,14.20959
2020-06-17,15.09769
2020-06-18,17.9396
2020-06-19,20.07104
2020-06-20,12.96625
2020-06-21,17.40674
2020-06-22,15.98579
2020-06-23,19.36056
2020-06-24,20.78152
2020-06-25,12.43339
2020-06-26,17.0515
2020-06-27,13.49911
2020-06-28,20.42628
2020-06-29,18.65008
2020-06-30,15.09769
2020-07-01,22.02486
2020-07-02,17.9396
2020-07-03,15.27531
2020-07-04,14.74245
2020-07-05,17.76198
2020-07-06,16.87388
2020-07-07,17.0515
2020-07-08,18.65008
2020-07-09,17.40674
2020-07-10,13.85435
2020-07-11,17.9396
2020-07-12,12.96625
2020-07-13,17.58436
2020-07-14,17.0515
2020-07-15,14.74245
2020-07-16,20.24866
2020-07-17,19.89342
2020-07-18,15.63055
2020-07-19,19.53818
2020-07-20,18.65008
2020-07-21,18.47246
2020-07-22,18.29484
2020-07-23,17.76198
2020-07-24,18.11722
2020-07-25,13.14387
2020-07-26,17.40674
2020-07-27,17.9396
2020-07-28,16.16341
2020-07-29,21.492
2020-07-30,17.0515
2020-07-31,10.65719
2020-08-01,15.45293
2020-08-02,18.11722
2020-08-03,15.45293
2020-08-04,15.45293
2020-08-05,18.29484
2020-08-06,12.78863
2020-08-07,12.78863
2020-08-08,13.49911
2020-08-09,14.92007
2020-08-10,16.69626
2020-08-11,14.03197
2020-08-12,14.74245
2020-08-13,11.36767
