date,광고마케터
2020-03-20,10.52631
2020-03-21,6.14035
2020-03-22,10.52631
2020-03-23,21.05263
2020-03-24,4.38596
2020-03-25,14.03508
2020-03-26,11.4035
2020-03-27,15.78947
2020-03-28,9.64912
2020-03-29,18.42105
2020-03-30,10.52631
2020-03-31,7.01754
2020-04-01,8.77192
2020-04-02,15.78947
2020-04-03,6.14035
2020-04-04,12.2807
2020-04-05,10.52631
2020-04-06,13.15789
2020-04-07,13.15789
2020-04-08,7.01754
2020-04-09,15.78947
2020-04-10,20.17543
2020-04-11,7.89473
2020-04-12,16.66666
2020-04-13,34.21052
2020-04-14,38.59649
2020-04-15,27.19298
2020-04-16,29.82456
2020-04-17,32.45614
2020-04-18,9.64912
2020-04-19,27.19298
2020-04-20,44.73684
2020-04-21,51.75438
2020-04-22,44.73684
2020-04-23,41.22807
2020-04-24,42.98245
2020-04-25,14.91228
2020-04-26,28.94736
2020-04-27,23.68421
2020-04-28,31.57894
2020-04-29,51.75438
2020-04-30,18.42105
2020-05-01,22.80701
2020-05-02,7.01754
2020-05-03,20.17543
2020-05-04,42.98245
2020-05-05,23.68421
2020-05-06,41.22807
2020-05-07,34.21052
2020-05-08,27.19298
2020-05-09,9.64912
2020-05-10,11.4035
2020-05-11,19.29824
2020-05-12,28.94736
2020-05-13,28.07017
2020-05-14,35.96491
2020-05-15,32.45614
2020-05-16,19.29824
2020-05-17,15.78947
2020-05-18,28.94736
2020-05-19,46.49122
2020-05-20,35.08771
2020-05-21,28.07017
2020-05-22,35.08771
2020-05-23,20.17543
2020-05-24,46.49122
2020-05-25,58.77192
2020-05-26,64.03508
2020-05-27,54.38596
2020-05-28,47.36842
2020-05-29,37.71929
2020-05-30,28.94736
2020-05-31,29.82456
2020-06-01,31.57894
2020-06-02,37.71929
2020-06-03,36.8421
2020-06-04,34.21052
2020-06-05,28.94736
2020-06-06,12.2807
2020-06-07,21.92982
2020-06-08,31.57894
2020-06-09,50.0
2020-06-10,32.45614
2020-06-11,27.19298
2020-06-12,22.80701
2020-06-13,14.03508
2020-06-14,18.42105
2020-06-15,34.21052
2020-06-16,21.05263
2020-06-17,22.80701
2020-06-18,22.80701
2020-06-19,37.71929
2020-06-20,22.80701
2020-06-21,30.70175
2020-06-22,29.82456
2020-06-23,29.82456
2020-06-24,42.98245
2020-06-25,59.64912
2020-06-26,55.26315
2020-06-27,21.92982
2020-06-28,47.36842
2020-06-29,71.92982
2020-06-30,48.24561
2020-07-01,57.89473
2020-07-02,43.85964
2020-07-03,42.10526
2020-07-04,19.29824
2020-07-05,39.47368
2020-07-06,55.26315
2020-07-07,62.2807
2020-07-08,71.92982
2020-07-09,58.77192
2020-07-10,34.21052
2020-07-11,20.17543
2020-07-12,38.59649
2020-07-13,35.96491
2020-07-14,49.1228
2020-07-15,35.96491
2020-07-16,46.49122
2020-07-17,42.98245
2020-07-18,21.05263
2020-07-19,50.87719
2020-07-20,50.87719
2020-07-21,34.21052
2020-07-22,42.10526
2020-07-23,38.59649
2020-07-24,47.36842
2020-07-25,8.77192
2020-07-26,20.17543
2020-07-27,43.85964
2020-07-28,49.1228
2020-07-29,43.85964
2020-07-30,48.24561
2020-07-31,32.45614
2020-08-01,20.17543
2020-08-02,29.82456
2020-08-03,52.63157
2020-08-04,64.03508
2020-08-05,59.64912
2020-08-06,70.17543
2020-08-07,49.1228
2020-08-08,24.5614
2020-08-09,64.03508
2020-08-10,84.21052
2020-08-11,92.10526
2020-08-12,100.0
2020-08-13,58.77192
2020-08-14,50.0
2020-08-15,21.92982
2020-08-16,27.19298
2020-08-17,35.08771
2020-08-18,39.47368
2020-08-19,36.8421
2020-08-20,52.63157
2020-08-21,32.45614
2020-08-22,21.05263
2020-08-23,17.54385
2020-08-24,57.01754
2020-08-25,35.08771
2020-08-26,54.38596
2020-08-27,54.38596
2020-08-28,53.50877
2020-08-29,28.07017
2020-08-30,57.89473
2020-08-31,64.03508
