date,사이트
2020-03-20,81.31578
2020-03-21,60.78947
2020-03-22,60.0
2020-03-23,87.36842
2020-03-24,88.68421
2020-03-25,90.78947
2020-03-26,96.31578
2020-03-27,86.57894
2020-03-28,58.15789
2020-03-29,60.26315
2020-03-30,100.0
2020-03-31,86.8421
2020-04-01,78.94736
2020-04-02,86.31578
2020-04-03,67.63157
2020-04-04,53.15789
2020-04-05,49.21052
2020-04-06,80.0
2020-04-07,79.47368
2020-04-08,83.15789
2020-04-09,96.8421
2020-04-10,69.73684
2020-04-11,49.47368
2020-04-12,46.57894
2020-04-13,66.8421
2020-04-14,75.26315
2020-04-15,58.94736
2020-04-16,77.36842
2020-04-17,72.89473
2020-04-18,49.73684
2020-04-19,55.0
2020-04-20,89.21052
2020-04-21,82.36842
2020-04-22,75.26315
2020-04-23,80.0
2020-04-24,67.10526
2020-04-25,43.94736
2020-04-26,63.68421
2020-04-27,76.31578
2020-04-28,71.57894
2020-04-29,66.31578
2020-04-30,44.73684
2020-05-01,50.0
2020-05-02,41.05263
2020-05-03,46.05263
2020-05-04,61.57894
2020-05-05,52.36842
2020-05-06,76.31578
2020-05-07,70.52631
2020-05-08,55.26315
2020-05-09,43.68421
2020-05-10,45.52631
2020-05-11,70.0
2020-05-12,78.94736
2020-05-13,61.8421
2020-05-14,69.21052
2020-05-15,70.0
2020-05-16,46.31578
2020-05-17,43.15789
2020-05-18,76.57894
2020-05-19,73.42105
2020-05-20,74.73684
2020-05-21,73.42105
2020-05-22,63.94736
2020-05-23,41.31578
2020-05-24,52.10526
2020-05-25,58.94736
2020-05-26,63.94736
2020-05-27,63.94736
2020-05-28,68.94736
2020-05-29,57.89473
2020-05-30,38.42105
2020-05-31,43.68421
2020-06-01,74.47368
2020-06-02,69.73684
2020-06-03,61.05263
2020-06-04,65.52631
2020-06-05,59.47368
2020-06-06,44.73684
2020-06-07,39.21052
2020-06-08,66.8421
2020-06-09,64.73684
2020-06-10,64.21052
2020-06-11,70.52631
2020-06-12,66.8421
2020-06-13,42.63157
2020-06-14,53.15789
2020-06-15,63.68421
2020-06-16,72.10526
2020-06-17,62.10526
2020-06-18,60.78947
2020-06-19,55.26315
2020-06-20,49.21052
2020-06-21,41.05263
2020-06-22,65.26315
2020-06-23,73.94736
2020-06-24,64.47368
2020-06-25,60.26315
2020-06-26,58.68421
2020-06-27,42.10526
2020-06-28,48.42105
2020-06-29,58.15789
2020-06-30,66.05263
2020-07-01,63.42105
2020-07-02,55.52631
2020-07-03,57.89473
2020-07-04,42.63157
2020-07-05,46.57894
2020-07-06,68.68421
2020-07-07,70.78947
2020-07-08,68.42105
2020-07-09,62.10526
2020-07-10,51.05263
2020-07-11,44.47368
2020-07-12,42.89473
2020-07-13,65.52631
2020-07-14,61.57894
2020-07-15,62.36842
2020-07-16,65.52631
2020-07-17,58.68421
2020-07-18,46.31578
2020-07-19,45.78947
2020-07-20,56.57894
2020-07-21,49.21052
2020-07-22,70.78947
2020-07-23,60.26315
2020-07-24,65.26315
2020-07-25,37.63157
2020-07-26,47.36842
2020-07-27,60.0
2020-07-28,58.68421
2020-07-29,56.31578
2020-07-30,57.10526
2020-07-31,48.42105
2020-08-01,45.26315
2020-08-02,34.21052
2020-08-03,54.47368
2020-08-04,48.94736
2020-08-05,51.57894
2020-08-06,51.8421
2020-08-07,53.94736
2020-08-08,40.52631
2020-08-09,42.89473
2020-08-10,54.73684
2020-08-11,61.05263
2020-08-12,52.36842
2020-08-13,56.31578
2020-08-14,51.31578
2020-08-15,39.47368
2020-08-16,42.36842
2020-08-17,46.8421
2020-08-18,68.94736
2020-08-19,61.8421
2020-08-20,50.26315
2020-08-21,57.36842
2020-08-22,45.26315
2020-08-23,44.21052
2020-08-24,55.26315
2020-08-25,67.36842
2020-08-26,71.05263
2020-08-27,58.15789
2020-08-28,57.63157
2020-08-29,41.05263
2020-08-30,50.26315
2020-08-31,58.15789
2020-09-01,61.05263
2020-09-02,67.10526
2020-09-03,69.47368
2020-09-04,66.8421
2020-09-05,44.47368
2020-09-06,49.21052
