date,OCI주가
2020-03-20,19.88628
2020-03-21,2.89917
2020-03-22,1.99644
2020-03-23,17.32997
2020-03-24,18.4584
2020-03-25,20.38974
2020-03-26,20.09027
2020-03-27,19.07035
2020-03-28,2.41742
2020-03-29,1.98342
2020-03-30,16.48799
2020-03-31,16.11909
2020-04-01,17.20411
2020-04-02,16.27533
2020-04-03,14.76932
2020-04-04,1.97908
2020-04-05,1.57111
2020-04-06,16.18853
2020-04-07,16.69632
2020-04-08,15.66338
2020-04-09,16.28835
2020-04-10,16.17117
2020-04-11,2.1874
2020-04-12,1.50167
2020-04-13,13.43257
2020-04-14,14.50457
2020-04-15,2.26118
2020-04-16,12.92912
2020-04-17,16.5531
2020-04-18,2.1006
2020-04-19,1.77943
2020-04-20,15.8717
2020-04-21,14.94726
2020-04-22,13.20689
2020-04-23,13.03762
2020-04-24,11.66182
2020-04-25,1.33674
2020-04-26,1.1805
2020-04-27,14.96896
2020-04-28,13.71468
2020-04-29,13.87092
2020-04-30,1.85755
2020-05-01,2.1874
2020-05-02,0.93311
2020-05-03,1.02426
2020-05-04,11.02816
2020-05-05,1.66225
2020-05-06,11.00212
2020-05-07,11.1193
2020-05-08,13.37615
2020-05-09,2.33496
2020-05-10,1.3324
2020-05-11,12.92478
2020-05-12,11.75296
2020-05-13,12.22603
2020-05-14,10.97608
2020-05-15,11.15836
2020-05-16,1.21522
2020-05-17,1.06332
2020-05-18,11.36669
2020-05-19,12.48209
2020-05-20,13.35879
2020-05-21,27.16027
2020-05-22,18.29781
2020-05-23,2.06588
2020-05-24,1.56243
2020-05-25,15.8283
2020-05-26,21.70912
2020-05-27,23.10663
2020-05-28,19.05733
2020-05-29,16.16249
2020-05-30,2.48687
2020-05-31,1.90529
2020-06-01,17.77266
2020-06-02,17.06523
2020-06-03,21.29681
2020-06-04,19.95573
2020-06-05,18.00269
2020-06-06,2.34364
2020-06-07,1.96172
2020-06-08,21.7829
2020-06-09,19.92535
2020-06-10,16.03663
2020-06-11,15.44203
2020-06-12,14.57402
2020-06-13,1.66659
2020-06-14,1.34976
2020-06-15,15.33353
2020-06-16,16.14947
2020-06-17,14.27455
2020-06-18,13.23293
2020-06-19,14.54363
2020-06-20,1.40618
2020-06-21,1.18484
2020-06-22,13.23727
2020-06-23,12.72514
2020-06-24,13.34143
2020-06-25,11.28423
2020-06-26,11.60539
2020-06-27,1.54941
2020-06-28,1.23258
2020-06-29,10.98476
2020-06-30,12.99422
2020-07-01,11.77466
2020-07-02,18.17629
2020-07-03,17.22581
2020-07-04,2.1006
2020-07-05,1.66225
2020-07-06,17.63812
2020-07-07,18.04609
2020-07-08,17.54264
2020-07-09,31.84757
2020-07-10,21.49212
2020-07-11,2.44781
2020-07-12,2.05286
2020-07-13,22.59016
2020-07-14,20.76298
2020-07-15,20.7543
2020-07-16,17.42545
2020-07-17,16.56612
2020-07-18,2.1657
2020-07-19,1.64923
2020-07-20,18.30649
2020-07-21,58.68668
2020-07-22,65.50496
2020-07-23,40.98346
2020-07-24,30.88407
2020-07-25,3.83229
2020-07-26,3.69775
2020-07-27,27.95885
2020-07-28,26.15771
2020-07-29,31.83021
2020-07-30,31.44394
2020-07-31,24.48244
2020-08-01,2.57367
2020-08-02,2.08324
2020-08-03,21.18831
2020-08-04,25.88429
2020-08-05,43.30975
2020-08-06,32.52028
2020-08-07,27.96753
2020-08-08,3.18996
2020-08-09,2.67349
2020-08-10,33.48378
2020-08-11,28.67931
2020-08-12,28.37984
2020-08-13,27.2818
2020-08-14,22.3558
2020-08-15,2.43913
2020-08-16,1.88793
2020-08-17,3.72813
2020-08-18,20.27255
2020-08-19,24.00503
2020-08-20,26.79571
2020-08-21,25.07269
2020-08-22,2.56933
2020-08-23,2.19608
2020-08-24,37.3508
2020-08-25,33.58795
2020-08-26,26.76533
2020-08-27,26.86515
2020-08-28,23.72726
2020-08-29,2.32628
2020-08-30,1.84019
2020-08-31,26.14903
2020-09-01,22.82453
2020-09-02,22.7464
2020-09-03,27.71147
2020-09-04,33.49246
2020-09-05,3.67605
2020-09-06,2.81237
2020-09-07,32.88919
2020-09-08,34.89865
2020-09-09,32.09062
2020-09-10,28.25832
2020-09-11,26.59172
2020-09-12,3.22034
2020-09-13,2.54329
2020-09-14,27.01705
2020-09-15,23.49724
2020-09-16,21.59194
2020-09-17,24.67774
2020-09-18,21.5008
2020-09-19,2.28288
2020-09-20,1.82717
