date,파이코인시세
2020-03-20,0.83983
2020-03-21,0.62987
2020-03-22,0.83983
2020-03-23,1.22975
2020-03-24,0.9898
2020-03-25,0.59988
2020-03-26,0.83983
2020-03-27,2.4895
2020-03-28,2.75944
2020-03-29,3.26934
2020-03-30,2.90941
2020-03-31,4.04919
2020-04-01,3.89922
2020-04-02,3.38932
2020-04-03,4.01919
2020-04-04,4.55908
2020-04-05,5.09898
2020-04-06,6.26874
2020-04-07,5.72885
2020-04-08,6.02879
2020-04-09,5.4589
2020-04-10,4.25914
2020-04-11,3.9892
2020-04-12,4.91901
2020-04-13,3.89922
2020-04-14,3.50929
2020-04-15,3.14937
2020-04-16,4.22915
2020-04-17,5.33893
2020-04-18,4.4691
2020-04-19,3.80923
2020-04-20,3.32933
2020-04-21,3.86922
2020-04-22,3.02939
2020-04-23,3.17936
2020-04-24,3.35932
2020-04-25,2.9994
2020-04-26,3.32933
2020-04-27,3.9592
2020-04-28,3.56928
2020-04-29,2.78944
2020-04-30,3.50929
2020-05-01,2.81943
2020-05-02,2.90941
2020-05-03,3.9592
2020-05-04,3.50929
2020-05-05,4.10917
2020-05-06,3.83923
2020-05-07,4.19916
2020-05-08,3.9592
2020-05-09,3.92921
2020-05-10,4.76904
2020-05-11,6.32873
2020-05-12,5.4589
2020-05-13,5.66886
2020-05-14,6.14877
2020-05-15,4.16916
2020-05-16,3.71925
2020-05-17,3.77924
2020-05-18,4.4691
2020-05-19,4.31913
2020-05-20,3.53929
2020-05-21,3.20935
2020-05-22,3.9592
2020-05-23,3.44931
2020-05-24,3.05938
2020-05-25,3.44931
2020-05-26,4.01919
2020-05-27,2.78944
2020-05-28,3.05938
2020-05-29,3.44931
2020-05-30,3.41931
2020-05-31,4.10917
2020-06-01,2.78944
2020-06-02,3.50929
2020-06-03,2.63947
2020-06-04,3.44931
2020-06-05,2.9694
2020-06-06,2.78944
2020-06-07,3.08938
2020-06-08,3.59928
2020-06-09,2.90941
2020-06-10,3.11937
2020-06-11,3.32933
2020-06-12,3.71925
2020-06-13,2.60947
2020-06-14,3.02939
2020-06-15,3.9592
2020-06-16,3.59928
2020-06-17,3.86922
2020-06-18,4.19916
2020-06-19,4.40911
2020-06-20,4.34913
2020-06-21,4.55908
2020-06-22,4.22915
2020-06-23,4.16916
2020-06-24,3.9892
2020-06-25,3.26934
2020-06-26,2.9694
2020-06-27,3.71925
2020-06-28,4.37912
2020-06-29,4.07918
2020-06-30,3.83923
2020-07-01,4.13917
2020-07-02,4.88902
2020-07-03,4.01919
2020-07-04,3.50929
2020-07-05,3.83923
2020-07-06,3.89922
2020-07-07,3.68926
2020-07-08,3.35932
2020-07-09,4.01919
2020-07-10,3.17936
2020-07-11,3.29934
2020-07-12,4.25914
2020-07-13,4.04919
2020-07-14,3.9892
2020-07-15,4.22915
2020-07-16,3.65926
2020-07-17,4.58908
2020-07-18,3.53929
2020-07-19,3.77924
2020-07-20,5.18896
2020-07-21,4.07918
2020-07-22,4.73905
2020-07-23,3.62927
2020-07-24,3.56928
2020-07-25,3.38932
2020-07-26,3.59928
2020-07-27,4.70905
2020-07-28,5.4589
2020-07-29,4.37912
2020-07-30,3.86922
2020-07-31,3.02939
2020-08-01,2.78944
2020-08-02,2.81943
2020-08-03,3.32933
2020-08-04,2.81943
2020-08-05,2.90941
2020-08-06,3.35932
2020-08-07,2.66946
2020-08-08,3.59928
2020-08-09,5.27894
2020-08-10,4.94901
2020-08-11,4.58908
2020-08-12,4.4691
2020-08-13,3.9892
2020-08-14,3.9592
2020-08-15,3.4793
2020-08-16,4.13917
2020-08-17,4.70905
2020-08-18,4.01919
2020-08-19,5.18896
2020-08-20,4.70905
2020-08-21,3.59928
2020-08-22,2.9694
2020-08-23,2.69946
2020-08-24,3.29934
2020-08-25,2.84943
2020-08-26,2.9994
2020-08-27,3.77924
2020-08-28,4.31913
2020-08-29,5.09898
2020-08-30,4.94901
2020-08-31,5.00899
2020-09-01,4.58908
2020-09-02,3.9592
2020-09-03,3.02939
2020-09-04,3.17936
2020-09-05,3.80923
2020-09-06,4.01919
2020-09-07,4.37912
2020-09-08,3.86922
2020-09-09,3.9592
2020-09-10,3.65926
2020-09-11,4.55908
2020-09-12,3.05938
2020-09-13,3.26934
2020-09-14,3.89922
2020-09-15,3.9592
2020-09-16,3.17936
2020-09-17,4.28914
2020-09-18,3.80923
2020-09-19,3.20935
2020-09-20,4.58908
2020-09-21,4.73905
2020-09-22,4.22915
2020-09-23,3.32933
2020-09-24,3.9892
2020-09-25,2.57948
2020-09-26,1.76964
2020-09-27,2.60947
2020-09-28,3.17936
2020-09-29,2.60947
2020-09-30,2.69946
2020-10-01,3.53929
2020-10-02,3.59928
2020-10-03,4.4991
2020-10-04,4.25914
2020-10-05,3.41931
2020-10-06,4.82903
2020-10-07,4.31913
2020-10-08,3.26934
2020-10-09,3.59928
2020-10-10,4.28914
2020-10-11,4.43911
2020-10-12,4.37912
2020-10-13,3.38932
2020-10-14,3.17936
2020-10-15,3.26934
2020-10-16,3.11937
2020-10-17,2.66946
2020-10-18,2.4595
2020-10-19,4.01919
2020-10-20,8.51829
2020-10-21,5.90881
2020-10-22,3.86922
2020-10-23,3.05938
2020-10-24,3.65926
2020-10-25,2.87942
2020-10-26,2.9694
2020-10-27,4.10917
2020-10-28,4.31913
2020-10-29,4.31913
2020-10-30,3.53929
2020-10-31,3.86922
2020-11-01,3.71925
2020-11-02,4.40911
2020-11-03,3.50929
2020-11-04,4.22915
2020-11-05,3.50929
2020-11-06,4.19916
2020-11-07,3.68926
2020-11-08,4.19916
2020-11-09,5.30893
2020-11-10,4.76904
2020-11-11,5.12897
2020-11-12,5.60887
2020-11-13,3.86922
2020-11-14,3.65926
2020-11-15,2.66946
2020-11-16,3.4793
2020-11-17,9.14817
2020-11-18,9.83803
2020-11-19,6.41871
2020-11-20,5.87882
2020-11-21,6.62867
2020-11-22,7.70845
2020-11-23,8.69826
2020-11-24,9.11817
2020-11-25,6.56868
2020-11-26,6.83863
2020-11-27,6.56868
2020-11-28,5.90881
2020-11-29,6.29874
2020-11-30,6.29874
2020-12-01,6.35872
2020-12-02,5.75884
2020-12-03,6.59868
2020-12-04,6.4787
2020-12-05,5.21895
2020-12-06,6.65866
2020-12-07,5.84883
2020-12-08,7.16856
2020-12-09,6.44871
2020-12-10,5.12897
2020-12-11,4.979
2020-12-12,4.85902
2020-12-13,5.78884
2020-12-14,4.58908
2020-12-15,4.31913
