date,입출금통장
2020-03-20,14.7651
2020-03-21,10.73825
2020-03-22,14.7651
2020-03-23,25.50335
2020-03-24,26.51006
2020-03-25,22.14765
2020-03-26,23.15436
2020-03-27,21.47651
2020-03-28,10.73825
2020-03-29,16.77852
2020-03-30,23.15436
2020-03-31,25.50335
2020-04-01,29.86577
2020-04-02,23.15436
2020-04-03,23.15436
2020-04-04,17.44966
2020-04-05,14.09395
2020-04-06,32.8859
2020-04-07,24.49664
2020-04-08,24.49664
2020-04-09,24.83221
2020-04-10,20.80536
2020-04-11,11.74496
2020-04-12,14.42953
2020-04-13,28.52348
2020-04-14,24.49664
2020-04-15,12.08053
2020-04-16,17.78523
2020-04-17,15.43624
2020-04-18,6.7114
2020-04-19,15.43624
2020-04-20,24.16107
2020-04-21,25.16778
2020-04-22,17.78523
2020-04-23,21.81208
2020-04-24,15.43624
2020-04-25,8.72483
2020-04-26,10.06711
2020-04-27,23.15436
2020-04-28,21.47651
2020-04-29,18.79194
2020-04-30,12.75167
2020-05-01,12.75167
2020-05-02,12.08053
2020-05-03,14.42953
2020-05-04,32.21476
2020-05-05,13.75838
2020-05-06,23.8255
2020-05-07,18.1208
2020-05-08,14.09395
2020-05-09,11.07382
2020-05-10,12.08053
2020-05-11,24.16107
2020-05-12,16.10738
2020-05-13,18.45637
2020-05-14,23.15436
2020-05-15,19.79865
2020-05-16,11.40939
2020-05-17,9.39597
2020-05-18,21.14093
2020-05-19,22.81879
2020-05-20,20.46979
2020-05-21,14.09395
2020-05-22,16.77852
2020-05-23,12.75167
2020-05-24,9.39597
2020-05-25,27.51677
2020-05-26,17.44966
2020-05-27,14.7651
2020-05-28,12.08053
2020-05-29,16.77852
2020-05-30,11.07382
2020-05-31,10.40268
2020-06-01,21.81208
2020-06-02,12.4161
2020-06-03,14.09395
2020-06-04,10.40268
2020-06-05,9.39597
2020-06-06,7.71812
2020-06-07,9.39597
2020-06-08,14.7651
2020-06-09,18.45637
2020-06-10,14.09395
2020-06-11,18.1208
2020-06-12,16.44295
2020-06-13,7.04697
2020-06-14,10.40268
2020-06-15,17.11409
2020-06-16,17.11409
2020-06-17,15.10067
2020-06-18,17.44966
2020-06-19,19.46308
2020-06-20,9.73154
2020-06-21,11.40939
2020-06-22,24.49664
2020-06-23,16.77852
2020-06-24,13.42281
2020-06-25,14.7651
2020-06-26,17.11409
2020-06-27,8.38926
2020-06-28,7.04697
2020-06-29,16.44295
2020-06-30,21.14093
2020-07-01,17.78523
2020-07-02,19.79865
2020-07-03,18.1208
2020-07-04,8.38926
2020-07-05,10.73825
2020-07-06,21.81208
2020-07-07,18.1208
2020-07-08,24.49664
2020-07-09,19.12751
2020-07-10,11.07382
2020-07-11,9.73154
2020-07-12,10.40268
2020-07-13,14.7651
2020-07-14,22.81879
2020-07-15,16.44295
2020-07-16,22.81879
2020-07-17,19.79865
2020-07-18,8.05369
2020-07-19,10.06711
2020-07-20,16.10738
2020-07-21,15.77181
2020-07-22,17.44966
2020-07-23,16.77852
2020-07-24,13.42281
2020-07-25,11.07382
2020-07-26,11.74496
2020-07-27,24.49664
2020-07-28,17.11409
2020-07-29,19.12751
2020-07-30,13.42281
2020-07-31,14.42953
2020-08-01,16.10738
2020-08-02,6.7114
2020-08-03,11.40939
2020-08-04,13.75838
2020-08-05,11.40939
2020-08-06,16.77852
2020-08-07,17.44966
2020-08-08,6.37583
2020-08-09,7.04697
2020-08-10,14.42953
2020-08-11,11.07382
2020-08-12,17.44966
2020-08-13,17.44966
2020-08-14,21.47651
2020-08-15,10.40268
2020-08-16,7.04697
2020-08-17,9.0604
2020-08-18,17.11409
2020-08-19,25.50335
2020-08-20,13.75838
2020-08-21,16.77852
2020-08-22,9.73154
2020-08-23,8.72483
2020-08-24,14.42953
2020-08-25,19.79865
2020-08-26,18.79194
2020-08-27,15.43624
2020-08-28,16.77852
2020-08-29,10.06711
2020-08-30,12.4161
2020-08-31,14.09395
2020-09-01,14.7651
2020-09-02,15.43624
2020-09-03,11.74496
2020-09-04,15.77181
2020-09-05,9.39597
2020-09-06,14.42953
2020-09-07,12.75167
2020-09-08,15.77181
2020-09-09,14.7651
2020-09-10,15.10067
2020-09-11,15.10067
2020-09-12,9.39597
2020-09-13,10.40268
2020-09-14,18.1208
2020-09-15,18.45637
2020-09-16,15.10067
2020-09-17,17.78523
2020-09-18,8.72483
2020-09-19,3.3557
2020-09-20,10.06711
2020-09-21,14.42953
2020-09-22,15.77181
