date,꽁돈
2020-03-20,47.05882
2020-03-21,25.88235
2020-03-22,55.29411
2020-03-23,58.23529
2020-03-24,68.82352
2020-03-25,65.29411
2020-03-26,67.64705
2020-03-27,52.94117
2020-03-28,62.35294
2020-03-29,43.52941
2020-03-30,62.94117
2020-03-31,61.17647
2020-04-01,59.41176
2020-04-02,42.94117
2020-04-03,70.58823
2020-04-04,47.64705
2020-04-05,41.7647
2020-04-06,52.35294
2020-04-07,62.94117
2020-04-08,42.94117
2020-04-09,71.17647
2020-04-10,62.94117
2020-04-11,48.82352
2020-04-12,52.94117
2020-04-13,76.47058
2020-04-14,77.64705
2020-04-15,52.94117
2020-04-16,62.94117
2020-04-17,78.82352
2020-04-18,55.29411
2020-04-19,60.0
2020-04-20,68.82352
2020-04-21,85.29411
2020-04-22,67.64705
2020-04-23,80.0
2020-04-24,57.05882
2020-04-25,51.17647
2020-04-26,44.11764
2020-04-27,69.41176
2020-04-28,60.0
2020-04-29,67.05882
2020-04-30,58.82352
2020-05-01,45.88235
2020-05-02,47.05882
2020-05-03,41.17647
2020-05-04,32.94117
2020-05-05,45.88235
2020-05-06,51.17647
2020-05-07,56.47058
2020-05-08,50.58823
2020-05-09,45.88235
2020-05-10,35.88235
2020-05-11,48.82352
2020-05-12,57.05882
2020-05-13,68.82352
2020-05-14,75.29411
2020-05-15,62.35294
2020-05-16,46.47058
2020-05-17,31.7647
2020-05-18,50.58823
2020-05-19,50.0
2020-05-20,48.82352
2020-05-21,46.47058
2020-05-22,45.29411
2020-05-23,39.41176
2020-05-24,41.17647
2020-05-25,60.0
2020-05-26,38.82352
2020-05-27,48.23529
2020-05-28,42.35294
2020-05-29,40.0
2020-05-30,31.7647
2020-05-31,36.47058
2020-06-01,46.47058
2020-06-02,50.58823
2020-06-03,48.82352
2020-06-04,50.0
2020-06-05,51.7647
2020-06-06,35.88235
2020-06-07,42.35294
2020-06-08,58.23529
2020-06-09,49.41176
2020-06-10,43.52941
2020-06-11,48.82352
2020-06-12,41.7647
2020-06-13,33.52941
2020-06-14,39.41176
2020-06-15,36.47058
2020-06-16,44.70588
2020-06-17,32.94117
2020-06-18,31.17647
2020-06-19,34.70588
2020-06-20,24.70588
2020-06-21,35.29411
2020-06-22,37.64705
