date,막국수맛집
2020-03-20,7.88249
2020-03-21,26.7809
2020-03-22,29.64504
2020-03-23,11.04039
2020-03-24,8.66585
2020-03-25,8.88616
2020-03-26,7.61321
2020-03-27,11.52998
2020-03-28,15.83843
2020-03-29,26.09547
2020-03-30,10.55079
2020-03-31,18.87392
2020-04-01,9.64504
2020-04-02,7.29498
2020-04-03,9.2044
2020-04-04,19.65728
2020-04-05,36.32802
2020-04-06,8.59241
2020-04-07,7.98041
2020-04-08,7.22154
2020-04-09,8.24969
2020-04-10,9.27784
2020-04-11,19.2656
2020-04-12,26.4137
2020-04-13,18.55569
2020-04-14,14.4186
2020-04-15,25.09179
2020-04-16,9.86536
2020-04-17,7.98041
2020-04-18,26.19339
2020-04-19,23.01101
2020-04-20,9.10648
2020-04-21,8.27417
2020-04-22,6.16891
2020-04-23,9.05752
2020-04-24,8.64137
2020-04-25,26.16891
2020-04-26,32.99877
2020-04-27,11.08935
2020-04-28,13.34149
2020-04-29,13.56181
2020-04-30,39.43696
2020-05-01,58.8984
2020-05-02,48.44553
2020-05-03,66.7809
2020-05-04,38.01713
2020-05-05,47.83353
2020-05-06,16.76866
2020-05-07,18.38433
2020-05-08,19.41248
2020-05-09,18.23745
2020-05-10,27.12362
2020-05-11,14.36964
2020-05-12,10.91799
2020-05-13,13.78212
2020-05-14,17.38066
2020-05-15,11.11383
2020-05-16,26.04651
2020-05-17,49.49816
2020-05-18,13.56181
2020-05-19,9.27784
2020-05-20,9.5716
2020-05-21,11.55446
2020-05-22,15.25091
2020-05-23,35.83843
2020-05-24,34.14932
2020-05-25,13.43941
2020-05-26,13.75764
2020-05-27,19.7552
2020-05-28,17.06242
2020-05-29,20.85679
2020-05-30,49.4492
2020-05-31,56.81762
2020-06-01,16.86658
2020-06-02,14.51652
2020-06-03,17.64993
2020-06-04,18.28641
2020-06-05,23.96572
2020-06-06,55.34883
2020-06-07,66.31578
2020-06-08,28.42105
2020-06-09,29.66952
2020-06-10,22.35006
2020-06-11,23.35373
2020-06-12,20.48959
2020-06-13,64.28396
2020-06-14,58.48225
2020-06-15,31.3831
2020-06-16,25.09179
2020-06-17,18.84944
2020-06-18,16.7197
2020-06-19,20.95471
2020-06-20,50.86903
2020-06-21,89.64504
2020-06-22,34.39412
2020-06-23,24.28396
2020-06-24,9.35128
2020-06-25,11.6279
2020-06-26,14.0514
2020-06-27,42.35006
2020-06-28,72.31334
2020-06-29,13.95348
2020-06-30,10.40391
2020-07-01,12.80293
2020-07-02,16.86658
2020-07-03,18.87392
2020-07-04,40.0
2020-07-05,52.92533
2020-07-06,29.62056
2020-07-07,18.33537
2020-07-08,20.41615
2020-07-09,19.90208
2020-07-10,15.15299
2020-07-11,44.79804
2020-07-12,37.2093
2020-07-13,10.94247
2020-07-14,11.65238
2020-07-15,16.30354
2020-07-16,16.45042
2020-07-17,22.37454
2020-07-18,42.86413
2020-07-19,32.1175
2020-07-20,12.04406
2020-07-21,19.1432
2020-07-22,11.65238
2020-07-23,10.74663
2020-07-24,10.23255
2020-07-25,28.81272
2020-07-26,51.72582
2020-07-27,24.06364
2020-07-28,15.54467
2020-07-29,11.6279
2020-07-30,17.2093
2020-07-31,27.0257
2020-08-01,37.18482
2020-08-02,41.49326
2020-08-03,20.85679
2020-08-04,24.16156
2020-08-05,21.07711
