date,미래에셋ETF
2020-03-20,13.7931
2020-03-21,5.68965
2020-03-22,9.31034
2020-03-23,10.51724
2020-03-24,7.93103
2020-03-25,5.34482
2020-03-26,8.44827
2020-03-27,6.37931
2020-03-28,4.65517
2020-03-29,4.13793
2020-03-30,6.37931
2020-03-31,5.34482
2020-04-01,7.41379
2020-04-02,6.20689
2020-04-03,6.72413
2020-04-04,3.7931
2020-04-05,3.27586
2020-04-06,3.7931
2020-04-07,6.89655
2020-04-08,6.37931
2020-04-09,8.27586
2020-04-10,4.31034
2020-04-11,4.13793
2020-04-12,3.44827
2020-04-13,7.41379
2020-04-14,6.37931
2020-04-15,3.62068
2020-04-16,3.96551
2020-04-17,5.86206
2020-04-18,2.41379
2020-04-19,7.06896
2020-04-20,6.37931
2020-04-21,6.55172
2020-04-22,6.20689
2020-04-23,8.27586
2020-04-24,7.24137
2020-04-25,3.96551
2020-04-26,3.7931
2020-04-27,3.44827
2020-04-28,4.65517
2020-04-29,4.48275
2020-04-30,2.24137
2020-05-01,1.03448
2020-05-02,2.24137
2020-05-03,2.24137
2020-05-04,5.68965
2020-05-05,3.10344
2020-05-06,4.65517
2020-05-07,3.7931
2020-05-08,2.06896
2020-05-09,1.72413
2020-05-10,4.13793
2020-05-11,5.0
2020-05-12,5.86206
2020-05-13,5.34482
2020-05-14,3.7931
2020-05-15,2.5862
2020-05-16,3.10344
2020-05-17,3.27586
2020-05-18,5.68965
2020-05-19,6.03448
2020-05-20,6.55172
2020-05-21,7.06896
2020-05-22,5.68965
2020-05-23,1.89655
2020-05-24,3.10344
2020-05-25,2.5862
2020-05-26,8.62068
2020-05-27,5.51724
2020-05-28,4.65517
2020-05-29,5.34482
2020-05-30,1.72413
2020-05-31,3.27586
2020-06-01,5.0
2020-06-02,4.65517
2020-06-03,5.51724
2020-06-04,4.65517
2020-06-05,3.62068
2020-06-06,3.96551
2020-06-07,3.7931
2020-06-08,6.72413
2020-06-09,6.72413
2020-06-10,6.89655
2020-06-11,5.17241
2020-06-12,2.93103
2020-06-13,2.5862
2020-06-14,2.06896
2020-06-15,3.7931
2020-06-16,4.65517
2020-06-17,2.75862
2020-06-18,4.48275
2020-06-19,3.10344
2020-06-21,1.20689
2020-06-22,3.10344
2020-06-23,4.48275
2020-06-24,5.0
2020-06-25,3.7931
2020-06-26,3.44827
2020-06-27,1.03448
2020-06-28,0.86206
2020-06-29,4.48275
2020-06-30,3.7931
2020-07-01,5.0
2020-07-02,2.93103
2020-07-03,3.27586
2020-07-04,2.5862
2020-07-05,2.5862
2020-07-06,6.03448
2020-07-07,7.06896
2020-07-08,6.03448
2020-07-09,7.5862
2020-07-10,8.96551
2020-07-11,5.0
2020-07-12,6.20689
2020-07-13,11.55172
2020-07-14,5.34482
2020-07-15,6.89655
2020-07-16,5.68965
2020-07-17,5.68965
2020-07-18,2.93103
2020-07-19,1.55172
2020-07-20,3.62068
2020-07-21,5.34482
2020-07-22,6.89655
2020-07-23,6.89655
2020-07-24,3.44827
2020-07-25,3.27586
2020-07-26,3.62068
2020-07-27,4.65517
2020-07-28,5.0
2020-07-29,8.27586
2020-07-30,6.55172
2020-07-31,4.65517
2020-08-01,4.48275
2020-08-02,6.37931
2020-08-03,9.31034
2020-08-04,9.65517
2020-08-05,11.20689
2020-08-06,13.27586
2020-08-07,12.5862
2020-08-08,7.41379
2020-08-09,5.86206
2020-08-10,9.48275
2020-08-11,13.27586
2020-08-12,10.68965
2020-08-13,11.37931
2020-08-14,8.62068
2020-08-15,6.89655
2020-08-16,3.62068
2020-08-17,5.86206
2020-08-18,8.62068
2020-08-19,7.41379
2020-08-20,6.55172
2020-08-21,7.93103
2020-08-22,7.06896
2020-08-23,6.20689
2020-08-24,8.62068
2020-08-25,7.5862
2020-08-26,9.48275
2020-08-27,9.31034
2020-08-28,10.51724
2020-08-29,8.27586
2020-08-30,7.24137
2020-08-31,8.7931
2020-09-01,7.93103
2020-09-02,8.62068
2020-09-03,11.89655
2020-09-04,7.75862
2020-09-05,5.17241
2020-09-06,9.31034
2020-09-07,4.65517
2020-09-08,6.37931
2020-09-09,6.89655
2020-09-10,5.68965
2020-09-11,10.0
2020-09-12,3.27586
2020-09-13,5.0
2020-09-14,6.72413
2020-09-15,6.72413
2020-09-16,7.75862
2020-09-17,7.06896
2020-09-18,8.62068
2020-09-19,2.5862
2020-09-20,3.62068
2020-09-21,6.20689
2020-09-22,5.51724
2020-09-23,5.0
2020-09-24,3.44827
2020-09-25,4.65517
2020-09-26,1.37931
2020-09-27,3.7931
2020-09-28,4.82758
2020-09-29,5.17241
2020-09-30,1.89655
2020-10-01,2.06896
2020-10-02,2.5862
2020-10-03,1.20689
2020-10-04,2.5862
2020-10-05,11.89655
2020-10-06,15.86206
2020-10-07,41.03448
2020-10-08,14.65517
2020-10-09,6.37931
2020-10-10,8.62068
2020-10-11,8.7931
2020-10-12,16.03448
2020-10-13,12.75862
2020-10-14,11.55172
2020-10-15,9.13793
2020-10-16,7.24137
2020-10-17,2.75862
2020-10-18,5.68965
2020-10-19,8.62068
2020-10-20,5.51724
2020-10-21,7.24137
2020-10-22,7.24137
2020-10-23,5.68965
2020-10-24,3.27586
2020-10-25,5.86206
2020-10-26,6.20689
2020-10-27,7.5862
2020-10-28,7.5862
2020-10-29,6.03448
2020-10-30,4.48275
2020-10-31,2.06896
2020-11-01,2.93103
2020-11-02,3.62068
2020-11-03,4.82758
2020-11-04,3.62068
2020-11-05,8.27586
2020-11-06,8.62068
2020-11-07,6.55172
2020-11-08,6.03448
2020-11-09,10.34482
2020-11-10,13.27586
2020-11-11,12.24137
2020-11-12,12.41379
2020-11-13,7.41379
2020-11-14,6.37931
2020-11-15,7.06896
2020-11-16,10.86206
2020-11-17,11.72413
2020-11-18,10.68965
2020-11-19,11.37931
2020-11-20,9.65517
2020-11-21,6.55172
2020-11-22,10.34482
2020-11-23,10.51724
2020-11-24,13.44827
2020-11-25,14.31034
2020-11-26,14.82758
2020-11-27,12.75862
2020-11-28,7.41379
2020-11-29,8.96551
2020-11-30,14.65517
2020-12-01,16.20689
2020-12-02,17.93103
2020-12-03,20.17241
2020-12-04,11.55172
2020-12-05,11.03448
2020-12-06,10.17241
2020-12-07,19.65517
2020-12-08,23.44827
2020-12-09,19.65517
2020-12-10,15.0
2020-12-11,16.37931
2020-12-12,5.86206
2020-12-13,12.06896
2020-12-14,14.48275
2020-12-15,15.86206
2020-12-16,16.20689
2020-12-17,17.93103
2020-12-18,17.24137
2020-12-19,12.41379
2020-12-20,14.48275
2020-12-21,21.37931
2020-12-22,26.20689
2020-12-23,21.72413
2020-12-24,22.06896
2020-12-25,13.62068
2020-12-26,18.10344
2020-12-27,21.37931
2020-12-28,27.75862
2020-12-29,25.17241
2020-12-30,25.17241
2020-12-31,22.5862
2021-01-01,12.75862
2021-01-02,14.13793
2021-01-03,17.24137
2021-01-04,29.31034
2021-01-05,31.20689
2021-01-06,28.7931
2021-01-07,38.44827
2021-01-08,41.89655
2021-01-09,19.48275
2021-01-10,34.13793
2021-01-11,41.72413
2021-01-12,36.20689
2021-01-13,35.68965
2021-01-14,36.72413
2021-01-15,35.17241
2021-01-16,35.0
2021-01-17,38.96551
2021-01-18,43.10344
2021-01-19,37.93103
2021-01-20,36.89655
2021-01-21,45.34482
2021-01-22,78.10344
2021-01-23,77.41379
2021-01-24,86.37931
2021-01-25,100.0
2021-01-26,73.10344
2021-01-27,59.82758
2021-01-28,43.44827
2021-01-29,43.7931
2021-01-30,29.48275
2021-01-31,36.55172
2021-02-01,49.48275
2021-02-02,53.44827
2021-02-03,46.89655
2021-02-04,42.5862
2021-02-05,62.41379
2021-02-06,31.20689
2021-02-07,38.62068
2021-02-08,43.10344
2021-02-09,46.03448
2021-02-10,35.86206
2021-02-11,24.65517
2021-02-12,26.03448
2021-02-13,28.96551
2021-02-14,40.34482
2021-02-15,60.86206
2021-02-16,58.62068
2021-02-17,59.31034
2021-02-18,40.0
2021-02-19,29.82758
2021-02-20,21.20689
2021-02-21,27.06896
2021-02-22,30.68965
2021-02-23,28.7931
2021-02-24,24.65517
2021-02-25,27.5862
2021-02-26,21.37931
2021-02-27,10.34482
2021-02-28,15.86206
2021-03-01,18.7931
2021-03-02,25.17241
2021-03-03,17.06896
2021-03-04,16.37931
2021-03-05,14.13793
2021-03-06,6.37931
2021-03-07,9.48275
2021-03-08,14.48275
2021-03-09,12.06896
2021-03-10,12.5862
2021-03-11,13.44827
2021-03-12,15.68965
2021-03-13,9.82758
2021-03-14,8.44827
2021-03-15,22.5862
2021-03-16,16.72413
2021-03-17,14.82758
2021-03-18,11.55172
2021-03-19,8.44827
2021-03-20,6.89655
2021-03-21,4.31034
2021-03-22,14.48275
2021-03-23,10.68965
2021-03-24,9.13793
2021-03-25,7.75862
2021-03-26,9.65517
2021-03-27,6.37931
2021-03-28,8.10344
2021-03-29,12.93103
2021-03-30,13.10344
2021-03-31,12.41379
2021-04-01,12.06896
2021-04-02,8.7931
2021-04-03,10.17241
2021-04-04,9.31034
2021-04-05,21.72413
2021-04-06,32.24137
2021-04-07,36.72413
2021-04-08,40.0
2021-04-09,45.17241
2021-04-10,20.68965
2021-04-11,16.37931
2021-04-12,31.55172
2021-04-13,25.0
2021-04-14,22.5862
2021-04-15,27.5862
2021-04-16,22.5862
2021-04-17,15.17241
2021-04-18,13.10344
2021-04-19,18.7931
2021-04-20,23.62068
2021-04-21,17.41379
2021-04-22,22.41379
2021-04-23,18.62068
2021-04-24,9.82758
2021-04-25,11.20689
2021-04-26,20.17241
2021-04-27,17.75862
2021-04-28,20.17241
2021-04-29,18.7931
2021-04-30,14.65517
2021-05-01,9.48275
2021-05-02,10.86206
2021-05-03,17.41379
2021-05-04,21.37931
2021-05-05,17.06896
2021-05-06,20.86206
2021-05-07,15.34482
2021-05-08,10.0
