date,전세자금대출금리비교
2020-11-09,10.43478
2020-11-10,9.27536
2020-11-11,10.14492
2020-11-12,7.82608
2020-11-13,8.40579
2020-11-14,1.73913
2020-11-15,2.31884
2020-11-16,12.46376
2020-11-17,11.88405
2020-11-18,8.40579
2020-11-19,6.66666
2020-11-20,5.50724
2020-11-21,3.1884
2020-11-22,4.34782
2020-11-23,9.56521
2020-11-24,9.85507
2020-11-25,13.62318
2020-11-26,11.01449
2020-11-27,12.17391
2020-11-28,4.92753
2020-11-29,8.9855
2020-11-30,20.57971
2020-12-01,12.46376
2020-12-02,14.20289
2020-12-03,12.75362
2020-12-04,6.66666
2020-12-05,3.1884
2020-12-06,8.69565
2020-12-07,14.7826
2020-12-08,10.43478
2020-12-09,10.14492
2020-12-10,11.01449
2020-12-11,10.14492
2020-12-12,2.02898
2020-12-13,4.92753
2020-12-14,13.91304
2020-12-15,11.30434
2020-12-16,14.49275
2020-12-17,6.08695
2020-12-18,9.27536
2020-12-19,6.66666
2020-12-20,4.63768
2020-12-21,8.9855
2020-12-22,6.37681
2020-12-23,9.27536
2020-12-24,8.11594
2020-12-25,2.31884
2020-12-26,2.89855
2020-12-27,7.53623
2020-12-28,14.20289
2020-12-29,12.17391
2020-12-30,9.27536
2020-12-31,7.82608
2021-01-01,3.1884
2021-01-02,3.76811
2021-01-03,4.63768
2021-01-04,14.7826
2021-01-05,15.94202
2021-01-06,15.07246
2021-01-07,13.62318
2021-01-08,14.7826
2021-01-09,8.40579
2021-01-10,5.7971
2021-01-11,15.65217
2021-01-12,15.94202
2021-01-13,10.14492
2021-01-14,13.62318
2021-01-15,11.30434
2021-01-16,8.69565
2021-01-17,6.95652
2021-01-18,23.1884
2021-01-19,18.84057
2021-01-20,14.20289
2021-01-21,10.43478
2021-01-22,9.85507
2021-01-23,7.53623
2021-01-24,7.53623
2021-01-25,13.62318
2021-01-26,15.65217
2021-01-27,13.91304
2021-01-28,15.07246
2021-01-29,11.5942
2021-01-30,7.82608
2021-01-31,6.95652
2021-02-01,14.49275
2021-02-02,11.5942
2021-02-03,9.56521
2021-02-04,6.37681
2021-02-05,12.46376
2021-02-06,2.60869
2021-02-07,6.66666
2021-02-08,13.91304
2021-02-09,12.46376
2021-02-10,7.53623
2021-02-11,1.44927
2021-02-12,1.44927
2021-02-13,3.1884
2021-02-14,4.92753
2021-02-15,13.91304
2021-02-16,10.43478
2021-02-17,13.04347
2021-02-18,13.62318
2021-02-19,8.69565
2021-02-20,4.05797
2021-02-21,3.76811
2021-02-22,11.88405
2021-02-23,11.88405
2021-02-24,14.20289
2021-02-25,13.33333
2021-02-26,6.95652
2021-02-27,6.66666
2021-02-28,4.63768
2021-03-01,4.05797
2021-03-02,13.62318
2021-03-03,12.75362
2021-03-04,12.75362
2021-03-05,13.91304
2021-03-06,2.31884
2021-03-07,1.44927
2021-03-08,7.24637
2021-03-09,14.20289
2021-03-10,11.01449
