date,연금저축펀드
2020-11-07,14.84013
2020-11-08,15.73411
2020-11-09,19.13125
2020-11-10,20.8456
2020-11-11,18.20572
2020-11-12,18.20572
2020-11-13,17.06983
2020-11-14,14.09339
2020-11-15,16.6912
2020-11-16,19.24694
2020-11-17,19.70971
2020-11-18,20.82456
2020-11-19,20.61421
2020-11-20,18.72107
2020-11-21,16.65965
2020-11-22,18.45814
2020-11-23,19.00504
2020-11-24,19.20488
2020-11-25,19.02608
2020-11-26,19.0366
2020-11-27,19.80437
2020-11-28,19.46781
2020-11-29,26.49347
2020-11-30,25.43121
2020-12-01,35.74884
2020-12-02,26.03071
2020-12-03,25.2419
2020-12-04,25.67311
2020-12-05,22.32856
2020-12-06,28.77576
2020-12-07,29.22801
2020-12-08,28.54438
2020-12-09,30.17458
2020-12-10,30.67942
2020-12-11,30.65839
2020-12-12,21.91838
2020-12-13,26.2095
2020-12-14,29.36474
2020-12-15,30.52166
2020-12-16,28.1342
2020-12-17,28.08161
2020-12-18,23.7379
2020-12-19,21.30837
2020-12-20,21.78165
2020-12-21,32.45687
2020-12-22,26.40933
2020-12-23,29.73285
2020-12-24,30.15355
2020-12-25,30.3639
2020-12-26,26.66175
2020-12-27,32.4148
2020-12-28,41.24947
2020-12-29,40.41859
2020-12-30,41.3862
2020-12-31,35.14934
2021-01-01,22.60201
2021-01-02,27.44005
2021-01-03,31.8679
2021-01-04,32.95119
2021-01-05,34.96003
2021-01-06,44.46781
2021-01-07,38.19941
2021-01-08,46.9289
2021-01-09,37.43163
2021-01-10,38.66217
2021-01-11,43.1952
2021-01-12,38.09423
2021-01-13,38.40976
2021-01-14,34.6445
2021-01-15,37.31594
2021-01-16,31.4472
2021-01-17,52.76609
2021-01-18,47.67564
2021-01-19,46.67648
2021-01-20,49.52671
2021-01-21,51.26209
2021-01-22,46.71855
2021-01-23,38.47286
2021-01-24,45.48801
2021-01-25,53.16575
2021-01-26,52.52419
2021-01-27,50.79932
2021-01-28,45.07782
2021-01-29,37.4106
2021-01-30,27.59781
2021-01-31,31.11064
2021-02-01,33.09844
2021-02-02,32.76188
2021-02-03,32.16238
2021-02-04,33.31931
2021-02-05,29.80647
2021-02-06,24.13756
2021-02-07,27.80816
2021-02-08,29.39629
2021-02-09,32.63567
2021-02-10,28.99663
2021-02-11,24.13756
2021-02-12,21.84476
2021-02-13,24.41102
2021-02-14,28.16575
2021-02-15,37.93647
2021-02-16,34.88641
2021-02-17,33.61379
2021-02-18,29.8801
2021-02-19,26.50399
2021-02-20,22.44425
2021-02-21,23.05427
2021-02-22,49.8212
2021-02-23,41.17585
2021-02-24,32.65671
2021-02-25,33.29827
2021-02-26,29.35422
2021-02-27,22.79133
2021-02-28,32.97223
2021-03-01,35.29659
2021-03-02,31.69962
2021-03-03,28.90197
2021-03-04,23.66428
2021-03-05,20.30921
2021-03-06,18.21623
2021-03-07,22.10769
2021-03-08,22.46529
2021-03-09,20.76146
2021-03-10,22.26546
2021-03-11,19.36264
2021-03-12,18.679
2021-03-13,13.70424
2021-03-14,16.45982
2021-03-15,21.46613
2021-03-16,20.3618
2021-03-17,18.42658
2021-03-18,18.80521
2021-03-19,15.95498
2021-03-20,17.63777
2021-03-21,16.2705
2021-03-22,17.06983
2021-03-23,21.19267
2021-03-24,19.64661
2021-03-25,33.70845
2021-03-26,18.56331
2021-03-27,15.16617
2021-03-28,18.48969
2021-03-29,17.49053
2021-03-30,19.39419
2021-03-31,17.15397
2021-04-01,14.15649
2021-04-02,14.75599
2021-04-03,12.2949
2021-04-04,14.06184
2021-04-05,15.00841
2021-04-06,20.58266
2021-04-07,17.97433
2021-04-08,15.366
2021-04-09,17.20656
2021-04-10,11.89524
2021-04-11,14.01977
2021-04-12,16.78586
2021-04-13,17.94278
2021-04-14,17.78502
2021-04-15,16.14429
2021-04-16,18.78418
2021-04-17,13.69373
2021-04-18,12.30542
2021-04-19,17.78502
2021-04-20,16.31257
2021-04-21,15.09255
2021-04-22,13.89356
2021-04-23,14.41943
2021-04-24,12.87336
2021-04-25,14.11442
2021-04-26,15.45014
2021-04-27,15.87084
2021-04-28,15.69204
2021-04-29,13.36769
2021-04-30,11.00126
2021-05-01,10.86453
2021-05-02,10.08624
2021-05-03,12.86285
2021-05-04,11.07488
2021-05-05,10.14934
2021-05-06,11.70593
2021-05-07,10.60159
2021-05-08,9.57088
2021-05-09,9.11863
2021-05-10,12.22128
2021-05-11,11.04333
2021-05-12,10.40176
2021-05-13,9.31846
2021-05-14,8.81363
2021-05-15,8.17206
2021-05-16,13.01009
2021-05-17,13.89356
2021-05-18,11.72696
2021-05-19,10.09676
2021-05-20,14.08287
2021-05-21,12.2318
2021-05-22,8.86621
2021-05-23,10.47538
2021-05-24,12.91543
2021-05-25,14.16701
2021-05-26,13.26251
2021-05-27,13.22044
2021-05-28,10.76987
2021-05-29,9.69709
2021-05-30,10.79091
2021-05-31,13.80942
2021-06-01,11.53765
2021-06-02,11.37989
2021-06-03,13.01009
2021-06-04,10.63315
2021-06-05,7.90912
2021-06-06,9.84434
2021-06-07,12.38956
2021-06-08,12.96802
2021-06-09,15.27135
2021-06-10,16.13378
2021-06-11,15.77618
2021-06-12,12.02145
2021-06-13,15.23979
2021-06-14,14.6403
2021-06-15,14.11442
2021-06-16,13.30458
2021-06-17,12.42111
2021-06-18,11.36937
2021-06-19,7.97223
2021-06-20,10.8435
2021-06-21,11.46403
2021-06-22,11.79007
2021-06-23,12.09507
2021-06-24,11.44299
2021-06-25,12.03197
2021-06-26,8.62431
2021-06-27,9.53933
2021-06-28,11.87421
2021-06-29,12.38956
2021-06-30,11.21161
2021-07-01,10.98022
2021-07-02,10.49642
2021-07-03,8.55069
2021-07-04,9.45519
2021-07-05,12.61043
2021-07-06,12.21076
2021-07-07,11.94783
2021-07-08,10.33866
2021-07-09,9.77071
2021-07-10,7.95119
2021-07-11,9.05553
2021-07-12,9.24484
2021-07-13,10.71729
2021-07-14,10.0652
2021-07-15,8.86621
2021-07-16,8.51914
2021-07-17,6.65755
2021-07-18,9.12915
2021-07-19,9.92848
2021-07-20,10.22297
2021-07-21,10.82246
2021-07-22,10.46487
2021-07-23,10.43331
2021-07-24,7.8355
2021-07-25,9.20277
2021-07-26,12.50525
2021-07-27,13.40976
2021-07-28,14.74547
2021-07-29,11.72696
2021-07-30,9.36053
2021-07-31,6.90997
2021-08-01,8.82414
2021-08-02,10.15986
2021-08-03,12.06352
2021-08-04,12.06352
2021-08-05,12.28439
2021-08-06,12.2949
2021-08-07,8.26672
2021-08-08,9.19225
2021-08-09,12.06352
2021-08-10,13.03113
2021-08-11,13.15734
2021-08-12,11.73748
2021-08-13,15.10307
2021-08-14,23.82204
2021-08-15,21.85527
2021-08-16,23.33824
2021-08-17,18.31089
2021-08-18,31.81531
2021-08-19,28.98611
2021-08-20,14.89272
2021-08-21,20.46697
2021-08-22,16.36516
2021-08-23,15.66049
2021-08-24,16.82793
2021-08-25,17.62726
2021-08-26,16.49137
2021-08-27,12.78923
2021-08-28,10.62263
2021-08-29,12.28439
2021-08-30,15.88136
2021-08-31,17.62726
2021-09-01,15.42911
2021-09-02,13.24148
2021-09-03,14.09339
2021-09-04,11.29575
2021-09-05,12.98906
2021-09-06,14.55616
2021-09-07,15.43962
2021-09-08,14.78754
2021-09-09,14.76651
2021-09-10,14.32477
2021-09-11,12.62095
2021-09-12,12.63146
2021-09-13,13.46234
2021-09-14,13.91459
2021-09-15,13.94615
2021-09-16,12.8944
2021-09-17,11.9899
2021-09-18,12.90492
2021-09-19,10.53849
2021-09-20,80.49011
2021-09-21,34.30795
2021-09-22,24.56878
2021-09-23,25.93605
2021-09-24,21.80269
2021-09-25,19.16281
2021-09-26,17.86916
2021-09-27,19.57299
2021-09-28,17.72191
2021-09-29,16.53344
2021-09-30,13.47286
2021-10-01,13.27303
2021-10-02,10.17038
2021-10-03,10.4228
2021-10-04,11.89524
2021-10-05,16.01809
2021-10-06,14.60875
2021-10-07,16.45982
2021-10-08,13.35717
2021-10-09,9.07656
2021-10-10,10.9066
2021-10-11,12.20025
2021-10-12,13.24148
2021-10-13,11.54816
2021-10-14,12.59991
2021-10-15,11.48506
2021-10-16,9.03449
2021-10-17,10.28607
2021-10-18,10.79091
2021-10-19,11.22212
2021-10-20,12.12663
2021-10-21,12.10559
2021-10-22,11.64282
2021-10-23,8.62431
2021-10-24,10.31762
2021-10-25,12.14766
2021-10-26,12.67353
2021-10-27,12.70509
2021-10-28,13.0732
2021-10-29,10.87505
2021-10-30,8.76104
2021-10-31,8.95035
2021-11-01,11.76903
2021-11-02,13.32562
2021-11-03,12.58939
2021-11-04,15.58687
2021-11-05,14.91375
2021-11-06,10.244
2021-11-07,12.22128
2021-11-08,15.42911
2021-11-09,15.43962
2021-11-10,23.90618
2021-11-11,12.97854
2021-11-12,12.46318
2021-11-13,10.21245
2021-11-14,11.45351
