date,안방꾸미기
2020-03-20,52.77777
2020-03-21,72.22222
2020-03-22,73.61111
2020-03-23,50.69444
2020-03-24,69.44444
2020-03-25,46.52777
2020-03-26,60.41666
2020-03-27,59.02777
2020-03-28,52.77777
2020-03-29,48.61111
2020-03-30,50.0
2020-03-31,53.47222
2020-04-01,38.88888
2020-04-02,63.19444
2020-04-03,47.22222
2020-04-04,37.5
2020-04-05,64.58333
2020-04-06,50.0
2020-04-07,63.19444
2020-04-08,52.08333
2020-04-09,51.38888
2020-04-10,57.63888
2020-04-11,78.47222
2020-04-12,77.08333
2020-04-13,74.30555
2020-04-14,72.91666
2020-04-15,61.80555
2020-04-16,48.61111
2020-04-17,54.16666
2020-04-18,52.08333
2020-04-19,67.36111
2020-04-20,54.86111
2020-04-21,60.41666
2020-04-22,66.66666
2020-04-23,60.41666
2020-04-24,53.47222
2020-04-25,65.27777
2020-04-26,54.16666
2020-04-27,63.19444
2020-04-28,61.80555
2020-04-29,35.41666
2020-04-30,40.97222
2020-05-01,58.33333
2020-05-02,44.44444
2020-05-03,55.55555
2020-05-04,50.0
2020-05-05,63.88888
2020-05-06,50.69444
2020-05-07,42.36111
2020-05-08,36.80555
2020-05-09,31.94444
2020-05-10,34.72222
2020-05-11,56.94444
2020-05-12,43.05555
2020-05-13,44.44444
2020-05-14,46.52777
2020-05-15,53.47222
2020-05-16,40.97222
2020-05-17,68.75
2020-05-18,82.63888
2020-05-19,66.66666
2020-05-20,38.88888
2020-05-21,43.75
2020-05-22,45.83333
2020-05-23,43.75
2020-05-24,47.91666
2020-05-25,47.22222
2020-05-26,44.44444
2020-05-27,36.11111
2020-05-28,40.27777
2020-05-29,38.19444
2020-05-30,40.27777
2020-05-31,46.52777
2020-06-01,41.66666
2020-06-02,44.44444
2020-06-03,41.66666
2020-06-04,50.0
2020-06-05,40.97222
2020-06-06,36.80555
2020-06-07,29.86111
2020-06-08,34.72222
2020-06-09,39.58333
2020-06-10,31.94444
2020-06-11,28.47222
2020-06-12,43.05555
2020-06-13,31.25
2020-06-14,51.38888
2020-06-15,37.5
2020-06-16,34.72222
2020-06-17,38.19444
2020-06-18,50.0
2020-06-19,36.11111
2020-06-20,47.91666
2020-06-21,42.36111
2020-06-22,54.86111
2020-06-23,43.75
2020-06-24,42.36111
2020-06-25,45.13888
2020-06-26,48.61111
2020-06-27,43.75
2020-06-28,50.69444
2020-06-29,56.25
2020-06-30,57.63888
2020-07-01,34.02777
2020-07-02,47.22222
2020-07-03,47.22222
