date,스테이킹
2020-03-20,3.05444
2020-03-21,1.12881
2020-03-22,1.79282
2020-03-23,2.72244
2020-03-24,3.38645
2020-03-25,3.25365
2020-03-26,2.98804
2020-03-27,2.85524
2020-03-28,2.19123
2020-03-29,1.72642
2020-03-30,2.05843
2020-03-31,2.58964
2020-04-01,1.92563
2020-04-02,2.45683
2020-04-03,1.52722
2020-04-04,1.52722
2020-04-05,1.99203
2020-04-06,2.65604
2020-04-07,3.45285
2020-04-08,4.38247
2020-04-09,3.71845
2020-04-10,2.52324
2020-04-11,1.12881
2020-04-12,1.52722
2020-04-13,5.31208
2020-04-14,5.51128
2020-04-15,4.98007
2020-04-16,4.91367
2020-04-17,2.12483
2020-04-18,1.46082
2020-04-19,1.52722
2020-04-20,14.34262
2020-04-21,9.09694
2020-04-22,10.88977
2020-04-23,5.64409
2020-04-24,3.51925
2020-04-25,3.38645
2020-04-26,3.38645
2020-04-27,6.5737
2020-04-28,3.98406
2020-04-29,4.44887
2020-04-30,2.39043
2020-05-01,3.58565
2020-05-02,2.65604
2020-05-03,2.58964
2020-05-04,4.24966
2020-05-05,3.91766
2020-05-06,4.91367
2020-05-07,2.39043
2020-05-08,3.51925
2020-05-09,3.32005
2020-05-10,4.64807
2020-05-11,9.09694
2020-05-12,5.57768
2020-05-13,5.31208
2020-05-14,3.45285
2020-05-15,3.32005
2020-05-16,2.58964
2020-05-17,3.71845
2020-05-18,4.24966
2020-05-19,6.5737
2020-05-20,8.76494
2020-05-21,6.17529
2020-05-22,5.97609
2020-05-23,4.91367
2020-05-24,4.91367
2020-05-25,6.6401
2020-05-26,5.84329
2020-05-27,6.7729
2020-05-28,3.78486
2020-05-29,6.3081
2020-05-30,4.11686
2020-05-31,6.7065
2020-06-01,7.90172
2020-06-02,7.23771
2020-06-03,7.37051
2020-06-04,6.6401
2020-06-05,10.42496
2020-06-06,5.51128
2020-06-07,5.97609
2020-06-08,9.03054
2020-06-09,8.56573
2020-06-10,8.03452
2020-06-11,5.97609
2020-06-12,6.4409
2020-06-13,3.85126
2020-06-14,4.31606
2020-06-15,5.17928
2020-06-16,4.91367
2020-06-17,6.5737
2020-06-18,4.11686
2020-06-19,4.44887
2020-06-20,3.98406
2020-06-21,3.91766
2020-06-22,5.51128
2020-06-23,5.31208
2020-06-24,6.4409
2020-06-25,6.10889
2020-06-26,20.18592
2020-06-27,9.62815
2020-06-28,5.57768
2020-06-29,8.03452
2020-06-30,7.96812
2020-07-01,6.10889
2020-07-02,5.84329
2020-07-03,6.4409
2020-07-04,5.11288
2020-07-05,3.51925
2020-07-06,3.91766
2020-07-07,4.78087
2020-07-08,7.37051
2020-07-09,4.98007
2020-07-10,4.64807
2020-07-11,5.17928
2020-07-12,4.38247
2020-07-13,7.70252
2020-07-14,6.3081
2020-07-15,5.90969
2020-07-16,4.51527
2020-07-17,5.64409
2020-07-18,5.71049
2020-07-19,4.31606
2020-07-20,5.64409
2020-07-21,6.6401
2020-07-22,6.5073
2020-07-23,6.7065
2020-07-24,5.97609
2020-07-25,5.24568
2020-07-26,4.51527
2020-07-27,7.43691
2020-07-28,8.23373
2020-07-29,6.3745
2020-07-30,5.51128
2020-07-31,10.35856
2020-08-01,5.77689
2020-08-02,6.5737
2020-08-03,7.90172
2020-08-04,9.49535
2020-08-05,7.23771
2020-08-06,6.3081
2020-08-07,8.36653
2020-08-08,6.3745
2020-08-09,8.96414
2020-08-10,11.15537
2020-08-11,11.48738
2020-08-12,13.61221
2020-08-13,14.14342
2020-08-14,11.22177
2020-08-15,8.69853
2020-08-16,7.70252
2020-08-17,11.22177
2020-08-18,11.08897
2020-08-19,33.53253
2020-08-20,22.17795
2020-08-21,12.8154
2020-08-22,10.62416
2020-08-23,10.75697
2020-08-24,16.20185
2020-08-25,14.27622
2020-08-26,12.35059
2020-08-27,14.40903
2020-08-28,11.48738
2020-08-29,9.36254
2020-08-30,7.50332
2020-08-31,11.95219
2020-09-01,14.87383
2020-09-02,14.87383
2020-09-03,12.749
2020-09-04,14.34262
2020-09-05,7.56972
2020-09-06,6.97211
2020-09-07,9.96015
2020-09-08,9.96015
2020-09-09,9.96015
2020-09-10,11.08897
2020-09-11,8.43293
2020-09-12,6.10889
2020-09-13,5.77689
2020-09-14,9.56175
2020-09-15,9.56175
2020-09-16,8.96414
2020-09-17,8.30013
2020-09-18,8.49933
2020-09-19,6.5737
2020-09-20,6.5073
2020-09-21,10.62416
2020-09-22,7.83532
2020-09-23,9.49535
2020-09-24,7.76892
2020-09-25,7.30411
2020-09-26,4.51527
2020-09-27,6.5737
2020-09-28,11.02257
2020-09-29,14.40903
2020-09-30,8.76494
2020-10-01,4.84727
2020-10-02,5.17928
2020-10-03,6.5737
2020-10-04,6.7729
2020-10-05,12.28419
2020-10-06,15.00664
2020-10-07,11.35458
2020-10-08,10.49136
2020-10-09,7.50332
2020-10-10,6.7065
2020-10-11,7.56972
2020-10-12,9.49535
2020-10-13,8.10092
2020-10-14,7.70252
2020-10-15,9.49535
2020-10-16,6.6401
2020-10-17,3.12084
2020-10-18,5.90969
2020-10-19,7.03851
2020-10-20,9.09694
2020-10-21,7.03851
2020-10-22,6.5073
2020-10-23,8.10092
2020-10-24,5.77689
2020-10-25,5.24568
2020-10-26,6.24169
2020-10-27,6.10889
2020-10-28,7.70252
2020-10-29,7.50332
2020-10-30,6.5073
2020-10-31,3.32005
2020-11-01,4.31606
2020-11-02,5.57768
2020-11-03,6.04249
2020-11-04,5.24568
2020-11-05,4.58167
2020-11-06,5.71049
2020-11-07,4.18326
2020-11-08,6.4409
2020-11-09,7.83532
2020-11-10,6.7729
2020-11-11,5.84329
2020-11-12,6.5737
2020-11-13,5.51128
2020-11-14,4.11686
2020-11-15,3.98406
