date,가상화폐
2020-03-20,3.69946
2020-03-21,2.53024
2020-03-22,2.23394
2020-03-23,3.27284
2020-03-24,4.27977
2020-03-25,4.82074
2020-03-26,4.24289
2020-03-27,3.56299
2020-03-28,2.88064
2020-03-29,2.56589
2020-03-30,2.68269
2020-03-31,2.73802
2020-04-01,2.29049
2020-04-02,2.20812
2020-04-03,1.95239
2020-04-04,1.43478
2020-04-05,1.44462
2020-04-06,3.44865
2020-04-07,3.90233
2020-04-08,2.36303
2020-04-09,2.0446
2020-04-10,2.58557
2020-04-11,1.7065
2020-04-12,1.61552
2020-04-13,2.49704
2020-04-14,1.88969
2020-04-15,1.50855
2020-04-16,2.38762
2020-04-17,2.04091
2020-04-18,1.47659
2020-04-19,1.57003
2020-04-20,1.961
2020-04-21,1.93518
2020-04-22,1.68314
2020-04-23,1.92903
2020-04-24,2.24009
2020-04-25,1.63027
2020-04-26,1.69912
2020-04-27,2.07657
2020-04-28,2.02124
2020-04-29,2.44172
2020-04-30,3.2335
2020-05-01,2.03968
2020-05-02,1.5356
2020-05-03,1.87739
2020-05-04,1.97698
2020-05-05,1.8442
2020-05-06,2.19337
2020-05-07,2.11591
2020-05-08,2.09132
2020-05-09,1.70773
2020-05-10,4.11502
2020-05-11,2.50196
2020-05-12,1.86879
2020-05-13,1.62289
2020-05-14,1.77904
2020-05-15,1.60199
2020-05-16,1.24053
2020-05-17,1.37208
2020-05-18,1.75445
2020-05-19,1.73969
2020-05-20,1.61183
2020-05-21,1.76797
2020-05-22,1.55035
2020-05-23,1.12742
2020-05-24,1.09176
2020-05-25,1.58847
2020-05-26,1.70896
2020-05-27,1.75445
2020-05-28,1.70773
2020-05-29,1.53314
2020-05-30,1.22332
2020-05-31,1.42495
2020-06-01,1.51716
2020-06-02,2.09501
2020-06-03,1.94501
2020-06-04,1.69912
2020-06-05,1.55158
2020-06-06,1.20487
2020-06-07,1.26758
2020-06-08,1.60076
2020-06-09,1.53437
2020-06-10,1.61552
2020-06-11,1.88231
2020-06-12,2.58925
2020-06-13,1.13602
2020-06-14,1.05734
2020-06-15,2.08148
2020-06-16,1.87985
2020-06-17,2.75277
2020-06-18,2.22656
2020-06-19,1.54544
2020-06-20,1.0475
2020-06-21,1.66961
2020-06-22,2.00403
2020-06-23,1.62904
2020-06-24,1.88477
2020-06-25,1.79871
2020-06-26,1.57003
2020-06-27,1.03029
2020-06-28,1.50363
2020-06-29,1.50855
2020-06-30,1.47659
2020-07-01,1.38929
2020-07-02,1.44462
2020-07-03,1.44585
2020-07-04,0.93193
2020-07-05,1.05488
2020-07-06,1.48765
2020-07-07,1.59216
2020-07-08,1.6524
2020-07-09,1.64871
2020-07-10,1.43355
2020-07-11,1.03644
2020-07-12,1.15815
2020-07-13,1.60322
2020-07-14,1.89338
2020-07-15,1.47167
2020-07-16,1.46921
2020-07-17,1.38315
2020-07-18,1.0475
2020-07-19,1.03767
2020-07-20,1.39298
2020-07-21,2.01263
2020-07-22,2.5536
2020-07-23,1.95362
2020-07-24,1.38561
2020-07-25,1.17414
2020-07-26,1.86879
2020-07-27,2.63106
2020-07-28,3.02449
2020-07-29,2.65196
2020-07-30,2.30525
2020-07-31,2.14665
2020-08-01,2.33107
2020-08-02,5.65555
2020-08-03,2.75154
2020-08-04,2.43926
2020-08-05,2.03108
2020-08-06,2.05689
2020-08-07,2.06304
2020-08-08,1.5565
2020-08-09,1.54052
2020-08-10,2.18107
2020-08-11,2.14173
2020-08-12,2.18476
2020-08-13,1.89215
2020-08-14,1.86387
2020-08-15,1.66101
2020-08-16,1.34995
2020-08-17,1.83559
2020-08-18,2.23148
2020-08-19,2.07288
2020-08-20,1.886
2020-08-21,1.74707
2020-08-22,1.54544
2020-08-23,1.27495
2020-08-24,1.60814
2020-08-25,1.70896
2020-08-26,1.80485
2020-08-27,1.80977
2020-08-28,1.65117
2020-08-29,1.17414
2020-08-30,1.33889
2020-08-31,1.60322
2020-09-01,1.73354
2020-09-02,2.86957
2020-09-03,2.67409
2020-09-04,3.98839
2020-09-05,2.41098
2020-09-06,3.35152
2020-09-07,2.40606
2020-09-08,1.99665
2020-09-09,1.90813
2020-09-10,1.64011
2020-09-11,1.78026
2020-09-12,1.25036
2020-09-13,1.25528
2020-09-14,1.49257
2020-09-15,1.47904
2020-09-16,1.69912
2020-09-17,1.56142
2020-09-18,1.2934
2020-09-19,1.0266
2020-09-20,1.37823
2020-09-21,2.09132
2020-09-22,1.73723
2020-09-23,1.31061
2020-09-24,1.64994
2020-09-25,1.07455
2020-09-26,0.84095
2020-09-27,0.91226
2020-09-28,1.06348
2020-09-29,0.94914
2020-09-30,0.61473
2020-10-01,0.80653
2020-10-02,1.40651
2020-10-03,0.86185
2020-10-04,1.04873
2020-10-05,1.14832
2020-10-06,1.26758
2020-10-07,1.48273
2020-10-08,1.13356
2020-10-09,1.05119
2020-10-10,1.01185
2020-10-11,1.04504
2020-10-12,1.34995
2020-10-13,1.39298
2020-10-14,1.16184
2020-10-15,1.11266
2020-10-16,1.57863
2020-10-17,0.89013
2020-10-18,0.90734
2020-10-19,1.64748
2020-10-20,1.44831
2020-10-21,1.64379
2020-10-22,4.05109
2020-10-23,2.42082
2020-10-24,1.44585
2020-10-25,1.69174
2020-10-26,2.12083
2020-10-27,2.32369
2020-10-28,3.02449
2020-10-29,2.24623
2020-10-30,1.97083
2020-10-31,1.6942
2020-11-01,2.12329
2020-11-02,2.56467
2020-11-03,2.4577
2020-11-04,2.30279
2020-11-05,2.52163
2020-11-06,3.68225
2020-11-07,2.30156
2020-11-08,2.29664
2020-11-09,2.71466
2020-11-10,2.38393
2020-11-11,2.5536
2020-11-12,2.66302
2020-11-13,3.1585
2020-11-14,1.86633
2020-11-15,1.90198
2020-11-16,2.99129
2020-11-17,3.35644
2020-11-18,6.16209
2020-11-19,4.66951
2020-11-20,4.22445
2020-11-21,4.5146
2020-11-22,5.13917
2020-11-23,6.24815
2020-11-24,10.71112
2020-11-25,7.1641
2020-11-26,12.29467
2020-11-27,5.81046
2020-11-28,4.39288
2020-11-29,3.48185
2020-11-30,4.14453
2020-12-01,6.96739
2020-12-02,4.64001
2020-12-03,3.97855
2020-12-04,3.64045
2020-12-05,2.85482
2020-12-06,2.83638
2020-12-07,3.37243
2020-12-08,3.29866
2020-12-09,4.6732
2020-12-10,3.1167
2020-12-11,2.84867
2020-12-12,2.13066
2020-12-13,2.46139
2020-12-14,2.62983
2020-12-15,2.8081
2020-12-16,2.979
2020-12-17,6.36618
2020-12-18,4.87606
2020-12-19,3.4548
2020-12-20,3.42283
2020-12-21,9.46936
2020-12-22,6.03545
2020-12-23,5.81415
