date,비트코인찾기
2020-03-20,1.16009
2020-03-21,0.69605
2020-03-22,0.92807
2020-03-23,13.22505
2020-03-24,12.18097
2020-03-25,6.2645
2020-03-26,2.20417
2020-03-27,3.59628
2020-03-28,2.20417
2020-03-29,3.24825
2020-03-30,3.13225
2020-03-31,2.32018
2020-04-01,2.66821
2020-04-02,2.90023
2020-04-03,1.04408
2020-04-04,1.04408
2020-04-05,2.08816
2020-04-06,3.24825
2020-04-07,2.32018
2020-04-08,1.97215
2020-04-09,1.39211
2020-04-10,1.04408
2020-04-11,0.58004
2020-04-12,1.39211
2020-04-13,1.85614
2020-04-14,1.74013
2020-04-15,0.81206
2020-04-16,1.16009
2020-04-17,0.92807
2020-04-18,1.39211
2020-04-19,1.04408
2020-04-20,1.62412
2020-04-21,1.50812
2020-04-22,2.5522
2020-04-23,2.66821
2020-04-25,2.32018
2020-04-26,0.92807
2020-04-27,0.92807
2020-04-28,1.04408
2020-04-29,1.04408
2020-04-30,2.20417
2020-05-01,0.81206
2020-05-02,0.92807
2020-05-03,1.2761
2020-05-04,0.58004
2020-05-05,0.69605
2020-05-06,0.92807
2020-05-07,0.81206
2020-05-08,1.04408
2020-05-09,0.58004
2020-05-10,0.69605
2020-05-11,0.58004
2020-05-12,2.66821
2020-05-13,1.62412
2020-05-14,1.39211
2020-05-15,0.69605
2020-05-16,1.04408
2020-05-17,0.81206
2020-05-18,0.69605
2020-05-19,0.58004
2020-05-20,1.39211
2020-05-21,1.16009
2020-05-23,1.39211
2020-05-24,2.90023
2020-05-25,7.65661
2020-05-26,5.80046
2020-05-27,6.14849
2020-05-28,7.65661
2020-05-29,4.98839
2020-05-30,2.43619
2020-05-31,2.08816
2020-06-01,4.52436
2020-06-02,2.43619
2020-06-03,1.39211
2020-06-04,0.81206
2020-06-05,1.85614
2020-06-06,0.58004
2020-06-07,0.69605
2020-06-08,0.58004
2020-06-09,1.97215
2020-06-10,2.66821
2020-06-11,1.85614
2020-06-12,1.04408
2020-06-13,0.81206
2020-06-14,0.81206
2020-06-15,1.2761
2020-06-16,3.24825
2020-06-17,1.85614
2020-06-18,0.81206
2020-06-19,1.04408
2020-06-21,0.69605
2020-06-22,1.16009
2020-06-23,0.92807
2020-06-24,1.2761
2020-06-25,1.39211
2020-06-26,12.29698
2020-06-27,8.23665
2020-06-28,6.14849
2020-06-29,12.64501
2020-06-30,9.51276
2020-07-01,12.18097
2020-07-02,6.03248
2020-07-03,8.46867
2020-07-04,6.72853
2020-07-05,4.52436
2020-07-06,8.35266
2020-07-07,4.98839
