date,연말정산환급일
2020-03-20,2.70329
2020-03-21,0.85714
2020-03-22,0.3956
2020-03-23,1.38461
2020-03-24,1.31868
2020-03-25,1.2967
2020-03-26,1.12087
2020-03-27,0.70329
2020-03-28,0.26373
2020-03-29,0.35164
2020-03-30,1.23076
2020-03-31,1.40659
2020-04-01,0.74725
2020-04-02,0.83516
2020-04-03,0.5934
2020-04-04,0.28571
2020-04-05,0.15384
2020-04-06,0.98901
2020-04-07,0.48351
2020-04-08,0.5934
2020-04-09,0.57142
2020-04-10,0.65934
2020-04-11,0.1978
2020-04-13,0.54945
2020-04-14,0.46153
2020-04-15,0.30769
2020-04-16,0.57142
2020-04-17,0.57142
2020-04-20,0.43956
2020-04-21,0.17582
2020-04-22,0.28571
2020-04-23,0.10989
2020-04-24,0.1978
2020-04-25,0.10989
2020-04-26,0.13186
2020-04-27,0.10989
2020-04-28,0.26373
2020-04-29,0.21978
2020-05-01,0.1978
2020-05-02,0.17582
2020-05-04,0.24175
2020-05-06,0.10989
2020-05-07,0.37362
2020-05-08,0.35164
2020-05-11,0.35164
2020-05-12,0.32967
2020-05-13,0.24175
2020-05-14,0.10989
2020-05-15,0.15384
2020-05-18,0.30769
2020-05-19,0.13186
2020-05-20,0.10989
2020-05-23,0.10989
2020-05-25,0.48351
2020-05-26,0.26373
2020-05-27,0.24175
2020-05-29,0.13186
2020-05-30,0.13186
2020-05-31,0.10989
2020-06-01,0.61538
2020-06-02,0.5934
2020-06-03,0.63736
2020-06-04,0.74725
2020-06-05,0.68131
2020-06-06,0.5934
2020-06-07,0.43956
2020-06-08,1.58241
2020-06-09,2.10989
2020-06-10,3.14285
2020-06-11,1.86813
2020-06-12,1.80219
2020-06-13,0.63736
2020-06-14,0.90109
2020-06-15,2.85714
2020-06-16,2.52747
2020-06-17,2.13186
2020-06-18,2.26373
2020-06-19,1.82417
2020-06-20,0.7912
2020-06-21,0.61538
2020-06-22,2.32967
2020-06-23,1.71428
2020-06-24,1.07692
2020-06-25,1.16483
2020-06-26,1.01098
2020-06-27,0.54945
2020-06-28,0.50549
2020-06-29,1.12087
2020-06-30,1.34065
2020-07-01,1.07692
2020-07-02,0.65934
2020-07-03,0.63736
2020-07-04,0.32967
2020-07-05,0.1978
2020-07-06,0.65934
2020-07-07,0.50549
2020-07-08,0.81318
2020-07-09,0.30769
2020-07-10,0.35164
2020-07-11,0.17582
2020-07-12,0.10989
2020-07-15,0.10989
2020-08-19,0.13186
2020-08-24,0.10989
2020-10-30,0.10989
2020-11-07,0.10989
2020-11-09,0.13186
2020-11-11,0.10989
2020-11-12,0.10989
2020-11-16,0.10989
2020-11-17,0.10989
2020-11-18,0.1978
2020-11-19,0.17582
2020-11-20,0.28571
2020-11-22,0.21978
2020-11-23,0.15384
2020-11-24,0.32967
2020-11-25,0.13186
2020-11-26,0.26373
2020-11-27,0.37362
2020-11-28,0.13186
