date,ELS
2020-03-20,25.68243
2020-03-21,21.93071
2020-03-22,15.91381
2020-03-23,39.28239
2020-03-24,30.04026
2020-03-25,16.60841
2020-03-26,12.20634
2020-03-27,9.85267
2020-03-28,6.32216
2020-03-29,6.76901
2020-03-30,19.05056
2020-03-31,11.06047
2020-04-01,10.81272
2020-04-02,11.4498
2020-04-03,11.29496
2020-04-04,6.42392
2020-04-05,5.30902
2020-04-06,12.05592
2020-04-07,10.53399
2020-04-08,10.64018
2020-04-09,9.60934
2020-04-10,7.92815
2020-04-11,4.42861
2020-04-12,9.07844
2020-04-13,8.39711
2020-04-14,7.56979
2020-04-15,4.42419
2020-04-16,6.20714
2020-04-17,7.20258
2020-04-18,3.91098
2020-04-19,3.91098
2020-04-20,6.42392
2020-04-21,100.0
2020-04-22,9.72879
2020-04-23,10.41897
2020-04-24,7.26009
2020-04-25,3.62783
2020-04-26,3.54377
2020-04-27,7.44149
2020-04-28,5.19842
2020-04-29,5.05685
2020-04-30,3.10135
2020-05-01,3.04826
2020-05-02,2.22979
2020-05-03,2.83148
2020-05-04,4.60558
2020-05-05,3.32256
2020-05-06,4.84448
2020-05-07,5.36654
2020-05-08,6.88846
2020-05-09,3.82692
2020-05-10,3.78268
2020-05-11,5.69835
2020-05-12,5.22939
2020-05-13,5.34884
2020-05-14,4.8843
2020-05-15,4.29146
2020-05-16,3.13232
2020-05-17,3.26062
2020-05-18,4.4817
2020-05-19,4.756
2020-05-20,3.83134
2020-05-21,4.30031
2020-05-22,4.36667
2020-05-23,2.40233
2020-05-24,2.55275
2020-05-25,5.09666
2020-05-26,5.89744
2020-05-27,5.20727
2020-05-28,6.70265
2020-05-29,4.74273
2020-05-30,2.89784
2020-05-31,2.80493
2020-06-01,4.9197
2020-06-02,5.4506
2020-06-03,6.77343
2020-06-04,5.77799
2020-06-05,5.1586
2020-06-06,3.29159
2020-06-07,3.05269
2020-06-08,4.82236
2020-06-09,5.22054
2020-06-10,4.85776
2020-06-11,5.8355
2020-06-12,4.74273
2020-06-13,2.95093
2020-06-14,2.68548
2020-06-15,4.38437
2020-06-16,4.34898
2020-06-17,4.34455
2020-06-18,5.22497
2020-06-19,4.64097
2020-06-20,2.46869
2020-06-21,2.36694
2020-06-22,4.51709
2020-06-23,4.30916
2020-06-24,4.57903
2020-06-25,6.03017
2020-06-26,4.50825
2020-06-27,2.50851
2020-06-28,2.45542
2020-06-29,3.9154
2020-06-30,4.06583
2020-07-01,4.26934
2020-07-02,4.3357
2020-07-03,3.49953
2020-07-04,2.14573
2020-07-05,2.44215
2020-07-06,4.55691
2020-07-07,4.52152
2020-07-08,4.30031
2020-07-09,4.47285
2020-07-10,3.65438
2020-07-11,2.75627
2020-07-12,2.57487
2020-07-13,4.73388
2020-07-14,5.27806
2020-07-15,5.75587
2020-07-16,5.16303
2020-07-17,4.7737
2020-07-18,2.37579
2020-07-19,2.84475
2020-07-20,4.44631
2020-07-21,4.57461
2020-07-22,4.55691
2020-07-23,6.04786
2020-07-24,4.39764
2020-07-25,2.12803
2020-07-26,1.95106
2020-07-27,3.88886
2020-07-28,4.43746
2020-07-29,3.91098
2020-07-30,6.45931
2020-07-31,5.13206
2020-08-01,2.9996
2020-08-02,2.52178
2020-08-03,4.64982
2020-08-04,4.31358
2020-08-05,4.52152
2020-08-06,5.18515
2020-08-07,6.56992
2020-08-08,3.27832
2020-08-09,3.43759
2020-08-10,4.52594
2020-08-11,4.3357
2020-08-12,4.57018
2020-08-13,4.30916
