date,환전수수료무료
2020-03-21,2.14723
2020-03-22,2.14723
2020-04-10,1.53374
2020-04-28,1.84049
2020-06-11,1.53374
2020-08-17,1.53374
2020-10-07,1.84049
2020-10-27,1.84049
2020-11-12,1.53374
2020-12-08,1.53374
2020-12-09,2.45398
2020-12-16,1.84049
2021-01-08,2.45398
2021-01-10,1.84049
2021-01-11,1.53374
2021-01-13,2.14723
2021-01-14,2.14723
2021-01-25,1.53374
2021-01-27,1.53374
2021-03-12,1.53374
2021-06-08,19.93865
2021-06-09,6.74846
2021-06-10,4.90797
2021-06-11,2.14723
2021-06-13,1.53374
2021-06-14,1.84049
2021-06-21,1.53374
2021-07-05,1.84049
2021-07-11,1.84049
2021-07-29,1.84049
2021-07-30,1.53374
2021-08-10,3.06748
2021-08-11,2.76073
2021-08-12,2.14723
2021-08-16,1.53374
2021-08-18,2.14723
2021-08-31,2.14723
2021-09-05,1.84049
2021-09-15,2.14723
2021-09-27,1.53374
2021-09-28,1.53374
2021-10-05,1.53374
2021-10-12,3.06748
2021-10-25,1.53374
2021-11-01,1.53374
2021-11-06,2.76073
2021-11-07,3.06748
2021-11-09,3.06748
2021-11-11,1.84049
2021-11-13,1.84049
2021-11-14,2.76073
2021-11-15,1.84049
2021-11-16,1.84049
2021-11-22,1.53374
2021-11-23,1.53374
2021-11-24,1.84049
2021-11-26,1.53374
2021-11-27,1.53374
2021-12-06,2.14723
2021-12-09,1.84049
2021-12-31,1.84049
2022-01-05,1.53374
2022-01-06,1.53374
2022-01-11,1.84049
2022-02-24,3.37423
2022-03-09,1.53374
2022-03-11,2.14723
2022-03-28,3.06748
2022-03-29,2.76073
2022-03-30,2.14723
2022-03-31,3.68098
2022-04-05,1.53374
2022-04-06,1.53374
2022-04-20,1.53374
2022-04-26,1.84049
2022-05-05,3.37423
2022-06-02,1.84049
2022-06-09,1.53374
2022-06-12,2.76073
2022-06-16,2.14723
2022-06-21,2.14723
2022-06-23,1.53374
2022-07-07,1.53374
2022-07-15,1.53374
2022-07-19,2.14723
2022-07-20,5.21472
2022-07-21,1.53374
2022-07-22,1.53374
2022-07-25,1.84049
2022-07-26,1.84049
2022-07-27,3.06748
2022-08-01,3.06748
2022-08-02,3.06748
2022-08-03,1.84049
2022-08-04,2.14723
2022-08-05,1.84049
2022-08-06,1.84049
2022-08-08,2.76073
2022-08-11,1.84049
2022-08-17,2.14723
2022-08-24,2.14723
