date,주담대금리
2020-03-20,12.87352
2020-03-21,7.40097
2020-03-22,8.77345
2020-03-23,18.88464
2020-03-24,14.00277
2020-03-25,12.47394
2020-03-26,13.04725
2020-03-27,10.04169
2020-03-28,4.88186
2020-03-29,5.47255
2020-03-30,9.29464
2020-03-31,10.66712
2020-04-01,10.47602
2020-04-02,8.44336
2020-04-03,6.68867
2020-04-04,4.43015
2020-04-05,5.14246
2020-04-06,8.56497
2020-04-07,7.80055
2020-04-08,7.29673
2020-04-09,8.37387
2020-04-10,6.51494
2020-04-11,4.7255
2020-04-12,4.39541
2020-04-13,8.00903
2020-04-14,5.8895
2020-04-15,3.85684
2020-04-16,12.33495
2020-04-17,15.41
2020-04-18,6.13273
2020-04-19,7.52258
2020-04-20,9.65948
2020-04-21,7.67894
2020-04-22,6.84503
2020-04-23,6.61917
2020-04-24,5.59416
2020-04-25,3.94371
2020-04-26,4.37804
2020-04-27,6.56706
2020-04-28,6.23697
2020-04-29,5.55941
2020-04-30,3.97845
2020-05-01,3.33564
2020-05-02,3.92633
2020-05-03,3.70048
2020-05-04,6.4107
2020-05-05,4.49965
2020-05-06,6.21959
2020-05-07,5.48992
2020-05-08,4.49965
2020-05-09,3.33564
2020-05-10,3.76997
2020-05-11,6.09798
2020-05-12,6.56706
2020-05-13,5.28144
2020-05-14,5.61153
2020-05-15,6.30646
2020-05-16,4.13481
2020-05-17,4.43015
2020-05-18,7.69631
2020-05-19,6.02849
2020-05-20,6.61917
2020-05-21,5.57678
2020-05-22,4.96872
2020-05-23,3.02293
2020-05-24,4.0132
2020-05-25,6.42807
2020-05-26,5.61153
2020-05-27,5.83738
2020-05-28,13.91591
2020-05-29,8.09589
2020-05-30,3.76997
2020-05-31,6.08061
2020-06-01,8.56497
2020-06-02,8.30437
2020-06-03,6.84503
2020-06-04,6.46282
2020-06-05,5.38568
2020-06-06,4.22168
2020-06-07,4.9861
2020-06-08,7.47046
2020-06-09,6.49756
2020-06-10,6.87977
2020-06-11,7.5747
2020-06-12,5.61153
