date,실시간해외증시
2020-03-20,79.07962
2020-03-21,48.95549
2020-03-22,10.65697
2020-03-23,68.11989
2020-03-24,100.0
2020-03-25,90.49349
2020-03-26,93.49076
2020-03-27,76.20345
2020-03-28,39.81229
2020-03-29,9.3854
2020-03-30,43.71783
2020-03-31,60.82349
2020-04-01,68.21071
2020-04-02,69.75476
2020-04-03,52.01332
2020-04-04,27.1874
2020-04-05,7.41749
2020-04-06,30.48743
2020-04-07,48.98577
2020-04-08,50.8023
2020-04-09,51.22615
2020-04-10,44.14168
2020-04-11,19.6488
2020-04-12,6.75143
2020-04-13,29.36724
2020-04-14,38.02603
2020-04-15,35.30124
2020-04-16,39.75174
2020-04-17,39.60036
2020-04-18,19.80018
2020-04-19,5.35876
2020-04-20,21.55616
2020-04-21,43.89948
2020-04-22,44.71692
2020-04-23,40.87193
2020-04-24,34.81683
2020-04-25,19.19467
2020-04-26,4.54132
2020-04-27,19.25522
2020-04-28,37.48107
2020-04-29,32.84892
2020-04-30,28.00484
2020-05-01,27.73236
2020-05-02,17.43869
2020-05-03,4.84408
2020-05-04,17.59006
2020-05-05,30.97184
2020-05-06,31.84983
2020-05-07,34.66545
2020-05-08,30.82046
2020-05-09,16.25794
2020-05-10,3.87526
2020-05-11,18.22585
2020-05-12,31.24432
2020-05-13,33.87829
2020-05-14,35.42234
2020-05-15,31.21404
2020-05-16,15.92491
2020-05-17,4.08719
2020-05-18,17.07538
2020-05-19,34.8471
2020-05-20,33.51498
2020-05-21,30.82046
2020-05-22,27.64153
2020-05-23,14.74417
2020-05-24,3.99636
2020-05-25,16.22767
2020-05-26,26.03693
2020-05-27,27.91401
2020-05-28,30.72963
2020-05-29,27.27823
2020-05-30,16.34877
2020-05-31,3.90554
2020-06-01,15.62216
2020-06-02,26.76354
2020-06-03,28.73145
2020-06-04,29.24613
2020-06-05,26.15803
2020-06-06,13.8359
2020-06-07,2.72479
2020-06-08,14.83499
2020-06-09,30.24523
2020-06-10,29.82137
2020-06-11,33.27278
2020-06-12,42.74901
2020-06-13,21.3745
2020-06-14,3.99636
2020-06-15,27.3085
2020-06-16,40.23614
2020-06-17,34.63518
2020-06-18,31.72873
2020-06-19,27.70208
2020-06-20,15.3194
2020-06-21,3.48168
2020-06-22,13.26067
2020-06-23,26.70299
2020-06-24,30.97184
2020-06-25,40.02422
2020-06-26,29.76082
2020-06-27,18.0442
2020-06-28,4.02664
2020-06-29,22.91855
2020-06-30,36.42143
2020-07-01,32.8792
2020-07-02,29.9122
2020-07-03,26.76354
2020-07-04,11.92854
2020-07-05,3.39085
2020-07-06,15.34968
2020-07-07,30.00302
2020-07-08,28.18649
2020-07-09,29.42779
2020-07-10,26.00666
2020-07-11,12.44323
2020-07-12,3.54223
2020-07-13,14.56251
2020-07-14,32.06176
2020-07-15,31.3957
2020-07-16,29.00393
2020-07-17,24.61398
2020-07-18,11.83772
2020-07-19,3.0881
2020-07-20,14.65334
2020-07-21,25.73418
2020-07-22,26.18831
2020-07-23,25.12867
2020-07-24,24.12957
2020-07-25,14.25976
2020-07-26,3.11837
2020-07-27,10.83863
2020-07-28,23.28186
2020-07-29,24.0993
2020-07-30,26.12776
2020-07-31,26.43051
2020-08-01,12.3524
2020-08-02,2.24038
2020-08-03,9.96064
2020-08-04,19.13412
2020-08-05,19.58825
2020-08-06,22.13139
2020-08-07,20.07266
2020-08-08,11.50469
2020-08-09,2.24038
2020-08-10,10.53587
2020-08-11,22.25249
2020-08-12,22.6158
2020-08-13,20.64789
2020-08-14,20.98092
2020-08-15,10.02119
2020-08-16,2.089
2020-08-17,12.92764
2020-08-18,20.22403
2020-08-19,23.06993
2020-08-20,25.61307
2020-08-21,21.70753
2020-08-22,11.44414
2020-08-23,3.0881
2020-08-24,11.83772
2020-08-25,23.40296
2020-08-26,24.06902
2020-08-27,22.91855
2020-08-28,20.82954
2020-08-29,9.96064
2020-08-30,2.42204
2020-08-31,11.71662
2020-09-01,21.85891
2020-09-02,20.85982
2020-09-03,25.18922
2020-09-04,37.8141
2020-09-05,23.00938
2020-09-06,3.78443
2020-09-07,13.7148
2020-09-08,29.39751
2020-09-09,36.87556
2020-09-10,30.0333
2020-09-11,28.33787
2020-09-12,17.19648
2020-09-13,3.42113
2020-09-14,13.98728
2020-09-15,23.85709
2020-09-16,24.00847
2020-09-17,27.64153
2020-09-18,25.43142
2020-09-19,14.65334
2020-09-20,2.75507
2020-09-21,20.28458
2020-09-22,37.4508
2020-09-23,33.09112
2020-09-24,41.78019
2020-09-25,31.27459
2020-09-26,16.89373
2020-09-27,4.66242
2020-09-28,15.0772
2020-09-29,23.64517
2020-09-30,19.28549
2020-10-01,19.86073
2020-10-02,27.94429
2020-10-03,20.28458
2020-10-04,5.60096
2020-10-05,15.01665
2020-10-06,24.19013
2020-10-07,26.46079
2020-10-08,23.03966
2020-10-09,16.83318
2020-10-10,9.62761
2020-10-11,3.2092
2020-10-12,11.53496
2020-10-13,22.28277
2020-10-14,22.46442
2020-10-15,29.60944
2020-10-16,25.37087
2020-10-17,14.13866
2020-10-18,3.42113
2020-10-19,13.56342
2020-10-20,25.12867
2020-10-21,26.06721
2020-10-22,27.33878
2020-10-23,22.88828
2020-10-24,11.74689
2020-10-25,2.75507
2020-10-26,15.77353
2020-10-27,27.39933
2020-10-28,32.69754
2020-10-29,33.87829
2020-10-30,25.7039
2020-10-31,15.56161
2020-11-01,3.02755
2020-11-02,18.43778
2020-11-03,27.64153
2020-11-04,27.3085
2020-11-05,27.88374
2020-11-06,23.82682
2020-11-07,12.68543
2020-11-08,2.42204
2020-11-09,19.73963
2020-11-10,34.33242
2020-11-11,29.63972
2020-11-12,26.27914
2020-11-13,23.70572
2020-11-14,12.01937
2020-11-15,2.69452
2020-11-16,13.56342
2020-11-17,25.34059
2020-11-18,25.09839
2020-11-19,28.06539
2020-11-20,21.70753
2020-11-21,12.26158
2020-11-22,2.93672
2020-11-23,11.32303
2020-11-24,22.79745
2020-11-25,21.43505
2020-11-26,22.16167
2020-11-27,15.95519
2020-11-28,9.90009
2020-11-29,1.99818
2020-11-30,10.26339
2020-12-01,18.55888
2020-12-02,20.04238
2020-12-03,20.92037
2020-12-04,18.95246
2020-12-05,10.6267
2020-12-06,2.69452
2020-12-07,10.14229
2020-12-08,19.10384
2020-12-09,20.58734
2020-12-10,24.85619
2020-12-11,20.52679
2020-12-12,12.1102
2020-12-13,2.81562
2020-12-14,10.38449
2020-12-15,20.58734
2020-12-16,20.64789
2020-12-17,19.6488
2020-12-18,16.924
2020-12-19,10.44504
2020-12-20,2.24038
2020-12-21,18.52861
2020-12-22,27.79291
2020-12-23,25.9461
2020-12-24,19.37632
2020-12-25,10.56615
2020-12-26,2.57341
2020-12-27,1.81653
2020-12-28,10.29367
2020-12-29,18.80108
2020-12-30,17.49924
2020-12-31,11.50469
2021-01-01,5.20738
2021-01-02,1.18074
2021-01-03,1.39267
2021-01-04,8.87072
2021-01-05,22.9791
2021-01-06,23.03966
2021-01-07,22.52497
2021-01-08,20.55706
2021-01-09,11.86799
2021-01-10,2.17983
2021-01-11,12.65516
2021-01-12,24.94701
2021-01-13,23.64517
2021-01-14,22.37359
2021-01-15,20.25431
2021-01-16,12.86709
2021-01-17,3.02755
2021-01-18,13.07901
2021-01-19,22.58552
2021-01-20,21.19285
2021-01-21,20.61762
2021-01-22,19.58825
2021-01-23,12.1102
2021-01-24,2.63396
2021-01-25,10.7478
2021-01-26,24.03875
2021-01-27,23.37269
2021-01-28,32.84892
