date,양도소득세
2020-03-20,15.19498
2020-03-21,11.69911
2020-03-22,10.89144
2020-03-23,16.66566
2020-03-24,15.56265
2020-03-25,16.21963
2020-03-26,15.71936
2020-03-27,13.87499
2020-03-28,10.68048
2020-03-29,10.40925
2020-03-30,17.81086
2020-03-31,16.93086
2020-04-01,15.14073
2020-04-02,15.46621
2020-04-03,13.79663
2020-04-04,10.42131
2020-04-05,9.60761
2020-04-06,14.94786
2020-04-07,15.05032
2020-04-08,18.99222
2020-04-09,17.41908
2020-04-10,13.94732
2020-04-11,10.86131
2020-04-12,10.59007
2020-04-13,16.53306
2020-04-14,15.06238
2020-04-15,10.93363
2020-04-16,16.961
2020-04-17,15.05032
2020-04-18,12.26568
2020-04-19,12.37417
2020-04-20,19.23331
2020-04-21,17.89524
2020-04-22,18.00976
2020-04-23,16.75004
2020-04-24,15.25525
2020-04-25,11.33747
2020-04-26,10.82514
2020-04-27,17.88318
2020-04-28,17.51552
2020-04-29,15.65306
2020-04-30,11.58459
2020-05-01,13.98348
2020-05-02,10.09583
2020-05-03,12.0065
2020-05-04,16.13525
2020-05-05,13.7243
2020-05-06,20.64974
2020-05-07,17.47935
2020-05-08,14.86348
2020-05-09,13.00705
2020-05-10,12.47664
2020-05-11,28.53354
2020-05-12,24.68205
2020-05-13,20.58344
2020-05-14,18.4377
2020-05-15,17.82291
2020-05-16,13.76047
2020-05-17,13.98348
2020-05-18,19.96263
2020-05-19,19.5166
2020-05-20,21.59001
2020-05-21,19.98071
2020-05-22,17.44319
2020-05-23,15.35772
2020-05-24,14.75498
2020-05-25,21.72864
2020-05-26,22.22289
2020-05-27,19.70345
2020-05-28,19.37194
2020-05-29,17.51552
2020-05-30,13.51335
2020-05-31,13.12157
2020-06-01,20.95111
2020-06-02,18.70893
2020-06-03,19.03441
2020-06-04,16.84648
2020-06-05,17.75661
2020-06-06,15.51443
2020-06-07,13.54348
2020-06-08,21.66234
2020-06-09,19.80591
2020-06-10,23.44041
2020-06-11,25.8152
2020-06-12,21.46344
2020-06-13,17.03935
2020-06-14,16.29196
2020-06-15,34.85021
2020-06-16,35.97733
2020-06-17,39.3406
2020-06-18,33.4157
2020-06-19,26.40588
2020-06-20,18.32921
2020-06-21,23.64534
2020-06-22,32.60201
2020-06-23,34.57296
2020-06-24,32.28256
2020-06-25,94.714
2020-06-26,38.7017
2020-06-27,23.37411
2020-06-28,22.01796
2020-06-29,30.43818
2020-06-30,29.57627
2020-07-01,25.76698
2020-07-02,26.32149
2020-07-03,24.77849
2020-07-04,20.31824
2020-07-05,22.19275
2020-07-06,35.68199
2020-07-07,56.18106
2020-07-08,63.09444
2020-07-09,54.80682
2020-07-10,100.0
2020-07-11,48.53836
2020-07-12,42.19154
2020-07-13,50.56958
2020-07-14,48.05617
2020-07-15,39.5395
2020-07-16,34.57296
2020-07-17,38.21951
2020-07-18,26.36369
2020-07-19,30.93846
