date,신규사업자대출
2020-03-20,49.31506
2020-03-21,19.17808
2020-03-22,19.17808
2020-03-23,59.58904
2020-03-24,44.17808
2020-03-25,60.27397
2020-03-26,41.43835
2020-03-27,46.23287
2020-03-28,15.41095
2020-03-29,17.12328
2020-03-30,57.53424
2020-03-31,52.05479
2020-04-01,57.53424
2020-04-02,54.10958
2020-04-03,40.75342
2020-04-04,21.9178
2020-04-05,17.46575
2020-04-06,48.28767
2020-04-07,51.36986
2020-04-08,47.9452
2020-04-09,33.56164
2020-04-10,19.17808
2020-04-11,15.75342
2020-04-12,12.32876
2020-04-13,48.28767
2020-04-14,36.30136
2020-04-15,20.20547
2020-04-16,41.43835
2020-04-17,29.45205
2020-04-18,7.87671
2020-04-19,15.06849
2020-04-20,46.23287
2020-04-21,42.12328
2020-04-22,40.41095
2020-04-23,37.32876
2020-04-24,28.42465
2020-04-25,14.04109
2020-04-26,14.04109
2020-04-27,41.09589
2020-04-28,39.38356
2020-04-29,32.19178
2020-04-30,22.26027
2020-05-01,15.75342
2020-05-02,10.27397
2020-05-03,11.64383
2020-05-04,33.21917
2020-05-05,14.04109
2020-05-06,29.45205
2020-05-07,29.79452
2020-05-08,30.47945
2020-05-09,14.72602
2020-05-10,11.30136
2020-05-11,32.19178
2020-05-12,30.47945
2020-05-13,30.47945
2020-05-14,29.79452
2020-05-15,21.9178
2020-05-16,14.38356
2020-05-17,17.80821
2020-05-18,39.04109
2020-05-19,31.84931
2020-05-20,26.36986
2020-05-21,21.9178
2020-05-22,15.06849
2020-05-23,14.04109
2020-05-24,7.53424
2020-05-25,28.42465
2020-05-26,18.15068
2020-05-27,27.39726
2020-05-28,19.17808
2020-05-29,17.46575
2020-05-30,7.53424
2020-05-31,7.19178
2020-06-01,22.9452
2020-06-02,16.78082
2020-06-03,22.9452
2020-06-04,22.9452
2020-06-05,17.46575
2020-06-06,8.21917
2020-06-07,4.79452
2020-06-08,19.52054
2020-06-09,21.23287
2020-06-10,20.20547
2020-06-11,15.41095
2020-06-12,18.49315
2020-06-13,5.13698
2020-06-14,7.53424
2020-06-15,25.68493
2020-06-16,28.08219
2020-06-17,27.39726
2020-06-18,16.43835
2020-06-19,19.86301
2020-06-20,11.9863
2020-06-21,7.53424
2020-06-22,27.39726
2020-06-23,32.19178
2020-06-24,23.63013
2020-06-25,25.34246
2020-06-26,23.63013
