date,성년후견인신청
2020-03-20,7.60456
2020-03-21,1.52091
2020-03-22,2.37642
2020-03-23,10.26615
2020-03-24,8.74524
2020-03-25,8.93536
2020-03-26,7.5095
2020-03-27,5.98859
2020-03-28,1.42585
2020-03-29,1.42585
2020-03-30,7.22433
2020-03-31,5.41825
2020-04-01,6.65399
2020-04-02,5.22813
2020-04-03,5.98859
2020-04-04,1.61596
2020-04-05,2.28136
2020-04-06,5.98859
2020-04-07,6.74904
2020-04-08,4.94296
2020-04-09,5.98859
2020-04-10,4.94296
2020-04-11,3.04182
2020-04-12,0.95057
2020-04-13,7.60456
2020-04-14,7.69961
2020-04-15,1.71102
2020-04-16,5.70342
2020-04-17,6.1787
2020-04-18,0.66539
2020-04-19,1.52091
2020-04-20,6.74904
2020-04-21,3.61216
2020-04-22,5.5133
2020-04-23,4.75285
2020-04-24,4.65779
2020-04-25,0.95057
2020-04-26,1.14068
2020-04-27,5.32319
2020-04-28,5.79847
2020-04-29,6.46387
2020-04-30,3.13688
2020-05-01,3.51711
2020-05-03,1.23574
2020-05-04,6.1787
2020-05-05,1.33079
2020-05-06,8.65019
2020-05-07,9.60076
2020-05-08,10.93155
2020-05-09,4.94296
2020-05-10,6.55893
2020-05-11,14.44866
2020-05-12,16.44486
2020-05-13,18.91634
2020-05-14,13.97338
2020-05-15,14.63878
2020-05-16,5.41825
2020-05-17,2.75665
2020-05-18,17.11026
2020-05-19,16.3498
2020-05-20,18.346
2020-05-21,18.44106
2020-05-22,16.06463
2020-05-23,6.1787
2020-05-24,3.32699
2020-05-25,16.3498
2020-05-26,13.21292
2020-05-27,11.88212
2020-05-28,13.78326
2020-05-29,10.45627
2020-05-30,5.13307
2020-05-31,5.13307
2020-06-01,10.74144
2020-06-02,11.59695
2020-06-03,11.02661
2020-06-04,10.55133
2020-06-05,10.36121
2020-06-06,4.65779
2020-06-07,3.80228
2020-06-08,12.35741
2020-06-09,11.12167
2020-06-10,11.69201
2020-06-11,13.30798
2020-06-12,9.5057
2020-06-13,3.89733
2020-06-14,3.23193
2020-06-15,14.63878
2020-06-16,11.12167
2020-06-17,12.64258
2020-06-18,13.78326
2020-06-19,15.01901
2020-06-20,5.41825
2020-06-21,7.41444
2020-06-22,16.06463
2020-06-23,16.44486
2020-06-24,17.58555
2020-06-25,14.35361
2020-06-26,14.35361
2020-06-27,6.1787
2020-06-28,5.70342
2020-06-29,13.97338
2020-06-30,14.73384
2020-07-01,12.83269
2020-07-02,15.87452
2020-07-03,14.92395
2020-07-04,4.8479
2020-07-05,5.41825
2020-07-06,12.83269
2020-07-07,17.58555
2020-07-08,15.68441
2020-07-09,12.35741
2020-07-10,11.40684
2020-07-11,5.70342
2020-07-12,5.03802
2020-07-13,13.30798
2020-07-14,11.78707
2020-07-15,15.39923
2020-07-16,15.58935
2020-07-17,15.87452
2020-07-18,6.55893
2020-07-19,5.70342
2020-07-20,19.29657
2020-07-21,22.14828
2020-07-22,18.06083
2020-07-23,13.49809
2020-07-24,14.35361
2020-07-25,7.12927
2020-07-26,4.56273
2020-07-27,19.10646
2020-07-28,19.58174
2020-07-29,17.49049
2020-07-30,19.86692
2020-07-31,100.0
2020-08-01,21.76806
2020-08-02,8.46007
2020-08-03,18.06083
2020-08-04,23.0038
2020-08-05,18.346
2020-08-06,17.39543
2020-08-07,15.68441
2020-08-08,7.5095
2020-08-09,9.5057
2020-08-10,17.58555
2020-08-11,18.72623
2020-08-12,17.0152
2020-08-13,15.01901
2020-08-14,15.77946
2020-08-15,5.98859
2020-08-16,7.88973
2020-08-17,7.5095
2020-08-18,18.63117
2020-08-19,15.96958
2020-08-20,17.77566
2020-08-21,13.97338
2020-08-22,6.93916
2020-08-23,5.41825
2020-08-24,18.25095
2020-08-25,20.15209
2020-08-26,18.06083
2020-08-27,16.25475
2020-08-28,14.44866
2020-08-29,5.89353
2020-08-30,6.8441
2020-08-31,18.06083
2020-09-01,14.44866
2020-09-02,15.49429
2020-09-03,14.25855
2020-09-04,14.54372
2020-09-05,5.70342
2020-09-06,7.12927
2020-09-07,15.49429
2020-09-08,17.58555
2020-09-09,18.25095
2020-09-10,18.63117
2020-09-11,15.49429
2020-09-12,7.12927
2020-09-13,5.79847
2020-09-14,16.53992
2020-09-15,16.3498
2020-09-16,17.87072
2020-09-17,18.15589
2020-09-18,15.01901
2020-09-19,6.36882
2020-09-20,3.80228
2020-09-21,17.0152
2020-09-22,17.87072
2020-09-23,17.58555
2020-09-24,16.73003
2020-09-25,12.35741
2020-09-26,7.03422
2020-09-27,5.03802
2020-09-28,16.06463
2020-09-29,11.97718
2020-09-30,4.75285
2020-10-01,5.32319
2020-10-02,6.93916
2020-10-03,4.75285
2020-10-04,5.32319
2020-10-05,19.48669
2020-10-06,15.96958
2020-10-07,18.53612
2020-10-08,20.43726
2020-10-09,6.74904
2020-10-10,3.32699
2020-10-11,5.5133
2020-10-12,19.58174
2020-10-13,20.91254
2020-10-14,15.68441
2020-10-15,14.25855
2020-10-16,11.88212
2020-10-17,4.8479
2020-10-18,3.99239
2020-10-19,13.11787
2020-10-20,13.49809
2020-10-21,15.01901
2020-10-22,12.07224
2020-10-23,13.02281
2020-10-24,2.56653
2020-10-25,3.42205
2020-10-26,14.54372
2020-10-27,14.82889
2020-10-28,15.30418
2020-10-29,14.16349
2020-10-30,10.55133
2020-10-31,7.12927
2020-11-01,3.51711
2020-11-02,14.44866
2020-11-03,16.25475
2020-11-04,17.87072
