date,벤처투자소득공제
2020-03-25,2.5641
2020-03-26,2.13675
2020-03-27,5.55555
2020-03-30,2.13675
2020-04-02,2.5641
2020-04-03,2.13675
2020-04-08,3.84615
2020-04-09,2.13675
2020-04-15,2.13675
2020-04-16,2.13675
2020-04-20,4.70085
2020-04-21,6.41025
2020-04-23,2.99145
2020-04-24,2.13675
2020-04-27,2.99145
2020-04-28,3.84615
2020-04-29,2.13675
2020-05-01,2.5641
2020-05-02,4.2735
2020-05-04,7.26495
2020-05-05,4.2735
2020-05-06,3.4188
2020-05-07,4.70085
2020-05-08,3.4188
2020-05-09,3.4188
2020-05-10,3.84615
2020-05-11,2.99145
2020-05-12,7.26495
2020-05-13,9.82905
2020-05-14,11.53846
2020-05-15,7.6923
2020-05-16,2.13675
2020-05-17,2.13675
2020-05-18,6.41025
2020-05-19,8.11965
2020-05-20,8.97435
2020-05-21,3.84615
2020-05-22,3.84615
2020-05-24,6.41025
2020-05-25,6.8376
2020-05-26,4.70085
2020-05-27,11.11111
2020-05-28,11.96581
2020-05-29,5.1282
2020-05-31,2.99145
2020-06-01,7.26495
2020-06-02,6.41025
2020-06-03,2.13675
2020-06-04,2.5641
2020-06-05,4.70085
2020-06-06,2.99145
2020-06-07,2.5641
2020-06-08,2.13675
2020-06-09,2.99145
2020-06-10,3.84615
2020-06-11,5.9829
2020-06-12,2.13675
2020-06-16,8.97435
2020-06-17,3.4188
2020-06-18,11.53846
2020-06-19,3.84615
2020-06-20,2.13675
2020-06-21,3.4188
2020-06-22,9.82905
2020-06-23,7.6923
2020-06-24,2.5641
2020-06-25,5.55555
2020-06-28,2.13675
2020-06-29,9.4017
2020-06-30,3.84615
2020-07-01,2.5641
2020-07-02,2.13675
2020-07-07,5.1282
2020-07-08,4.2735
2020-07-09,2.5641
2020-07-10,7.26495
2020-07-11,3.4188
2020-07-12,2.99145
2020-07-16,2.99145
2020-07-17,6.41025
2020-07-18,2.13675
2020-07-19,2.99145
2020-07-20,3.84615
2020-07-21,8.11965
2020-07-22,5.55555
2020-07-23,5.55555
2020-07-25,4.70085
2020-07-27,5.55555
2020-07-28,2.99145
2020-07-29,2.99145
2020-07-30,6.8376
2020-07-31,7.6923
2020-08-01,3.4188
2020-08-02,2.99145
2020-08-03,3.4188
2020-08-04,6.41025
2020-08-05,20.51282
2020-08-06,8.97435
2020-08-07,5.55555
2020-08-09,2.99145
2020-08-10,5.9829
2020-08-11,3.84615
2020-08-12,5.55555
2020-08-13,9.82905
2020-08-14,2.5641
2020-08-18,6.41025
2020-08-19,8.97435
2020-08-20,5.55555
2020-08-21,2.5641
2020-08-23,2.99145
2020-08-25,3.84615
2020-08-26,5.9829
2020-08-27,2.5641
2020-08-28,2.5641
2020-08-31,2.13675
2020-09-02,4.2735
2020-09-03,4.2735
2020-09-04,3.84615
2020-09-05,3.4188
2020-09-06,3.4188
2020-09-07,7.26495
2020-09-08,11.96581
2020-09-09,7.26495
2020-09-10,3.84615
2020-09-11,2.99145
2020-09-12,2.13675
2020-09-14,2.5641
2020-09-15,5.1282
2020-09-16,2.99145
2020-09-17,2.13675
2020-09-18,6.41025
2020-09-19,4.2735
2020-09-20,2.5641
2020-09-21,5.55555
2020-09-22,2.13675
2020-09-23,5.9829
2020-09-24,4.2735
2020-09-25,4.70085
2020-09-28,7.6923
2020-10-04,2.13675
2020-10-05,2.99145
2020-10-06,6.41025
2020-10-07,2.13675
2020-10-08,7.6923
2020-10-11,2.13675
2020-10-12,6.8376
2020-10-13,4.70085
2020-10-15,2.5641
2020-10-16,2.5641
2020-10-19,5.1282
2020-10-20,2.5641
2020-10-21,8.97435
2020-10-22,8.97435
2020-10-23,4.70085
2020-10-24,2.13675
2020-10-26,5.55555
2020-10-28,11.11111
2020-10-29,6.41025
2020-10-30,2.5641
2020-10-31,3.84615
2020-11-02,5.1282
2020-11-03,5.9829
2020-11-04,6.8376
2020-11-05,5.1282
2020-11-07,2.5641
2020-11-09,10.68376
2020-11-10,5.1282
2020-11-11,4.70085
2020-11-12,7.26495
2020-11-13,4.2735
2020-11-15,4.70085
2020-11-16,8.547
2020-11-17,2.99145
2020-11-18,2.13675
2020-11-19,8.547
2020-11-20,2.13675
2020-11-22,4.70085
2020-11-23,8.97435
2020-11-24,8.11965
2020-11-25,2.13675
2020-11-26,8.547
2020-11-27,7.6923
2020-11-28,4.2735
2020-11-30,6.8376
2020-12-01,5.9829
2020-12-02,7.6923
2020-12-03,9.4017
2020-12-04,14.95726
2020-12-05,4.2735
2020-12-06,3.84615
2020-12-07,9.82905
2020-12-08,16.23931
2020-12-09,14.52991
2020-12-10,21.36752
2020-12-11,18.80341
2020-12-12,6.8376
2020-12-13,6.8376
2020-12-14,20.51282
2020-12-15,13.24786
2020-12-16,8.97435
2020-12-17,17.94871
2020-12-18,10.25641
2020-12-19,7.6923
2020-12-20,8.11965
2020-12-21,16.66666
2020-12-22,17.52136
