date,나스닥종합
2020-12-04,0.03216
2020-12-05,0.01801
2020-12-06,0.009
2020-12-07,0.01029
2020-12-08,0.0283
2020-12-09,0.03988
2020-12-10,0.04117
2020-12-11,0.05403
2020-12-12,0.02701
2020-12-14,0.01543
2020-12-15,0.02187
2020-12-16,0.01929
2020-12-17,0.03602
2020-12-18,0.04631
2020-12-19,0.01415
2020-12-20,0.01801
2020-12-21,0.0283
2020-12-22,0.06433
2020-12-23,0.04374
2020-12-24,0.04889
2020-12-25,0.02959
2020-12-26,0.009
2020-12-28,0.02315
2020-12-29,0.02701
2020-12-30,0.04117
2020-12-31,0.02315
2021-01-01,0.02187
2021-01-02,0.009
2021-01-03,0.00771
2021-01-04,0.02058
2021-01-05,0.05789
2021-01-06,0.04503
2021-01-07,0.05532
2021-01-08,0.04117
2021-01-09,0.03859
2021-01-11,0.03859
2021-01-12,0.06304
2021-01-13,0.04503
2021-01-14,0.03216
2021-01-15,0.04245
2021-01-16,0.03345
2021-01-17,0.01415
2021-01-18,0.02187
2021-01-19,0.02444
2021-01-20,0.04503
2021-01-21,0.04631
2021-01-22,0.05275
2021-01-23,0.03087
2021-01-24,0.02573
2021-01-25,0.04117
2021-01-26,0.05918
2021-01-27,0.04503
2021-01-28,0.10421
2021-01-29,0.09135
2021-01-30,0.05403
2021-01-31,0.00771
2021-02-01,0.02701
2021-02-02,0.07462
2021-02-03,0.05017
2021-02-04,0.07205
2021-02-05,0.03731
2021-02-06,0.04117
2021-02-08,0.01672
2021-02-09,0.03602
2021-02-10,0.04245
2021-02-11,0.0476
2021-02-12,0.03988
2021-02-13,0.02444
2021-02-14,0.00643
2021-02-15,0.01286
2021-02-16,0.02573
2021-02-17,0.04117
2021-02-18,0.06947
2021-02-19,0.07977
2021-02-20,0.03988
2021-02-21,0.009
2021-02-22,0.03859
2021-02-23,0.11064
2021-02-24,0.16211
2021-02-25,0.12222
2021-02-26,0.1827
2021-02-27,0.1055
2021-02-28,0.02058
2021-03-01,0.05789
2021-03-02,0.14152
2021-03-03,0.10035
2021-03-04,0.16082
2021-03-05,0.1531
2021-03-06,0.15568
2021-03-07,0.02959
2021-03-08,0.07848
2021-03-09,0.20457
2021-03-10,0.18012
2021-03-11,0.15825
