date,천지창조그림
2020-03-20,2.71739
2020-03-22,2.71739
2020-03-23,3.26086
2020-03-24,7.60869
2020-03-28,3.80434
2020-04-04,2.71739
2020-04-08,5.43478
2020-04-10,2.71739
2020-04-12,3.80434
2020-04-15,2.71739
2020-04-21,3.80434
2020-04-25,2.71739
2020-05-30,2.71739
2020-06-01,2.71739
2020-06-07,2.71739
2020-06-11,2.71739
2020-06-12,2.71739
2020-06-13,2.71739
2020-06-15,3.26086
2020-06-16,3.80434
2020-06-17,2.71739
2020-06-21,2.71739
2020-07-01,3.26086
2020-07-02,2.71739
2020-07-05,3.26086
2020-07-08,4.8913
2020-07-11,2.71739
2020-07-13,5.97826
2020-07-20,3.80434
2020-07-21,2.71739
2020-07-23,4.34782
2020-07-25,2.71739
2020-07-26,3.26086
2020-07-29,2.71739
2020-08-02,3.80434
2020-08-08,3.26086
2020-08-10,4.34782
2020-08-12,2.71739
2020-08-14,4.34782
2020-08-15,2.71739
2020-08-20,6.52173
2020-08-21,6.52173
2020-08-22,2.71739
2020-08-26,3.26086
2020-09-06,2.71739
2020-09-07,13.04347
2020-09-08,4.8913
2020-09-09,2.71739
2020-09-10,2.71739
2020-09-12,5.97826
2020-09-16,2.71739
2020-09-21,4.8913
2020-09-24,3.26086
2020-09-26,2.71739
2020-10-06,3.26086
2020-10-08,3.80434
2020-10-12,2.71739
2020-10-14,3.26086
2020-10-17,2.71739
2020-10-18,2.71739
2020-10-19,7.60869
2020-10-25,3.80434
2020-10-27,9.7826
2020-11-01,2.71739
2020-11-02,2.71739
2020-11-05,6.52173
2020-11-09,3.80434
2020-11-11,3.26086
2020-11-12,3.26086
2020-11-13,3.26086
2020-11-16,2.71739
2020-11-20,2.71739
2020-11-21,2.71739
2020-11-22,2.71739
2020-11-29,2.71739
2020-12-05,3.80434
2020-12-06,2.71739
2020-12-21,2.71739
2020-12-28,3.80434
2020-12-29,3.26086
2020-12-31,3.26086
2021-01-03,3.80434
2021-01-07,2.71739
2021-01-09,3.80434
2021-01-10,4.8913
2021-01-11,6.52173
2021-01-12,2.71739
2021-01-13,5.43478
2021-01-15,3.80434
2021-01-16,4.34782
2021-01-17,4.34782
2021-01-19,5.97826
2021-01-29,3.80434
2021-01-31,3.80434
2021-02-03,3.26086
