date,중고노트북매입
2020-03-20,82.08955
2020-03-21,67.53731
2020-03-22,64.1791
2020-03-23,69.40298
2020-03-24,76.1194
2020-03-25,66.41791
2020-03-26,70.89552
2020-03-27,74.25373
2020-03-28,49.25373
2020-03-29,64.92537
2020-03-30,81.34328
2020-03-31,72.76119
2020-04-01,81.71641
2020-04-02,63.43283
2020-04-03,71.26865
2020-04-04,47.38805
2020-04-05,65.2985
2020-04-06,66.79104
2020-04-07,60.82089
2020-04-08,65.67164
2020-04-09,61.94029
2020-04-10,58.58208
2020-04-11,49.25373
2020-04-12,62.31343
2020-04-13,79.85074
2020-04-14,63.43283
2020-04-15,63.43283
2020-04-16,67.16417
2020-04-17,54.85074
2020-04-18,53.3582
2020-04-19,51.49253
2020-04-20,77.61194
2020-04-21,66.04477
2020-04-22,72.38805
2020-04-23,64.1791
2020-04-24,49.25373
2020-04-25,45.89552
2020-04-26,42.16417
2020-04-27,81.34328
2020-04-28,62.31343
2020-04-29,46.64179
2020-04-30,44.40298
2020-05-01,39.92537
2020-05-02,42.16417
2020-05-03,32.08955
2020-05-04,59.32835
2020-05-05,62.68656
2020-05-06,57.08955
2020-05-07,62.68656
2020-05-08,46.64179
2020-05-09,38.43283
2020-05-10,52.98507
2020-05-11,59.32835
2020-05-12,61.94029
2020-05-13,56.34328
2020-05-14,48.88059
2020-05-15,45.14925
2020-05-16,41.79104
2020-05-17,39.55223
2020-05-18,49.62686
2020-05-19,60.82089
2020-05-20,61.94029
2020-05-21,64.55223
2020-05-22,55.59701
2020-05-23,50.0
2020-05-24,39.1791
2020-05-25,57.83582
2020-05-26,44.77611
2020-05-27,54.10447
2020-05-28,50.74626
2020-05-29,45.52238
2020-05-30,51.86567
2020-05-31,47.38805
2020-06-01,58.58208
2020-06-02,62.31343
2020-06-03,60.07462
2020-06-04,52.98507
2020-06-05,41.04477
2020-06-06,41.79104
2020-06-07,37.68656
2020-06-08,59.70149
2020-06-09,57.08955
2020-06-10,58.20895
2020-06-11,67.16417
2020-06-12,49.62686
2020-06-13,45.14925
2020-06-14,38.43283
2020-06-15,44.40298
2020-06-16,47.01492
2020-06-17,60.07462
2020-06-18,62.31343
2020-06-19,49.25373
2020-06-20,54.85074
2020-06-21,52.61194
2020-06-22,56.71641
2020-06-23,44.77611
2020-06-24,47.01492
2020-06-25,54.10447
2020-06-26,42.53731
2020-06-27,36.56716
2020-06-28,37.31343
2020-06-29,42.91044
2020-06-30,48.88059
2020-07-01,42.16417
2020-07-02,55.97014
2020-07-03,49.25373
2020-07-04,43.65671
2020-07-05,42.91044
2020-07-06,51.86567
2020-07-07,43.65671
2020-07-08,51.1194
2020-07-09,50.0
2020-07-10,48.13432
2020-07-11,44.02985
2020-07-12,48.50746
2020-07-13,50.37313
2020-07-14,69.40298
2020-07-15,62.68656
2020-07-16,52.98507
2020-07-17,59.70149
2020-07-18,51.1194
2020-07-19,54.47761
2020-07-20,75.74626
2020-07-21,71.64179
2020-07-22,69.77611
2020-07-23,57.46268
2020-07-24,58.95522
2020-07-25,42.53731
2020-07-26,46.26865
2020-07-27,55.97014
2020-07-28,55.22388
2020-07-29,53.73134
2020-07-30,63.80597
2020-07-31,54.10447
2020-08-01,55.59701
2020-08-02,43.65671
2020-08-03,50.37313
2020-08-04,65.67164
2020-08-05,62.68656
2020-08-06,55.97014
2020-08-07,43.28358
2020-08-08,40.67164
2020-08-09,49.62686
2020-08-10,56.34328
2020-08-11,50.0
2020-08-12,57.08955
2020-08-13,45.14925
2020-08-14,37.31343
2020-08-15,37.68656
2020-08-16,42.53731
2020-08-17,50.74626
2020-08-18,67.16417
2020-08-19,64.55223
2020-08-20,58.95522
2020-08-21,50.0
2020-08-22,53.73134
2020-08-23,55.22388
2020-08-24,63.0597
2020-08-25,74.25373
2020-08-26,72.76119
2020-08-27,57.46268
2020-08-28,49.25373
2020-08-29,58.95522
2020-08-30,57.46268
2020-08-31,62.68656
2020-09-01,54.47761
2020-09-02,55.59701
2020-09-03,57.83582
2020-09-04,63.0597
2020-09-05,51.49253
2020-09-06,65.2985
2020-09-07,52.2388
2020-09-08,65.2985
2020-09-09,69.02985
2020-09-10,65.67164
2020-09-11,76.49253
2020-09-12,51.49253
2020-09-13,67.53731
2020-09-14,83.58208
2020-09-15,66.41791
2020-09-16,75.74626
2020-09-17,75.0
2020-09-18,73.13432
2020-09-19,66.41791
2020-09-20,72.01492
2020-09-21,72.01492
2020-09-22,81.34328
2020-09-23,70.89552
2020-09-24,72.76119
2020-09-25,70.14925
2020-09-26,64.55223
2020-09-27,72.38805
2020-09-28,70.14925
2020-09-29,47.76119
2020-09-30,47.38805
2020-10-01,35.07462
2020-10-02,48.50746
2020-10-03,42.91044
2020-10-04,71.64179
2020-10-05,77.61194
2020-10-06,63.80597
2020-10-07,61.56716
2020-10-08,60.44776
2020-10-09,57.08955
2020-10-10,55.97014
2020-10-11,58.58208
2020-10-12,69.77611
2020-10-13,55.59701
2020-10-14,68.28358
2020-10-15,62.31343
2020-10-16,58.95522
2020-10-17,42.91044
2020-10-18,57.46268
2020-10-19,70.52238
2020-10-20,62.31343
2020-10-21,52.61194
2020-10-22,56.71641
2020-10-23,41.41791
2020-10-24,47.01492
2020-10-25,51.49253
2020-10-26,64.1791
2020-10-27,46.64179
2020-10-28,52.61194
2020-10-29,41.04477
2020-10-30,44.02985
2020-10-31,39.92537
2020-11-01,57.08955
2020-11-02,63.43283
2020-11-03,57.83582
2020-11-04,68.28358
2020-11-05,51.1194
2020-11-06,35.82089
2020-11-07,59.70149
2020-11-08,42.91044
2020-11-09,57.46268
2020-11-10,51.86567
2020-11-11,47.76119
2020-11-12,55.59701
2020-11-13,39.55223
2020-11-14,45.14925
2020-11-15,30.22388
2020-11-16,52.2388
2020-11-17,64.55223
2020-11-18,60.82089
2020-11-19,57.08955
2020-11-20,49.25373
2020-11-21,39.1791
2020-11-22,47.76119
2020-11-23,55.97014
2020-11-24,51.1194
2020-11-25,69.40298
2020-11-26,55.97014
2020-11-27,61.94029
2020-11-28,44.77611
2020-11-29,45.89552
2020-11-30,52.98507
2020-12-01,40.67164
2020-12-02,56.34328
2020-12-03,57.08955
2020-12-04,63.80597
2020-12-05,57.08955
2020-12-06,48.13432
2020-12-07,55.59701
2020-12-08,63.80597
2020-12-09,65.2985
2020-12-10,49.25373
2020-12-11,65.2985
2020-12-12,46.26865
2020-12-13,60.07462
2020-12-14,57.46268
2020-12-15,54.10447
2020-12-16,66.04477
2020-12-17,63.0597
2020-12-18,54.10447
2020-12-19,67.53731
2020-12-20,64.55223
2020-12-21,80.59701
2020-12-22,58.95522
2020-12-23,72.76119
2020-12-24,52.98507
2020-12-25,57.08955
2020-12-26,52.98507
2020-12-27,60.82089
2020-12-28,73.50746
2020-12-29,68.28358
2020-12-30,62.68656
2020-12-31,59.70149
2021-01-01,63.0597
2021-01-02,76.49253
2021-01-03,100.0
2021-01-04,73.88059
2021-01-05,84.32835
2021-01-06,64.92537
2021-01-07,75.0
2021-01-08,73.88059
2021-01-09,69.40298
2021-01-10,69.02985
2021-01-11,76.86567
