date,AR
2020-03-20,48.33795
2020-03-21,66.52816
2020-03-22,42.84395
2020-03-23,49.76915
2020-03-24,50.18467
2020-03-25,50.92336
2020-03-26,55.95567
2020-03-27,51.61588
2020-03-28,36.01108
2020-03-29,41.78208
2020-03-30,48.24561
2020-03-31,44.6445
2020-04-01,49.95383
2020-04-02,56.46352
2020-04-03,47.04524
2020-04-04,30.51708
2020-04-05,31.48661
2020-04-06,48.84579
2020-04-07,55.17082
2020-04-08,53.04709
2020-04-09,57.71006
2020-04-10,45.24469
2020-04-11,33.24099
2020-04-12,36.38042
2020-04-13,51.52354
2020-04-14,55.49399
2020-04-15,44.13665
2020-04-16,55.35549
2020-04-17,51.80055
2020-04-18,32.73314
2020-04-19,37.76546
2020-04-20,63.80424
2020-04-21,70.91412
2020-04-22,64.08125
2020-04-23,62.51154
2020-04-24,60.48014
2020-04-25,33.24099
2020-04-26,37.58079
2020-04-27,63.06555
2020-04-28,58.49492
2020-04-29,56.00184
2020-04-30,39.33518
2020-05-01,43.81348
2020-05-02,36.19575
2020-05-03,35.73407
2020-05-04,46.76823
2020-05-05,44.18282
2020-05-06,58.12557
2020-05-07,50.69252
2020-05-08,44.09048
2020-05-09,33.42566
2020-05-10,39.98153
2020-05-11,52.58541
2020-05-12,54.06278
2020-05-13,52.67774
2020-05-14,58.44875
2020-05-15,48.06094
2020-05-16,36.79593
2020-05-17,31.99445
2020-05-18,67.22068
2020-05-19,66.34349
2020-05-20,57.84856
2020-05-21,56.69436
2020-05-22,53.6011
2020-05-23,36.56509
2020-05-24,38.27331
2020-05-25,56.14035
2020-05-26,62.69621
2020-05-27,53.27793
2020-05-28,48.89196
2020-05-29,42.28993
2020-05-30,34.30286
2020-05-31,41.64358
2020-06-01,50.69252
2020-06-02,54.6168
2020-06-03,52.03139
2020-06-04,59.23361
2020-06-05,49.16897
2020-06-06,33.88734
2020-06-07,37.44228
2020-06-08,53.09325
2020-06-09,55.44783
2020-06-10,54.66297
2020-06-11,55.58633
2020-06-12,48.52262
2020-06-13,45.24469
2020-06-14,39.33518
