date,환전
2020-03-20,42.63543
2020-03-21,19.77058
2020-03-22,17.70773
2020-03-23,33.62251
2020-03-24,29.15943
2020-03-25,27.91594
2020-03-26,25.81453
2020-03-27,26.35434
2020-03-28,14.53634
2020-03-29,14.69057
2020-03-30,23.13475
2020-03-31,23.29863
2020-04-01,22.76845
2020-04-02,21.74667
2020-04-03,20.0212
2020-04-04,12.86871
2020-04-05,12.53132
2020-04-06,21.14902
2020-04-07,22.83593
2020-04-08,22.08405
2020-04-09,21.14902
2020-04-10,20.10796
2020-04-11,12.71447
2020-04-12,12.38673
2020-04-13,20.26219
2020-04-14,19.95373
2020-04-15,15.65452
2020-04-16,20.96587
2020-04-17,22.75882
2020-04-18,13.52419
2020-04-19,12.65664
2020-04-20,20.14652
2020-04-21,22.46963
2020-04-22,21.08155
2020-04-23,20.00192
2020-04-24,18.78735
2020-04-25,12.5988
2020-04-26,12.70483
2020-04-27,21.95874
2020-04-28,20.21399
2020-04-29,20.13688
2020-04-30,14.23751
2020-05-01,13.90977
2020-05-02,11.76016
2020-05-03,11.73125
2020-05-04,20.66705
2020-05-05,15.12434
2020-05-06,21.78523
2020-05-07,19.58743
2020-05-08,19.79949
2020-05-09,12.24214
2020-05-10,11.88548
2020-05-11,19.66454
2020-05-12,18.93194
2020-05-13,18.00655
2020-05-14,17.54385
2020-05-15,16.92693
2020-05-16,11.96259
2020-05-17,11.57701
2020-05-18,18.63312
2020-05-19,18.82591
2020-05-20,18.16078
2020-05-21,17.52458
2020-05-22,17.139
2020-05-23,10.6709
2020-05-24,11.27819
2020-05-25,20.09832
2020-05-26,19.0187
2020-05-27,17.8716
2020-05-28,18.59456
2020-05-29,16.58955
2020-05-30,10.84441
2020-05-31,11.89512
2020-06-01,20.23327
2020-06-02,17.91016
2020-06-03,20.42606
2020-06-04,19.26932
2020-06-05,20.83092
2020-06-06,12.94582
2020-06-07,11.69269
2020-06-08,22.19973
2020-06-09,21.79487
2020-06-10,22.76845
2020-06-11,21.2165
2020-06-12,18.95122
2020-06-13,11.23963
2020-06-14,12.00115
2020-06-15,18.32465
2020-06-16,18.22826
2020-06-17,17.88124
2020-06-18,16.48351
2020-06-19,16.89801
2020-06-20,10.62271
2020-06-21,10.64198
2020-06-22,16.83053
2020-06-23,17.98727
2020-06-24,18.59456
2020-06-25,18.56564
2020-06-26,19.40427
2020-06-27,11.46134
2020-06-28,10.78658
2020-06-29,19.14401
2020-06-30,20.01156
2020-07-01,18.75843
2020-07-02,17.8716
2020-07-03,17.02332
2020-07-04,11.15288
2020-07-05,10.85405
2020-07-06,18.57528
2020-07-07,20.32003
2020-07-08,17.52458
2020-07-09,18.45961
2020-07-10,18.01619
2020-07-11,11.66377
2020-07-12,10.60343
2020-07-13,19.39464
2020-07-14,19.99228
2020-07-15,18.44033
2020-07-16,18.41141
2020-07-17,15.60632
2020-07-18,10.83477
2020-07-19,10.42992
2020-07-20,18.44997
2020-07-21,21.20686
2020-07-22,20.57065
2020-07-23,16.79197
2020-07-24,17.0908
2020-07-25,11.4035
2020-07-26,11.53846
2020-07-27,20.74416
2020-07-28,20.16579
2020-07-29,19.48139
2020-07-30,19.89589
2020-07-31,21.2165
2020-08-01,12.27106
2020-08-02,11.65413
2020-08-03,18.56564
2020-08-04,19.95373
2020-08-05,19.42355
2020-08-06,19.22112
2020-08-07,19.59706
2020-08-08,11.77944
2020-08-09,11.818
2020-08-10,19.83805
2020-08-11,18.78735
2020-08-12,19.48139
2020-08-13,18.63312
2020-08-14,17.3607
2020-08-15,11.39386
2020-08-16,10.91189
2020-08-17,14.03508
2020-08-18,21.01407
2020-08-19,20.13688
2020-08-20,18.99942
2020-08-21,18.61384
2020-08-22,12.93618
2020-08-23,12.46385
2020-08-24,21.67919
2020-08-25,21.57316
2020-08-26,20.41642
2020-08-27,20.84056
2020-08-28,20.04048
2020-08-29,13.2832
2020-08-30,13.54347
2020-08-31,23.76132
2020-09-01,26.70136
2020-09-02,24.76383
2020-09-03,24.1951
2020-09-04,23.60709
2020-09-05,14.19895
2020-09-06,13.6495
2020-09-07,21.06227
2020-09-08,21.39965
2020-09-09,21.64064
2020-09-10,21.75631
2020-09-11,18.36321
2020-09-12,12.01079
2020-09-13,12.2325
2020-09-14,20.73452
2020-09-15,24.13726
2020-09-16,24.96626
2020-09-17,22.91305
2020-09-18,24.63851
2020-09-19,14.45922
2020-09-20,13.76518
2020-09-21,23.30827
2020-09-22,21.42857
2020-09-23,19.53923
2020-09-24,19.59706
2020-09-25,18.38249
2020-09-26,11.818
2020-09-27,11.9144
2020-09-28,20.18507
2020-09-29,17.95835
2020-09-30,12.89762
2020-10-01,12.67592
2020-10-02,13.72662
2020-10-03,11.99151
2020-10-04,12.63736
2020-10-05,21.45748
2020-10-06,21.30325
2020-10-07,20.46462
2020-10-08,21.18758
2020-10-09,16.08829
2020-10-10,13.04222
2020-10-11,13.72662
2020-10-12,25.67958
2020-10-13,22.84557
2020-10-14,24.55176
2020-10-15,19.72238
2020-10-16,18.90302
2020-10-17,12.29034
2020-10-18,11.28783
2020-10-19,19.22112
2020-10-20,21.42857
2020-10-21,20.802
2020-10-22,20.36822
2020-10-23,20.47426
2020-10-24,12.53132
2020-10-25,12.56988
2020-10-26,21.31289
2020-10-27,19.85733
2020-10-28,18.52708
2020-10-29,20.32003
2020-10-30,18.02583
2020-10-31,11.22035
2020-11-01,11.76016
2020-11-02,19.02834
2020-11-03,18.53672
2020-11-04,20.51282
2020-11-05,19.62598
2020-11-06,20.95623
2020-11-07,12.43493
2020-11-08,11.85656
2020-11-09,23.70348
2020-11-10,23.86736
2020-11-11,24.77347
2020-11-12,20.70561
2020-11-13,18.59456
2020-11-14,11.98187
2020-11-15,11.29747
2020-11-16,23.33718
2020-11-17,23.68421
2020-11-18,22.79737
