date,데이트앱
2020-03-20,14.71471
2020-03-21,16.21621
2020-03-22,20.72072
2020-03-23,13.81381
2020-03-24,10.21021
2020-03-25,9.009
2020-03-26,13.51351
2020-03-27,13.51351
2020-03-28,9.6096
2020-03-29,15.61561
2020-03-30,13.51351
2020-03-31,14.41441
2020-04-01,11.41141
2020-04-02,12.31231
2020-04-03,11.71171
2020-04-04,14.71471
2020-04-05,12.61261
2020-04-06,14.41441
2020-04-07,12.31231
2020-04-08,9.009
2020-04-09,13.81381
2020-04-10,13.51351
2020-04-11,16.51651
2020-04-12,22.52252
2020-04-13,22.22222
2020-04-14,14.71471
2020-04-15,13.51351
2020-04-16,13.21321
2020-04-17,10.21021
2020-04-18,17.41741
2020-04-19,12.61261
2020-04-20,14.41441
2020-04-21,15.91591
2020-04-22,18.91891
2020-04-23,13.81381
2020-04-24,13.81381
2020-04-25,13.21321
2020-04-26,19.21921
2020-04-27,19.81981
2020-04-28,13.51351
2020-04-29,10.81081
2020-04-30,12.91291
2020-05-01,10.51051
2020-05-02,14.11411
2020-05-03,13.21321
2020-05-04,17.11711
2020-05-05,22.52252
2020-05-06,12.31231
2020-05-07,14.41441
2020-05-08,14.71471
2020-05-09,15.61561
2020-05-10,13.81381
2020-05-11,13.21321
2020-05-12,8.4084
2020-05-13,17.41741
2020-05-14,9.3093
2020-05-15,12.91291
2020-05-16,14.11411
2020-05-17,17.71771
2020-05-18,17.41741
2020-05-19,12.31231
2020-05-20,16.21621
2020-05-21,18.01801
2020-05-22,10.21021
2020-05-23,12.01201
2020-05-24,14.71471
2020-05-25,11.41141
2020-05-26,12.61261
2020-05-27,11.41141
2020-05-28,11.41141
2020-05-29,5.7057
2020-05-30,9.3093
2020-05-31,13.51351
2020-06-01,11.41141
2020-06-02,13.51351
2020-06-03,12.61261
2020-06-04,9.9099
2020-06-05,12.31231
2020-06-06,10.21021
2020-06-07,16.81681
2020-06-08,12.61261
2020-06-09,9.3093
2020-06-10,16.51651
2020-06-11,10.81081
2020-06-12,11.71171
2020-06-13,11.11111
2020-06-14,9.3093
2020-06-15,15.01501
2020-06-16,12.31231
2020-06-17,15.01501
2020-06-18,10.21021
2020-06-19,13.81381
2020-06-20,13.21321
2020-06-21,14.71471
2020-06-22,12.91291
2020-06-23,8.7087
2020-06-24,7.2072
2020-06-25,11.41141
2020-06-26,12.61261
2020-06-27,17.41741
2020-06-28,13.21321
2020-06-29,14.11411
2020-06-30,8.4084
2020-07-01,9.3093
2020-07-02,11.41141
2020-07-03,12.01201
