date,LIG넥스원주가
2020-03-20,1.1384
2020-03-21,0.16177
2020-03-22,0.11384
2020-03-23,1.09047
2020-03-24,1.19832
2020-03-25,1.18034
2020-03-26,1.13241
2020-03-27,0.94068
2020-03-28,0.23367
2020-03-29,0.14379
2020-03-30,0.73696
2020-03-31,0.87477
2020-04-01,0.90473
2020-04-02,1.01258
2020-04-03,0.74895
2020-04-04,0.08987
2020-04-05,0.10784
2020-04-06,0.95865
2020-04-07,1.19233
2020-04-08,1.22228
2020-04-09,0.91671
2020-04-10,0.95266
2020-04-11,0.16776
2020-04-12,0.16177
2020-04-13,0.86878
2020-04-14,0.98861
2020-04-15,0.16776
2020-04-16,0.79089
2020-04-17,0.97663
2020-04-18,0.18573
2020-04-19,0.14379
2020-04-20,0.73696
2020-04-21,2.07309
2020-04-22,1.37207
2020-04-23,1.00659
2020-04-24,1.52186
2020-04-25,0.34751
2020-04-26,0.47333
2020-04-27,1.49191
2020-04-28,1.39604
2020-04-29,1.0665
2020-04-30,0.21569
2020-05-01,0.29958
2020-05-02,0.17375
2020-05-03,0.14379
2020-05-04,0.73097
2020-05-05,0.14979
2020-05-06,0.92869
2020-05-07,0.65907
2020-05-08,0.57519
2020-05-09,0.08388
2020-05-10,0.08388
2020-05-11,0.63511
2020-05-12,0.77291
2020-05-13,1.00659
2020-05-14,1.33013
2020-05-15,1.04853
2020-05-16,0.12582
2020-05-17,0.0659
2020-05-18,1.13241
2020-05-19,1.4979
2020-05-20,1.63571
2020-05-21,2.09107
2020-05-22,2.01318
2020-05-23,0.29958
2020-05-24,0.38945
2020-05-25,1.47992
2020-05-26,1.65967
2020-05-27,1.96524
2020-05-28,2.50449
2020-05-29,2.10904
2020-05-30,0.31156
2020-05-31,0.16776
2020-06-01,1.7076
2020-06-02,1.72558
2020-06-03,1.93529
2020-06-04,1.97124
2020-06-05,1.72558
2020-06-06,0.2816
2020-06-07,0.1378
2020-06-08,2.01917
2020-06-09,2.01917
2020-06-10,1.79149
2020-06-11,1.70161
2020-06-12,1.45596
2020-06-13,0.23966
2020-06-14,0.29958
2020-06-15,3.94847
2020-06-16,3.2834
2020-06-17,4.20011
2020-06-18,2.79209
2020-06-19,2.4266
2020-06-20,0.27561
2020-06-21,0.14379
2020-06-22,1.91731
2020-06-23,1.77351
2020-06-24,1.54583
2020-06-25,1.51587
2020-06-26,1.33013
2020-06-27,0.10784
2020-06-28,0.12582
2020-06-29,1.2103
2020-06-30,1.25823
2020-07-01,1.31216
2020-07-02,1.39604
2020-07-03,1.16836
2020-07-04,0.16177
2020-07-05,0.11983
2020-07-06,1.39604
2020-07-07,1.25224
2020-07-08,1.04254
2020-07-09,1.16237
2020-07-10,1.14439
2020-07-11,0.14979
2020-07-12,0.15578
2020-07-13,1.2103
2020-07-14,1.0665
2020-07-15,1.59976
2020-07-16,1.23427
2020-07-17,1.19233
2020-07-18,0.14979
2020-07-19,0.20371
2020-07-20,1.18034
2020-07-21,1.29418
2020-07-22,1.1384
2020-07-23,1.11443
2020-07-24,1.11443
2020-07-25,0.16776
2020-07-26,0.17974
2020-07-27,1.82144
2020-07-28,2.01917
2020-07-29,2.06111
2020-07-30,2.26482
2020-07-31,1.76153
2020-08-01,0.17375
2020-08-02,0.16776
2020-08-03,1.98322
2020-08-04,2.00718
2020-08-05,1.60575
2020-08-06,1.73756
2020-08-07,1.64769
2020-08-08,0.31156
2020-08-09,0.18573
2020-08-10,1.90533
2020-08-11,2.60035
2020-08-12,2.85799
2020-08-13,2.31276
2020-08-14,2.16896
2020-08-15,0.25763
2020-08-16,0.28759
2020-08-17,0.4254
2020-08-18,2.00119
2020-08-19,1.80946
2020-08-20,2.04913
2020-08-21,1.98322
2020-08-22,0.15578
2020-08-23,0.2097
2020-08-24,1.84541
2020-08-25,1.76153
2020-08-26,1.62971
2020-08-27,1.58777
2020-08-28,1.52186
2020-08-29,0.19173
2020-08-30,0.30557
2020-08-31,1.55781
2020-09-01,1.66566
2020-09-02,1.50389
2020-09-03,1.94727
2020-09-04,1.60575
2020-09-05,0.30557
2020-09-06,0.16177
2020-09-07,1.39604
2020-09-08,1.97124
2020-09-09,1.85739
2020-09-10,1.65368
2020-09-11,1.36608
2020-09-12,0.15578
2020-09-13,0.22168
2020-09-14,1.51587
2020-09-15,1.76752
2020-09-16,1.91132
2020-09-17,2.10904
2020-09-18,2.18094
2020-09-19,0.21569
2020-09-20,0.20371
2020-09-21,1.76153
2020-09-22,1.60575
2020-09-23,1.3541
2020-09-24,1.55781
2020-09-25,1.27621
2020-09-26,0.13181
2020-09-27,0.19173
2020-09-28,1.24026
2020-09-29,0.90473
2020-09-30,0.08987
2020-10-01,0.03594
2020-10-02,0.09586
