date,주택임대사업자
2020-11-07,7.56409
2020-11-08,6.02428
2020-11-09,9.86586
2020-11-10,11.01674
2020-11-11,9.61981
2020-11-12,8.83403
2020-11-13,7.93713
2020-11-14,6.12747
2020-11-15,7.4609
2020-11-16,9.20707
2020-11-17,8.67529
2020-11-18,10.34209
2020-11-19,11.23898
2020-11-20,8.16731
2020-11-21,6.72275
2020-11-22,7.15929
2020-11-23,9.85792
2020-11-24,9.37375
2020-11-25,10.35002
2020-11-26,10.67545
2020-11-27,9.85792
2020-11-28,8.11969
2020-11-29,10.73101
2020-11-30,14.12016
2020-12-01,12.74704
2020-12-02,10.59607
2020-12-03,9.50075
2020-12-04,8.08794
2020-12-05,7.55615
2020-12-06,7.19898
2020-12-07,10.03254
2020-12-08,10.80244
2020-12-09,11.49297
2020-12-10,10.40558
2020-12-11,9.00865
2020-12-12,8.46892
2020-12-13,9.1912
2020-12-14,11.86602
2020-12-15,10.34209
2020-12-16,9.37375
2020-12-17,9.14358
2020-12-18,8.9769
2020-12-19,9.18326
2020-12-20,8.84197
2020-12-21,11.40566
2020-12-22,11.12786
2020-12-23,10.40558
2020-12-24,7.87364
2020-12-25,6.77037
2020-12-26,8.34986
2020-12-27,9.11183
2020-12-28,12.35812
2020-12-29,11.58822
2020-12-30,9.41344
2020-12-31,7.85776
2021-01-01,5.95285
2021-01-02,7.08786
2021-01-03,7.42916
2021-01-04,10.24684
2021-01-05,10.32621
2021-01-06,10.77069
2021-01-07,9.94523
2021-01-08,7.9292
2021-01-09,9.33407
2021-01-10,9.1277
2021-01-11,10.60401
2021-01-12,9.77855
2021-01-13,10.89769
2021-01-14,10.65163
2021-01-15,10.28653
2021-01-16,9.67537
2021-01-17,8.65148
2021-01-18,27.62123
2021-01-19,18.4459
2021-01-20,17.3982
2021-01-21,14.96944
2021-01-22,13.06452
2021-01-23,10.86594
2021-01-24,10.81831
2021-01-25,14.36621
2021-01-26,11.58028
2021-01-27,11.92951
2021-01-28,12.79466
2021-01-29,12.27875
2021-01-30,10.15953
2021-01-31,18.04905
2021-02-01,20.25557
2021-02-02,16.39812
2021-02-03,14.42177
2021-02-04,12.36606
2021-02-05,10.58814
2021-02-06,8.47686
2021-02-07,9.58806
2021-02-08,13.00896
2021-02-09,11.53266
2021-02-10,8.40542
2021-02-11,4.88927
2021-02-12,5.74648
2021-02-13,6.23065
2021-02-14,6.99261
2021-02-15,9.9611
2021-02-16,10.41352
2021-02-17,9.1277
2021-02-18,9.16739
2021-02-19,10.21509
2021-02-20,8.19112
2021-02-21,7.81808
2021-02-22,10.57226
2021-02-23,9.73886
2021-02-24,9.41344
2021-02-25,9.15945
2021-02-26,6.68307
2021-02-27,6.40527
2021-02-28,5.54012
2021-03-01,7.3101
2021-03-02,7.96888
2021-03-03,7.50059
2021-03-04,7.67521
2021-03-05,6.43701
2021-03-06,5.66711
2021-03-07,5.65917
2021-03-08,7.31804
2021-03-09,6.92912
2021-03-10,7.36566
2021-03-11,7.81808
2021-03-12,7.00055
2021-03-13,6.00841
2021-03-14,6.11953
2021-03-15,8.4213
2021-03-16,9.96904
2021-03-17,9.0404
2021-03-18,8.09588
2021-03-19,7.85776
2021-03-20,6.78625
2021-03-21,6.4767
2021-03-22,8.79434
2021-03-23,8.34193
2021-03-24,8.00857
2021-03-25,8.13556
2021-03-26,6.88149
2021-03-27,5.78617
2021-03-28,6.73069
2021-03-29,8.39749
2021-03-30,7.19104
2021-03-31,9.02452
2021-04-01,7.15929
2021-04-02,6.76244
2021-04-03,5.62743
2021-04-04,4.68291
2021-04-05,6.71481
2021-04-06,6.78625
2021-04-07,6.23859
2021-04-08,5.81792
2021-04-09,5.61949
2021-04-10,4.97658
2021-04-11,4.49242
2021-04-12,6.9688
2021-04-13,6.06397
2021-04-14,6.73069
2021-04-15,8.49273
2021-04-16,7.60377
2021-04-17,5.27819
2021-04-18,5.39725
2021-04-19,7.81808
2021-04-20,7.84189
2021-04-21,6.99261
2021-04-22,6.04016
2021-04-23,5.9211
2021-04-24,4.22255
2021-04-25,7.56409
2021-04-26,14.35828
2021-04-27,14.67576
2021-04-28,13.27089
2021-04-29,11.35804
2021-04-30,9.30232
2021-05-01,10.17541
2021-05-02,9.55631
2021-05-03,13.12802
2021-05-04,12.77085
2021-05-05,9.57218
2021-05-06,11.93745
2021-05-07,9.98491
2021-05-08,7.34978
2021-05-09,8.27049
2021-05-10,11.77077
2021-05-11,10.13572
2021-05-12,10.81038
2021-05-13,9.98491
2021-05-14,10.31827
2021-05-15,7.2466
2021-05-16,7.89745
2021-05-17,12.65179
2021-05-18,11.46122
2021-05-19,9.23882
2021-05-20,14.47733
2021-05-21,18.89832
2021-05-22,11.61996
2021-05-23,12.1835
2021-05-24,20.41431
2021-05-25,29.17691
2021-05-26,25.56552
2021-05-27,75.99809
2021-05-28,80.2524
2021-05-29,38.73323
2021-05-30,29.48646
2021-05-31,35.6933
2021-06-01,28.94674
2021-06-02,26.36717
2021-06-03,19.47773
2021-06-04,15.67584
2021-06-05,10.42939
2021-06-06,11.46916
2021-06-07,17.3347
2021-06-08,18.83482
2021-06-09,15.41392
2021-06-10,14.30272
2021-06-11,11.72315
2021-06-12,8.3578
2021-06-13,7.94507
2021-06-14,11.08818
2021-06-15,11.82633
2021-06-16,13.39788
2021-06-17,11.25486
2021-06-18,16.57274
2021-06-19,12.1835
2021-06-20,8.73878
2021-06-21,10.37383
2021-06-22,9.55631
2021-06-23,8.24668
2021-06-24,7.42916
2021-06-25,6.92912
2021-06-26,6.42114
2021-06-27,5.84967
2021-06-28,7.77045
2021-06-29,7.56409
2021-06-30,8.0165
2021-07-01,7.29422
2021-07-02,6.38145
2021-07-03,5.48456
2021-07-04,5.31788
2021-07-05,8.24668
2021-07-06,8.77847
