date,홍콩달러환율
2020-03-20,44.55637
2020-03-21,16.85393
2020-03-22,11.58465
2020-03-23,37.11739
2020-03-24,31.2282
2020-03-25,28.28361
2020-03-26,22.97559
2020-03-27,23.13056
2020-03-28,10.4998
2020-03-29,13.4444
2020-03-30,19.02363
2020-03-31,21.15459
2020-04-01,21.34831
2020-04-02,19.99225
2020-04-03,17.74506
2020-04-04,12.12708
2020-04-05,8.6788
2020-04-06,20.45718
2020-04-07,18.1325
2020-04-08,17.35761
2020-04-09,16.69895
2020-04-10,15.76908
2020-04-11,9.0275
2020-04-12,9.22123
2020-04-13,18.40371
2020-04-14,17.62882
2020-04-15,15.14916
2020-04-16,23.28554
2020-04-17,16.81518
2020-04-18,11.93335
2020-04-19,9.84114
2020-04-20,21.11584
2020-04-21,23.47927
2020-04-22,24.37039
2020-04-23,20.49593
2020-04-24,21.34831
2020-04-25,11.08097
2020-04-26,10.61604
2020-04-27,17.04765
2020-04-28,17.59008
2020-04-29,18.75242
2020-04-30,10.30608
2020-05-01,9.87989
2020-05-02,8.87253
2020-05-03,9.56993
2020-05-04,17.28012
2020-05-05,10.53855
2020-05-06,18.09376
2020-05-07,15.42037
2020-05-08,17.55133
2020-05-09,10.53855
2020-05-10,9.49244
2020-05-11,19.29484
2020-05-12,19.2561
2020-05-13,18.67493
2020-05-14,18.71367
2020-05-15,15.6141
2020-05-16,9.60867
2020-05-17,8.21387
2020-05-18,17.55133
2020-05-19,18.9074
2020-05-20,18.82991
2020-05-21,17.16388
2020-05-22,19.10112
2020-05-23,10.77101
2020-05-24,8.75629
2020-05-25,26.8888
2020-05-26,28.51607
2020-05-27,27.2375
2020-05-28,36.3425
2020-05-29,38.89965
2020-05-30,38.82216
2020-05-31,25.10654
2020-06-01,53.19643
2020-06-02,38.04726
2020-06-03,37.69856
2020-06-04,31.84812
2020-06-05,32.42929
2020-06-06,15.38163
2020-06-07,14.10306
2020-06-08,31.07322
2020-06-09,34.28903
2020-06-10,30.8795
2020-06-11,28.43858
2020-06-12,26.19139
2020-06-13,12.59201
2020-06-14,10.92599
2020-06-15,24.60286
2020-06-16,26.15265
2020-06-17,23.20805
2020-06-18,21.7745
2020-06-19,18.67493
2020-06-20,10.73227
2020-06-21,7.59395
2020-06-22,21.34831
2020-06-23,20.53467
2020-06-24,18.94614
2020-06-25,17.00891
2020-06-26,18.17125
2020-06-27,11.04223
2020-06-28,9.0275
2020-06-29,19.48857
2020-06-30,28.86478
2020-07-01,28.82603
2020-07-02,29.56218
2020-07-03,27.08252
2020-07-04,12.70825
2020-07-05,12.59201
2020-07-06,29.21348
2020-07-07,29.36846
2020-07-08,30.25958
2020-07-09,35.25765
2020-07-10,28.43858
2020-07-11,13.94808
2020-07-12,12.59201
2020-07-13,28.55482
2020-07-14,27.66369
2020-07-15,25.84269
2020-07-16,27.16001
2020-07-17,24.87407
2020-07-18,12.39829
2020-07-19,11.70089
2020-07-20,22.54939
2020-07-21,19.87601
2020-07-22,23.13056
2020-07-23,22.23944
2020-07-24,21.46454
2020-07-25,14.02557
2020-07-26,11.54591
2020-07-27,22.39442
2020-07-28,24.68035
2020-07-29,21.46454
2020-07-30,21.92948
2020-07-31,22.82061
2020-08-01,10.42231
2020-08-02,8.60131
2020-08-03,20.57342
2020-08-04,22.78186
2020-08-05,22.00697
2020-08-06,19.37233
2020-08-07,23.01433
2020-08-08,11.93335
2020-08-09,10.57729
2020-08-10,26.77256
2020-08-11,26.23014
2020-08-12,22.39442
2020-08-13,21.38705
2020-08-14,23.20805
2020-08-15,13.36691
2020-08-16,11.46842
2020-08-17,17.86129
2020-08-18,22.51065
2020-08-19,21.19333
2020-08-20,21.89074
2020-08-21,18.24874
2020-08-22,11.50716
2020-08-23,10.96474
2020-08-24,23.63425
2020-08-25,19.6048
2020-08-26,18.28748
2020-08-27,19.52731
2020-08-28,16.38899
2020-08-29,11.85586
2020-08-30,9.10499
2020-08-31,18.82991
2020-09-01,20.26346
2020-09-02,19.10112
2020-09-03,20.03099
2020-09-04,17.90003
2020-09-05,9.87989
2020-09-06,10.73227
2020-09-07,19.52731
2020-09-08,16.93142
2020-09-09,16.62146
2020-09-10,15.80782
2020-09-11,16.58271
2020-09-12,9.25997
2020-09-13,8.64006
2020-09-14,12.51452
2020-09-15,14.68423
2020-09-16,16.46648
2020-09-17,18.59744
2020-09-18,18.20999
2020-09-19,10.46106
2020-09-20,8.52382
