date,2차전지전망
2020-03-20,0.83179
2020-03-22,0.60073
2020-03-23,0.97042
2020-03-24,0.78558
2020-03-25,0.60073
2020-03-26,0.97042
2020-03-27,1.43253
2020-03-28,0.60073
2020-03-29,0.64695
2020-03-30,1.01663
2020-03-31,0.92421
2020-04-01,1.01663
2020-04-02,1.10905
2020-04-03,1.61737
2020-04-04,0.60073
2020-04-05,0.73937
2020-04-06,0.83179
2020-04-07,0.73937
2020-04-08,1.47874
2020-04-09,0.83179
2020-04-10,1.57116
2020-04-11,0.73937
2020-04-12,1.52495
2020-04-13,1.43253
2020-04-14,1.2939
2020-04-15,1.06284
2020-04-16,1.98706
2020-04-17,1.57116
2020-04-18,1.06284
2020-04-19,0.92421
2020-04-20,1.47874
2020-04-21,0.32347
2020-04-22,1.15526
2020-04-23,1.38632
2020-04-24,1.80221
2020-04-25,0.41589
2020-04-26,1.34011
2020-04-27,0.878
2020-04-28,0.64695
2020-04-29,0.69316
2020-04-30,0.50831
2020-05-01,1.10905
2020-05-02,0.60073
2020-05-03,1.47874
2020-05-04,0.78558
2020-05-05,0.36968
2020-05-06,0.83179
2020-05-07,1.38632
2020-05-08,1.38632
2020-05-09,0.878
2020-05-10,0.41589
2020-05-11,1.61737
2020-05-12,1.80221
2020-05-13,1.52495
2020-05-14,1.38632
2020-05-15,1.10905
2020-05-16,0.83179
2020-05-17,0.50831
2020-05-18,0.73937
2020-05-19,1.47874
2020-05-20,0.878
2020-05-21,1.43253
2020-05-22,0.73937
2020-05-23,0.69316
2020-05-24,1.15526
2020-05-25,1.2939
2020-05-26,2.35674
2020-05-27,1.84842
2020-05-28,2.21811
2020-05-29,0.50831
2020-05-30,0.64695
2020-05-31,0.78558
2020-06-01,1.10905
2020-06-02,0.36968
2020-06-03,1.57116
2020-06-04,0.64695
2020-06-05,1.47874
2020-06-06,0.97042
2020-06-07,1.15526
2020-06-08,0.83179
2020-06-09,0.78558
2020-06-10,0.83179
2020-06-11,0.878
2020-06-12,0.50831
2020-06-13,0.4621
2020-06-14,0.69316
2020-06-15,0.878
2020-06-16,0.50831
2020-06-17,1.2939
2020-06-18,0.97042
2020-06-19,0.73937
2020-06-20,0.60073
2020-06-21,0.36968
2020-06-22,0.73937
2020-06-23,0.92421
2020-06-24,0.60073
2020-06-25,0.78558
2020-06-26,0.69316
2020-06-27,0.60073
2020-06-28,0.41589
2020-06-29,0.97042
2020-06-30,1.06284
2020-07-01,0.41589
2020-07-02,0.73937
2020-07-03,0.27726
2020-07-04,0.36968
2020-07-05,0.23105
2020-07-06,0.73937
2020-07-07,0.41589
2020-07-08,0.69316
2020-07-09,0.36968
2020-07-10,0.83179
2020-07-12,0.36968
2020-07-13,0.23105
2020-07-14,1.20147
2020-07-15,0.69316
2020-07-16,0.878
2020-07-17,0.83179
2020-07-19,0.32347
2020-07-20,0.69316
2020-07-21,0.27726
2020-07-22,0.60073
2020-07-23,0.41589
2020-07-24,0.97042
2020-07-25,0.32347
2020-07-26,0.50831
2020-07-27,0.64695
2020-07-28,0.27726
2020-07-29,0.4621
2020-07-30,0.55452
2020-07-31,0.73937
2020-08-01,0.41589
2020-08-02,1.20147
2020-08-03,1.89463
2020-08-04,1.24768
2020-08-05,2.86506
2020-08-06,2.35674
2020-08-07,4.43622
2020-08-08,1.84842
2020-08-09,2.21811
2020-08-10,1.94085
2020-08-11,2.12569
2020-08-12,1.66358
2020-08-13,2.72643
2020-08-14,3.41959
2020-08-15,2.12569
